attribute_code	data_type	role	required_policy	allowed_values_source	description_ru
display_type	enum	T0_CORE	required	values.head.json#display_type	Main type inside TECH.MONITORS_DISPLAYS
brand	enum_or_text	T0_CORE	required	values.head.json#brand + runtime_candidates	Brand/manufacturer display name
condition	enum	T0_CORE	required	inherits TECH.ELECTRONICS_COMMON.condition	Listing condition
screen_size_in	decimal	T0_CORE	required_for_monitor_types_optional_for_accessory	values.head.json#screen_size_in + numeric_range 5..120	Diagonal size in inches; supports 27, 27.0, 27-inch
resolution_class	enum	T0_CORE	required_for_monitor_types_optional_for_accessory	values.head.json#resolution_class	Normalized resolution bucket
refresh_rate_hz	integer	T0_CORE	required_for_monitor_types_optional_for_accessory	values.head.json#refresh_rate_hz + numeric_range 30..1000	Native refresh rate in Hz
panel_technology	enum	T0_CORE	required_for_monitor_types_optional_for_accessory	values.head.json#panel_technology	LCD/OLED panel technology
connector_input_primary	enum	T0_CORE	required_for_monitor_types_optional_for_accessory	values.head.json#connector_input_primary	Primary video input
aspect_ratio	enum	T1_TYPE_SPECIFIC	recommended	values.head.json#aspect_ratio	Normalized aspect ratio
curved	boolean	T1_TYPE_SPECIFIC	recommended	boolean	Curved screen flag
ultrawide	boolean	T1_TYPE_SPECIFIC	recommended	boolean	Ultrawide/super-ultrawide flag
hdr_support	enum	T1_TYPE_SPECIFIC	recommended	values.head.json#hdr_support	HDR support/standard
brightness_nits	integer	T1_TYPE_SPECIFIC	recommended	numeric_range 100..3000	Typical or peak brightness if known
response_time_ms	decimal	T1_TYPE_SPECIFIC	recommended_for_gaming	numeric_range 0.01..50	Advertised response time
adaptive_sync	enum	T1_TYPE_SPECIFIC	recommended_for_gaming	values.head.json#adaptive_sync	Adaptive sync mode
vesa_mount	enum	T1_TYPE_SPECIFIC	recommended	values.head.json#vesa_mount	VESA mount standard
height_adjustable	boolean	T1_TYPE_SPECIFIC	recommended	boolean	Stand height adjustment
pivot	boolean	T1_TYPE_SPECIFIC	recommended	boolean	Portrait pivot support
tilt	boolean	T1_TYPE_SPECIFIC	optional	boolean	Tilt adjustment
swivel	boolean	T1_TYPE_SPECIFIC	optional	boolean	Swivel adjustment
built_in_speakers	boolean	T1_TYPE_SPECIFIC	optional	boolean	Integrated speakers
webcam_built_in	boolean	T1_TYPE_SPECIFIC	optional	boolean	Integrated webcam
usb_c_power_delivery_w	integer	T1_TYPE_SPECIFIC	recommended_when_usb_c	numeric_range 0..240	USB-C PD wattage
kvm_switch	boolean	T1_TYPE_SPECIFIC	optional	boolean	Built-in KVM
smart_os	enum	T1_TYPE_SPECIFIC	required_for_SMART_MONITOR_optional_otherwise	values.head.json#smart_os	Smart OS/app platform
touchscreen	boolean	T1_TYPE_SPECIFIC	required_for_TOUCHSCREEN_MONITOR_optional_otherwise	boolean	Touch support
touch_points	integer	T1_TYPE_SPECIFIC	recommended_for_TOUCHSCREEN_MONITOR	numeric_range 1..40	Number of simultaneous touch points
portable_power_mode	enum	T1_TYPE_SPECIFIC	recommended_for_PORTABLE_MONITOR	values.head.json#portable_power_mode	Power mode for portable monitor
monitor_accessory_type	enum	T1_TYPE_SPECIFIC	required_for_MONITOR_ACCESSORY	values.head.json#monitor_accessory_type	Accessory type inside monitor branch
color_gamut	enum	T1_TYPE_SPECIFIC	recommended_for_professional	values.head.json#color_gamut	Color coverage bucket
factory_calibrated	boolean	T1_TYPE_SPECIFIC	recommended_for_professional	boolean	Factory calibration flag
delta_e	decimal	T1_TYPE_SPECIFIC	optional_for_professional	numeric_range 0..10	Advertised color accuracy if known
model_name_text	text	T2_OPTIONAL_ENRICHMENT	recommended	text	Raw model string as seller provided
model_normalized	text	T2_OPTIONAL_ENRICHMENT	optional	runtime_candidate_identity	Normalized model head/live candidate
model_number	text	T2_OPTIONAL_ENRICHMENT	optional	text	Manufacturer model number e.g. U2723QE
mpn	text	T2_OPTIONAL_ENRICHMENT	optional	text	Manufacturer part number
