display_type	attribute_code	coverage_level	required_policy	notes
COMPUTER_MONITOR	display_type	T0	required	core display coverage
COMPUTER_MONITOR	brand	T0	required	core display coverage
COMPUTER_MONITOR	condition	T0	required	core display coverage
COMPUTER_MONITOR	screen_size_in	T0	required	core display coverage
COMPUTER_MONITOR	resolution_class	T0	required	core display coverage
COMPUTER_MONITOR	refresh_rate_hz	T0	required	core display coverage
COMPUTER_MONITOR	panel_technology	T0	required	core display coverage
COMPUTER_MONITOR	connector_input_primary	T0	required	core display coverage
COMPUTER_MONITOR	aspect_ratio	T1	recommended_or_required_by_type	type-specific relevance
COMPUTER_MONITOR	vesa_mount	T1	recommended_or_required_by_type	type-specific relevance
COMPUTER_MONITOR	height_adjustable	T1	recommended_or_required_by_type	type-specific relevance
COMPUTER_MONITOR	built_in_speakers	T1	recommended_or_required_by_type	type-specific relevance
GAMING_MONITOR	display_type	T0	required	core display coverage
GAMING_MONITOR	brand	T0	required	core display coverage
GAMING_MONITOR	condition	T0	required	core display coverage
GAMING_MONITOR	screen_size_in	T0	required	core display coverage
GAMING_MONITOR	resolution_class	T0	required	core display coverage
GAMING_MONITOR	refresh_rate_hz	T0	required	core display coverage
GAMING_MONITOR	panel_technology	T0	required	core display coverage
GAMING_MONITOR	connector_input_primary	T0	required	core display coverage
GAMING_MONITOR	response_time_ms	T1	recommended_or_required_by_type	type-specific relevance
GAMING_MONITOR	adaptive_sync	T1	recommended_or_required_by_type	type-specific relevance
GAMING_MONITOR	curved	T1	recommended_or_required_by_type	type-specific relevance
GAMING_MONITOR	hdr_support	T1	recommended_or_required_by_type	type-specific relevance
PROFESSIONAL_MONITOR	display_type	T0	required	core display coverage
PROFESSIONAL_MONITOR	brand	T0	required	core display coverage
PROFESSIONAL_MONITOR	condition	T0	required	core display coverage
PROFESSIONAL_MONITOR	screen_size_in	T0	required	core display coverage
PROFESSIONAL_MONITOR	resolution_class	T0	required	core display coverage
PROFESSIONAL_MONITOR	refresh_rate_hz	T0	required	core display coverage
PROFESSIONAL_MONITOR	panel_technology	T0	required	core display coverage
PROFESSIONAL_MONITOR	connector_input_primary	T0	required	core display coverage
PROFESSIONAL_MONITOR	color_gamut	T1	recommended_or_required_by_type	type-specific relevance
PROFESSIONAL_MONITOR	factory_calibrated	T1	recommended_or_required_by_type	type-specific relevance
PROFESSIONAL_MONITOR	delta_e	T1	recommended_or_required_by_type	type-specific relevance
PROFESSIONAL_MONITOR	usb_c_power_delivery_w	T1	recommended_or_required_by_type	type-specific relevance
PORTABLE_MONITOR	display_type	T0	required	core display coverage
PORTABLE_MONITOR	brand	T0	required	core display coverage
PORTABLE_MONITOR	condition	T0	required	core display coverage
PORTABLE_MONITOR	screen_size_in	T0	required	core display coverage
PORTABLE_MONITOR	resolution_class	T0	required	core display coverage
PORTABLE_MONITOR	refresh_rate_hz	T0	required	core display coverage
PORTABLE_MONITOR	panel_technology	T0	required	core display coverage
PORTABLE_MONITOR	connector_input_primary	T0	required	core display coverage
PORTABLE_MONITOR	portable_power_mode	T1	recommended_or_required_by_type	type-specific relevance
PORTABLE_MONITOR	weight_g	T1	recommended_or_required_by_type	type-specific relevance
PORTABLE_MONITOR	usb_c_power_delivery_w	T1	recommended_or_required_by_type	type-specific relevance
PORTABLE_MONITOR	included_cables	T1	recommended_or_required_by_type	type-specific relevance
SMART_MONITOR	display_type	T0	required	core display coverage
SMART_MONITOR	brand	T0	required	core display coverage
SMART_MONITOR	condition	T0	required	core display coverage
SMART_MONITOR	screen_size_in	T0	required	core display coverage
SMART_MONITOR	resolution_class	T0	required	core display coverage
SMART_MONITOR	refresh_rate_hz	T0	required	core display coverage
SMART_MONITOR	panel_technology	T0	required	core display coverage
SMART_MONITOR	connector_input_primary	T0	required	core display coverage
SMART_MONITOR	smart_os	T1	recommended_or_required_by_type	type-specific relevance
SMART_MONITOR	built_in_speakers	T1	recommended_or_required_by_type	type-specific relevance
SMART_MONITOR	remote_control_included	T1	recommended_or_required_by_type	type-specific relevance
TOUCHSCREEN_MONITOR	display_type	T0	required	core display coverage
TOUCHSCREEN_MONITOR	brand	T0	required	core display coverage
TOUCHSCREEN_MONITOR	condition	T0	required	core display coverage
TOUCHSCREEN_MONITOR	screen_size_in	T0	required	core display coverage
TOUCHSCREEN_MONITOR	resolution_class	T0	required	core display coverage
TOUCHSCREEN_MONITOR	refresh_rate_hz	T0	required	core display coverage
TOUCHSCREEN_MONITOR	panel_technology	T0	required	core display coverage
TOUCHSCREEN_MONITOR	connector_input_primary	T0	required	core display coverage
TOUCHSCREEN_MONITOR	touchscreen	T1	recommended_or_required_by_type	type-specific relevance
TOUCHSCREEN_MONITOR	touch_points	T1	recommended_or_required_by_type	type-specific relevance
TOUCHSCREEN_MONITOR	touch_interface	T1	recommended_or_required_by_type	type-specific relevance
MONITOR_ACCESSORY	display_type	T0	required	core display coverage
MONITOR_ACCESSORY	brand	T0	required	core display coverage
MONITOR_ACCESSORY	condition	T0	required	core display coverage
MONITOR_ACCESSORY	screen_size_in	T0	optional	core display coverage
MONITOR_ACCESSORY	resolution_class	T0	optional	core display coverage
MONITOR_ACCESSORY	refresh_rate_hz	T0	optional	core display coverage
MONITOR_ACCESSORY	panel_technology	T0	optional	core display coverage
MONITOR_ACCESSORY	connector_input_primary	T0	optional	core display coverage
MONITOR_ACCESSORY	monitor_accessory_type	T1	recommended_or_required_by_type	type-specific relevance
MONITOR_ACCESSORY	screen_size_in	T1	recommended_or_required_by_type	type-specific relevance
MONITOR_ACCESSORY	brand	T1	recommended_or_required_by_type	type-specific relevance
