brand	model	alias	locale	confidence	notes
DELL	U2723QE	u2723qe	ru	0.94	head alias
DELL	U2723QE	dell 27 4k usb c	ru	0.94	head alias
DELL	U2723QE	u2723qe	ru	0.92	lowercase alias
DELL	U2724D	u2724d	ru	0.94	head alias
DELL	U2724D	dell 27 qhd	ru	0.94	head alias
DELL	U2724D	u2724d	ru	0.92	lowercase alias
DELL	AW3423DWF	aw3423dwf	ru	0.94	head alias
DELL	AW3423DWF	alienware qd oled	ru	0.94	head alias
DELL	AW3423DWF	aw3423dwf	ru	0.92	lowercase alias
DELL	G2724D	g2724d	ru	0.94	head alias
DELL	G2724D	dell gaming 27	ru	0.94	head alias
DELL	G2724D	g2724d	ru	0.92	lowercase alias
LG	27GP850	lg 27gp850	ru	0.94	head alias
LG	27GP850	ultragear 27	ru	0.94	head alias
LG	27GP850	27gp850	ru	0.92	lowercase alias
LG	27GN950	lg 27gn950	ru	0.94	head alias
LG	27GN950	4k 144hz	ru	0.94	head alias
LG	27GN950	27gn950	ru	0.92	lowercase alias
LG	27MD5KL	lg ultrafine 5k	ru	0.94	head alias
LG	27MD5KL	27md5kl	ru	0.92	lowercase alias
LG	34WN80C	lg 34wn80c	ru	0.94	head alias
LG	34WN80C	ultrawide usb c	ru	0.94	head alias
LG	34WN80C	34wn80c	ru	0.92	lowercase alias
SAMSUNG	Odyssey G9	g9	ru	0.94	head alias
SAMSUNG	Odyssey G9	odyssey g9	ru	0.94	head alias
SAMSUNG	Odyssey G9	самсунг g9	ru	0.94	head alias
SAMSUNG	Odyssey G9	odyssey g9	ru	0.92	lowercase alias
SAMSUNG	Odyssey G7	g7	ru	0.94	head alias
SAMSUNG	Odyssey G7	odyssey g7	ru	0.94	head alias
SAMSUNG	Odyssey G7	odyssey g7	ru	0.92	lowercase alias
SAMSUNG	Smart Monitor M8	m8 smart monitor	ru	0.94	head alias
SAMSUNG	Smart Monitor M8	самсунг m8	ru	0.94	head alias
SAMSUNG	Smart Monitor M8	smart monitor m8	ru	0.92	lowercase alias
SAMSUNG	ViewFinity S9	s9 5k	ru	0.94	head alias
SAMSUNG	ViewFinity S9	viewfinity s9	ru	0.94	head alias
SAMSUNG	ViewFinity S9	viewfinity s9	ru	0.92	lowercase alias
ASUS	PA278QV	asus pa278qv	ru	0.94	head alias
ASUS	PA278QV	proart 27	ru	0.94	head alias
ASUS	PA278QV	pa278qv	ru	0.92	lowercase alias
ASUS	PG279QM	asus pg279qm	ru	0.94	head alias
ASUS	PG279QM	rog swift 240	ru	0.94	head alias
ASUS	PG279QM	pg279qm	ru	0.92	lowercase alias
ASUS	VG27AQ	asus vg27aq	ru	0.94	head alias
ASUS	VG27AQ	tuf 27	ru	0.94	head alias
ASUS	VG27AQ	vg27aq	ru	0.92	lowercase alias
ACER	XV272U	acer xv272u	ru	0.94	head alias
ACER	XV272U	nitro 27 qhd	ru	0.94	head alias
ACER	XV272U	xv272u	ru	0.92	lowercase alias
ACER	XB273U	acer xb273u	ru	0.94	head alias
ACER	XB273U	predator 27	ru	0.94	head alias
ACER	XB273U	xb273u	ru	0.92	lowercase alias
BENQ	EX2710Q	benq ex2710q	ru	0.94	head alias
BENQ	EX2710Q	mobiuz qhd	ru	0.94	head alias
BENQ	EX2710Q	ex2710q	ru	0.92	lowercase alias
BENQ	PD2705U	benq pd2705u	ru	0.94	head alias
BENQ	PD2705U	designer monitor	ru	0.94	head alias
BENQ	PD2705U	pd2705u	ru	0.92	lowercase alias
AOC	24G2	aoc 24g2	ru	0.94	head alias
AOC	24G2	24g2u	ru	0.94	head alias
AOC	24G2	24g2	ru	0.92	lowercase alias
AOC	Q27G2S	aoc q27g2s	ru	0.94	head alias
AOC	Q27G2S	q27g2s	ru	0.92	lowercase alias
GIGABYTE	M27Q	gigabyte m27q	ru	0.94	head alias
GIGABYTE	M27Q	m27q	ru	0.92	lowercase alias
GIGABYTE	M32U	gigabyte m32u 4k	ru	0.94	head alias
GIGABYTE	M32U	m32u	ru	0.92	lowercase alias
MSI	MAG274QRF-QD	msi mag274qrf qd	ru	0.94	head alias
MSI	MAG274QRF-QD	mag274qrf-qd	ru	0.92	lowercase alias
MSI	MD271P	msi md271p	ru	0.94	head alias
MSI	MD271P	md271p	ru	0.92	lowercase alias
VIEWSONIC	VX2758-2KP-MHD	viewsonic vx2758 2kp	ru	0.94	head alias
VIEWSONIC	VX2758-2KP-MHD	vx2758-2kp-mhd	ru	0.92	lowercase alias
VIEWSONIC	VP2768a	viewsonic vp2768a	ru	0.94	head alias
VIEWSONIC	VP2768a	vp2768a	ru	0.92	lowercase alias
PHILIPS	276E8VJSB	philips 276e8vjsb	ru	0.94	head alias
