brand	family	line	model	model_aliases	display_type	screen_size_in	resolution_class	refresh_rate_hz	panel_technology	notes
DELL	ULTRASHARP	U Series	U2723QE	u2723qe;dell 27 4k usb c	PROFESSIONAL_MONITOR	27	4K_UHD	60	IPS	head seed
DELL	ULTRASHARP	U Series	U2724D	u2724d;dell 27 qhd	PROFESSIONAL_MONITOR	27	QHD	120	IPS	head seed
DELL	ALIENWARE	AW Series	AW3423DWF	aw3423dwf;alienware qd oled	GAMING_MONITOR	34	WQHD	165	QD_OLED	head seed
DELL	G Series	G Series	G2724D	g2724d;dell gaming 27	GAMING_MONITOR	27	QHD	165	IPS	head seed
LG	ULTRAGEAR	27 Series	27GP850	lg 27gp850;ultragear 27	GAMING_MONITOR	27	QHD	165	IPS	head seed
LG	ULTRAGEAR	27 Series	27GN950	lg 27gn950;4k 144hz	GAMING_MONITOR	27	4K_UHD	144	IPS	head seed
LG	ULTRAFINE	5K	27MD5KL	lg ultrafine 5k	PROFESSIONAL_MONITOR	27	5K	60	IPS	head seed
LG	ULTRAWIDE	34 Series	34WN80C	lg 34wn80c;ultrawide usb c	COMPUTER_MONITOR	34	WQHD	60	IPS	head seed
SAMSUNG	ODYSSEY	G9	Odyssey G9	g9;odyssey g9;самсунг g9	GAMING_MONITOR	49	UWQHD	240	VA	head seed
SAMSUNG	ODYSSEY	G7	Odyssey G7	g7;odyssey g7	GAMING_MONITOR	32	QHD	240	VA	head seed
SAMSUNG	SMART MONITOR	M8	Smart Monitor M8	m8 smart monitor;самсунг m8	SMART_MONITOR	32	4K_UHD	60	VA	head seed
SAMSUNG	VIEWFINITY	S9	ViewFinity S9	s9 5k;viewfinity s9	PROFESSIONAL_MONITOR	27	5K	60	IPS	head seed
ASUS	PROART	PA Series	PA278QV	asus pa278qv;proart 27	PROFESSIONAL_MONITOR	27	QHD	75	IPS	head seed
ASUS	ROG SWIFT	PG Series	PG279QM	asus pg279qm;rog swift 240	GAMING_MONITOR	27	QHD	240	IPS	head seed
ASUS	TUF GAMING	VG Series	VG27AQ	asus vg27aq;tuf 27	GAMING_MONITOR	27	QHD	165	IPS	head seed
ACER	NITRO	XV Series	XV272U	acer xv272u;nitro 27 qhd	GAMING_MONITOR	27	QHD	144	IPS	head seed
ACER	PREDATOR	XB Series	XB273U	acer xb273u;predator 27	GAMING_MONITOR	27	QHD	165	IPS	head seed
BENQ	MOBIUZ	EX Series	EX2710Q	benq ex2710q;mobiuz qhd	GAMING_MONITOR	27	QHD	165	IPS	head seed
BENQ	PD	PD Series	PD2705U	benq pd2705u;designer monitor	PROFESSIONAL_MONITOR	27	4K_UHD	60	IPS	head seed
AOC	G2	24G2	24G2	aoc 24g2;24g2u	GAMING_MONITOR	24	FHD	144	IPS	head seed
AOC	Q27	Q27G2S	Q27G2S	aoc q27g2s	GAMING_MONITOR	27	QHD	165	IPS	head seed
GIGABYTE	M Series	M27Q	M27Q	gigabyte m27q	GAMING_MONITOR	27	QHD	170	IPS	head seed
GIGABYTE	M Series	M32U	M32U	gigabyte m32u 4k	GAMING_MONITOR	32	4K_UHD	144	IPS	head seed
MSI	OPTIX	MAG Series	MAG274QRF-QD	msi mag274qrf qd	GAMING_MONITOR	27	QHD	165	IPS	head seed
