query	expected_categoryCode	expected_display_type	expected_attrs_json	route_note
монитор 24 дюймов	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""screen_size_in"": ""24""}"	
монитор 27 дюймов	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""screen_size_in"": ""27""}"	
монитор 32 дюймов	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""screen_size_in"": ""32""}"	
монитор 34 дюймов	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""screen_size_in"": ""34""}"	
монитор 49 дюймов	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""screen_size_in"": ""49""}"	
игровой монитор 27 144 гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""screen_size_in"": ""27"", ""refresh_rate_hz"": ""144""}"	
монитор 4к 32 дюйма	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""screen_size_in"": ""32"", ""resolution_class"": ""4K_UHD""}"	
монитор 2к 165гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""resolution_class"": ""QHD"", ""refresh_rate_hz"": ""165""}"	
dell ultrasharp u2723qe	TECH.MONITORS_DISPLAYS	PROFESSIONAL_MONITOR	"{""brand"": ""DELL"", ""model"": ""U2723QE""}"	
lg ultragear 27gp850	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""LG"", ""model"": ""27GP850""}"	
samsung odyssey g9	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""SAMSUNG"", ""model"": ""Odyssey G9""}"	
apple studio display	TECH.MONITORS_DISPLAYS	PROFESSIONAL_MONITOR	"{""brand"": ""APPLE""}"	
asus proart 27	TECH.MONITORS_DISPLAYS	PROFESSIONAL_MONITOR	"{""brand"": ""ASUS""}"	
портативный монитор usb c	TECH.MONITORS_DISPLAYS	PORTABLE_MONITOR	"{""connector_input_primary"": ""USB_C""}"	
сенсорный монитор для кассы	TECH.MONITORS_DISPLAYS	TOUCHSCREEN_MONITOR	"{""touchscreen"": true}"	
smart monitor samsung m8	TECH.MONITORS_DISPLAYS	SMART_MONITOR	"{""brand"": ""SAMSUNG"", ""smart_os"": ""TIZEN""}"	
монитор 240hz qhd	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""refresh_rate_hz"": ""240"", ""resolution_class"": ""QHD""}"	
oled монитор 240 гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""panel_technology"": ""OLED"", ""refresh_rate_hz"": ""240""}"	
monitor 3440x1440 ultrawide	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""resolution_class"": ""WQHD"", ""ultrawide"": true}"	
кривой монитор 34 дюйма	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""screen_size_in"": ""34"", ""curved"": true}"	
монитор для дизайнера 4к	TECH.MONITORS_DISPLAYS	PROFESSIONAL_MONITOR	"{""resolution_class"": ""4K_UHD""}"	
benq pd2705u	TECH.MONITORS_DISPLAYS	PROFESSIONAL_MONITOR	"{""brand"": ""BENQ""}"	
aoc 24g2	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""AOC""}"	
gigabyte m27q	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""GIGABYTE""}"	
viewsonic vp2768a	TECH.MONITORS_DISPLAYS	PROFESSIONAL_MONITOR	"{""brand"": ""VIEWSONIC""}"	
монитор с usb-c 90w	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""connector_input_primary"": ""USB_C"", ""usb_c_power_delivery_w"": ""90""}"	
touchscreen monitor 10 point	TECH.MONITORS_DISPLAYS	TOUCHSCREEN_MONITOR	"{""touchscreen"": true}"	
монитор для ps5 120hz hdmi 2.1	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""refresh_rate_hz"": ""120"", ""connector_input_primary"": ""HDMI""}"	
профессиональный монитор eizo	TECH.MONITORS_DISPLAYS	PROFESSIONAL_MONITOR	"{""brand"": ""EIZO""}"	
portable monitor 15.6 full hd	TECH.MONITORS_DISPLAYS	PORTABLE_MONITOR	"{""screen_size_in"": ""15.6"", ""resolution_class"": ""FHD""}"	
dell монитор 27	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""brand"": ""DELL"", ""screen_size_in"": ""27""}"	
lg монитор 27	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""brand"": ""LG"", ""screen_size_in"": ""27""}"	
samsung монитор 27	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""brand"": ""SAMSUNG"", ""screen_size_in"": ""27""}"	
