attribute_code	value_code	label_ru	aliases_ru	notes
display_type	COMPUTER_MONITOR	Компьютерный монитор		monitor intended for regular PC/work use
display_type	GAMING_MONITOR	Игровой монитор		monitor marketed for gaming/high refresh/adaptive sync
display_type	PROFESSIONAL_MONITOR	Профессиональный монитор		monitor for color/design/video/engineering work
display_type	PORTABLE_MONITOR	Портативный монитор		portable USB-C/HDMI monitor
display_type	SMART_MONITOR	Smart monitor		monitor with built-in smart OS/apps
display_type	TOUCHSCREEN_MONITOR	Сенсорный монитор		touch-enabled PC monitor/POS display
display_type	MONITOR_ACCESSORY	Аксессуар для монитора		display-specific accessory/part, not general workstation accessory
brand	DELL	DELL	dell	head brand seed only; long-tail via runtime_candidates
brand	LG	LG	lg	head brand seed only; long-tail via runtime_candidates
brand	SAMSUNG	SAMSUNG	samsung	head brand seed only; long-tail via runtime_candidates
brand	ASUS	ASUS	asus	head brand seed only; long-tail via runtime_candidates
brand	ACER	ACER	acer	head brand seed only; long-tail via runtime_candidates
brand	BENQ	BENQ	benq	head brand seed only; long-tail via runtime_candidates
brand	AOC	AOC	aoc	head brand seed only; long-tail via runtime_candidates
brand	PHILIPS	PHILIPS	philips	head brand seed only; long-tail via runtime_candidates
brand	HP	HP	hp	head brand seed only; long-tail via runtime_candidates
brand	LENOVO	LENOVO	lenovo	head brand seed only; long-tail via runtime_candidates
brand	VIEWSONIC	VIEWSONIC	viewsonic	head brand seed only; long-tail via runtime_candidates
brand	GIGABYTE	GIGABYTE	gigabyte	head brand seed only; long-tail via runtime_candidates
brand	MSI	MSI	msi	head brand seed only; long-tail via runtime_candidates
brand	APPLE	APPLE	apple	head brand seed only; long-tail via runtime_candidates
brand	EIZO	EIZO	eizo	head brand seed only; long-tail via runtime_candidates
brand	IIYAMA	IIYAMA	iiyama	head brand seed only; long-tail via runtime_candidates
brand	XIAOMI	XIAOMI	xiaomi	head brand seed only; long-tail via runtime_candidates
brand	HUAWEI	HUAWEI	huawei	head brand seed only; long-tail via runtime_candidates
brand	KOORUI	KOORUI	koorui	head brand seed only; long-tail via runtime_candidates
brand	INNOCN	INNOCN	innocn	head brand seed only; long-tail via runtime_candidates
brand	ALIENWARE	ALIENWARE	alienware	head brand seed only; long-tail via runtime_candidates
condition	NEW	NEW	new	inherits common condition semantics
condition	OPEN_BOX	OPEN_BOX	open_box	inherits common condition semantics
condition	USED_EXCELLENT	USED_EXCELLENT	used_excellent	inherits common condition semantics
condition	USED_GOOD	USED_GOOD	used_good	inherits common condition semantics
condition	USED_FAIR	USED_FAIR	used_fair	inherits common condition semantics
condition	REFURBISHED	REFURBISHED	refurbished	inherits common condition semantics
condition	FOR_PARTS	FOR_PARTS	for_parts	inherits common condition semantics
screen_size_in	13.3	13.3″	13_3 дюймов	head size; numeric parser accepts long-tail
screen_size_in	14	14″	14 дюймов	head size; numeric parser accepts long-tail
screen_size_in	15.6	15.6″	15_6 дюймов	head size; numeric parser accepts long-tail
screen_size_in	16	16″	16 дюймов	head size; numeric parser accepts long-tail
screen_size_in	17.3	17.3″	17_3 дюймов	head size; numeric parser accepts long-tail
screen_size_in	18.5	18.5″	18_5 дюймов	head size; numeric parser accepts long-tail
