alias	locale	target_attribute	target_value	match_type	priority	negative_guard	notes
патч-корд	ru	networking_type	NETWORK_ACCESSORY	phrase	90		Network-specific cable/accessory, not USB/HDMI/power cable
патч корд	ru	networking_type	NETWORK_ACCESSORY	phrase	90		Network-specific cable/accessory, not USB/HDMI/power cable
ethernet cable	ru	networking_type	NETWORK_ACCESSORY	phrase	90		Network-specific cable/accessory, not USB/HDMI/power cable
lan кабель	ru	networking_type	NETWORK_ACCESSORY	phrase	90		Network-specific cable/accessory, not USB/HDMI/power cable
сетевой кабель rj45	ru	networking_type	NETWORK_ACCESSORY	phrase	90		Network-specific cable/accessory, not USB/HDMI/power cable
кабель rj45	ru	networking_type	NETWORK_ACCESSORY	phrase	90		Network-specific cable/accessory, not USB/HDMI/power cable
витая пара	ru	networking_type	NETWORK_ACCESSORY	phrase	90		Network-specific cable/accessory, not USB/HDMI/power cable
utp кабель	ru	networking_type	NETWORK_ACCESSORY	phrase	90		Network-specific cable/accessory, not USB/HDMI/power cable
ftp кабель	ru	networking_type	NETWORK_ACCESSORY	phrase	90		Network-specific cable/accessory, not USB/HDMI/power cable
rj45 коннектор	ru	networking_type	NETWORK_ACCESSORY	phrase	88		
коннектор rj45	ru	networking_type	NETWORK_ACCESSORY	phrase	88		
rj45 розетка	ru	networking_type	NETWORK_ACCESSORY	phrase	88		
розетка rj45	ru	networking_type	NETWORK_ACCESSORY	phrase	88		
keystone jack	ru	networking_type	NETWORK_ACCESSORY	phrase	88		
патч-панель	ru	networking_type	NETWORK_ACCESSORY	phrase	88		
патч панель 24 порта	ru	networking_type	NETWORK_ACCESSORY	phrase	88		
сетевой шкаф аксессуары	ru	networking_type	NETWORK_ACCESSORY	phrase	88		
обжимка rj45	ru	networking_type	NETWORK_ACCESSORY	phrase	88		
кримпер rj45	ru	networking_type	NETWORK_ACCESSORY	phrase	88		
тестер витой пары	ru	networking_type	NETWORK_ACCESSORY	phrase	88		
lan tester	ru	networking_type	NETWORK_ACCESSORY	phrase	88		
gpon терминал	ru	networking_type	MODEM	phrase	88		
gpon ont	ru	networking_type	MODEM	phrase	88		
onu терминал	ru	networking_type	MODEM	phrase	88		
ont onu	ru	networking_type	MODEM	phrase	88		
оптический терминал	ru	networking_type	MODEM	phrase	88		
xgs-pon ont	ru	networking_type	MODEM	phrase	88		
xgpon ont	ru	networking_type	MODEM	phrase	88		
wifi антенна	ru	networking_type	ANTENNA	phrase	87		
wi-fi антенна	ru	networking_type	ANTENNA	phrase	87		
секторная антенна	ru	networking_type	ANTENNA	phrase	87		
параболическая антенна	ru	networking_type	ANTENNA	phrase	87		
тарелка ubiquiti	ru	networking_type	ANTENNA	phrase	87		
litebeam	ru	networking_type	ANTENNA	phrase	87		
powerbeam	ru	networking_type	ANTENNA	phrase	87		
mimo 2x2 антенна	ru	networking_type	ANTENNA	phrase	87		
наружная lte антенна	ru	networking_type	ANTENNA	phrase	87		
антенна 4g mimo	ru	networking_type	ANTENNA	phrase	87		
антенна 5g mimo	ru	networking_type	ANTENNA	phrase	87		
poe сплиттер	ru	networking_type	POE_INJECTOR	phrase	86		
poe injector 48v	ru	networking_type	POE_INJECTOR	phrase	86		
инжектор poe 48v	ru	networking_type	POE_INJECTOR	phrase	86		
passive poe injector	ru	networking_type	POE_INJECTOR	phrase	86		
poe адаптер питания	ru	networking_type	POE_INJECTOR	phrase	86		
vpn роутер	ru	networking_type	ROUTER	phrase	84		
firewall router	ru	networking_type	ROUTER	phrase	84		
маршрутизатор vpn	ru	networking_type	ROUTER	phrase	84		
openwrt router	ru	networking_type	ROUTER	phrase	84		
travel router	ru	networking_type	ROUTER	phrase	84		
роутер для путешествий	ru	networking_type	ROUTER	phrase	84		
reyee	ru	brand	RUIJIE_REYEE	phrase	82		
ruijie	ru	brand	RUIJIE_REYEE	phrase	82		
рюиджи	ru	brand	RUIJIE_REYEE	phrase	82		
рейи	ru	brand	RUIJIE_REYEE	phrase	82		
cudy	ru	brand	CUDY	phrase	82		
куди	ru	brand	CUDY	phrase	82		
gl inet	ru	brand	GL_INET	phrase	82		
gl.inet	ru	brand	GL_INET	phrase	82		
gl-inet	ru	brand	GL_INET	phrase	82		
gli net	ru	brand	GL_INET	phrase	82		
гл инет	ru	brand	GL_INET	phrase	82		
fritzbox	ru	brand	AVM_FRITZ	phrase	82		
fritz box	ru	brand	AVM_FRITZ	phrase	82		
фрицбокс	ru	brand	AVM_FRITZ	phrase	82		
avm fritz	ru	brand	AVM_FRITZ	phrase	82		
draytek	ru	brand	DRAYTEK	phrase	82		
vigor router	ru	brand	DRAYTEK	phrase	82		
дрейтек	ru	brand	DRAYTEK	phrase	82		
peplink	ru	brand	PEPLINK	phrase	82		
pepwave	ru	brand	PEPLINK	phrase	82		
gpon	ru	modem_type	GPON_ONT	phrase	76		
ont	ru	modem_type	GPON_ONT	phrase	76		
onu	ru	modem_type	GPON_ONT	phrase	76		
xgs-pon	ru	modem_type	XGPON_XGSPON_ONT	phrase	76		
xgpon	ru	modem_type	XGPON_XGSPON_ONT	phrase	76		
секторная	ru	antenna_type	SECTOR	phrase	75		
sector antenna	ru	antenna_type	SECTOR	phrase	75		
параболическая	ru	antenna_type	PARABOLIC	phrase	75		
dish antenna	ru	antenna_type	PARABOLIC	phrase	75		
