brand	family	line	model	networking_type	wifi_standard	ethernet_max_speed	port_hint	poe_hint	controller_ecosystem	popularity_tier	notes
UBIQUITI	LITEBEAM	AC	LiteBeam 5AC	ANTENNA	NO_WIFI	UNKNOWN	wireless backhaul	POE_INPUT	UNIFI	B	Directional outdoor wireless bridge/antenna
UBIQUITI	NANOBEAM	AC	NanoBeam 5AC	ANTENNA	NO_WIFI	UNKNOWN	wireless backhaul	POE_INPUT	UNIFI	B	Directional outdoor wireless bridge/antenna
MIKROTIK	MANT	LTE	mANT LTE 5o	ANTENNA	NO_WIFI	UNKNOWN	LTE antenna	NO_POE	MIKROTIK_ROUTEROS	B	Outdoor LTE antenna
TP_LINK	TL-ANT	2.4GHz	TL-ANT2409A	ANTENNA	NO_WIFI	UNKNOWN	SMA antenna	NO_POE	GENERIC	C	Wi-Fi antenna head value
HUAWEI	LTE_ANTENNA	MIMO	Huawei 4G MIMO Antenna	ANTENNA	NO_WIFI	UNKNOWN	LTE MIMO antenna	NO_POE	GENERIC	C	Cellular antenna generic head
GENERIC	PATCH_PANEL	24_PORT	24-port Cat6 Patch Panel	NETWORK_ACCESSORY	NO_WIFI	1_GBPS	24 RJ45	NO_POE	GENERIC	B	Network accessory fixture
GENERIC	KEYSTONE	CAT6	Cat6 RJ45 Keystone Jack	NETWORK_ACCESSORY	NO_WIFI	1_GBPS	RJ45	NO_POE	GENERIC	C	Network accessory fixture
GENERIC	PATCH_CORD	CAT6	Cat6 Ethernet Patch Cord	NETWORK_ACCESSORY	NO_WIFI	1_GBPS	RJ45 cable	NO_POE	GENERIC	A	Network-specific cable fixture
GENERIC	TOOL	RJ45	RJ45 Crimp Tool	NETWORK_ACCESSORY	NO_WIFI	UNKNOWN	tool	NO_POE	GENERIC	C	Network tool/accessory fixture
HUAWEI	ECHO_LIFE	ONT	EchoLife HG8245H	MODEM	WIFI_4	1_GBPS	4 LAN + PON	NO_POE	GENERIC	B	GPON ONT
ZTE	ZXHN	ONT	ZXHN F660	MODEM	WIFI_4	1_GBPS	4 LAN + PON	NO_POE	GENERIC	B	GPON ONT
NOKIA	G	ONT	Nokia G-240W	MODEM	WIFI_5	1_GBPS	4 LAN + PON	NO_POE	GENERIC	C	GPON ONT
GL_INET	FLINT	AX	Flint 2 GL-MT6000	ROUTER	WIFI_6	2_5_GBPS	5 ports	NO_POE	GLINET_OPENWRT	B	Travel/OpenWrt router
CUDY	WR	AX	Cudy WR3000	ROUTER	WIFI_6	1_GBPS	4 LAN	NO_POE	GENERIC	C	Budget router
RUIJIE_REYEE	RG_EW	AX	Reyee RG-EW3200GX Pro	ROUTER	WIFI_6	1_GBPS	4 LAN	NO_POE	RUIJIE_REYEE_CLOUD	B	Ruijie/Reyee router
DRAYTEK	VIGOR	VPN	Vigor 2927	ROUTER	WIFI_6	1_GBPS	5 ports	NO_POE	GENERIC	C	VPN router
