attribute_code	value_code	label_ru	label_en	aliases_ru	priority	status	notes
brand	RUIJIE_REYEE	Ruijie / Reyee	Ruijie/Reyee	ruijie;reyee;рюиджи;рейи	82	head_delta	Networking-first brand for routers/AP/switches
brand	CUDY	Cudy	Cudy	куди;cudy router	81	head_delta	Budget routers/adapters/repeaters
brand	GL_INET	GL.iNet	GL.iNet	gl inet;gli net;gl-inet;гл инет	80	head_delta	Travel routers/OpenWrt devices
brand	AVM_FRITZ	AVM FRITZ!Box	AVM FRITZ!Box	fritzbox;фрицбокс;avm	79	head_delta	EU routers/DSL modems
brand	DRAYTEK	DrayTek	DrayTek	дрейтек;vigor	78	head_delta	Business routers/VPN routers
brand	PEPLINK	Peplink	Peplink	pepwave;пеплинк	77	head_delta	Cellular/SD-WAN routers
controller_ecosystem	RUIJIE_REYEE_CLOUD	Ruijie/Reyee Cloud	Ruijie/Reyee Cloud	reyee cloud;ruijie cloud	65	head_delta	Controller ecosystem for Ruijie/Reyee devices
controller_ecosystem	GLINET_OPENWRT	GL.iNet / OpenWrt	GL.iNet/OpenWrt	openwrt;gl inet	64	head_delta	Travel-router ecosystem
modem_type	GPON_ONT	GPON / ONT терминал	GPON/ONT	gpon;ont;onu;оптический терминал	84	head_delta	Fiber ONT/ONU devices; maps to MODEM
modem_type	XGPON_XGSPON_ONT	XG-PON / XGS-PON ONT	XG-PON/XGS-PON ONT	xgpon;xgspon;xgs-pon	70	head_delta	Fiber high-speed ONT devices
antenna_type	SECTOR	Секторная антенна	Sector antenna	секторная антенна;sector antenna	70	head_delta	Outdoor AP/backhaul cases
antenna_type	PARABOLIC	Параболическая антенна	Parabolic antenna	параболическая антенна;dish antenna	69	head_delta	Directional wireless backhaul
