alias	locale	target_attribute	target_value	match_type	priority	negative_guard	notes
роутер	ru	networking_type	ROUTER	phrase	100		
маршрутизатор	ru	networking_type	ROUTER	phrase	99		
вай фай роутер	ru	networking_type	ROUTER	phrase	98		
wifi роутер	ru	networking_type	ROUTER	phrase	97		
wi-fi роутер	ru	networking_type	ROUTER	phrase	96		
router	ru	networking_type	ROUTER	phrase	95		
mesh wifi	ru	networking_type	MESH_WIFI_SYSTEM	phrase	100		
mesh wi-fi	ru	networking_type	MESH_WIFI_SYSTEM	phrase	99		
меш система	ru	networking_type	MESH_WIFI_SYSTEM	phrase	98		
mesh система	ru	networking_type	MESH_WIFI_SYSTEM	phrase	97		
mesh роутер	ru	networking_type	MESH_WIFI_SYSTEM	phrase	96		
mesh комплект	ru	networking_type	MESH_WIFI_SYSTEM	phrase	95		
модем	ru	networking_type	MODEM	phrase	100		
кабельный модем	ru	networking_type	MODEM	phrase	99		
dsl модем	ru	networking_type	MODEM	phrase	98		
lte модем	ru	networking_type	MODEM	phrase	97		
4g модем	ru	networking_type	MODEM	phrase	96		
5g модем	ru	networking_type	MODEM	phrase	95		
usb модем	ru	networking_type	MODEM	phrase	94		
ont терминал	ru	networking_type	MODEM	phrase	93		
точка доступа	ru	networking_type	ACCESS_POINT	phrase	100		
access point	ru	networking_type	ACCESS_POINT	phrase	99		
ap wifi	ru	networking_type	ACCESS_POINT	phrase	98		
потолочная точка доступа	ru	networking_type	ACCESS_POINT	phrase	97		
уличная точка доступа	ru	networking_type	ACCESS_POINT	phrase	96		
свитч	ru	networking_type	SWITCH	phrase	100		
коммутатор	ru	networking_type	SWITCH	phrase	99		
ethernet switch	ru	networking_type	SWITCH	phrase	98		
switch poe	ru	networking_type	SWITCH	phrase	97		
poe switch	ru	networking_type	SWITCH	phrase	96		
гигабитный коммутатор	ru	networking_type	SWITCH	phrase	95		
репитер	ru	networking_type	WIFI_EXTENDER	phrase	100		
повторитель wifi	ru	networking_type	WIFI_EXTENDER	phrase	99		
усилитель wifi	ru	networking_type	WIFI_EXTENDER	phrase	98		
wifi extender	ru	networking_type	WIFI_EXTENDER	phrase	97		
range extender	ru	networking_type	WIFI_EXTENDER	phrase	96		
ретранслятор wifi	ru	networking_type	WIFI_EXTENDER	phrase	95		
сетевой адаптер	ru	networking_type	NETWORK_ADAPTER	phrase	100		
wifi адаптер	ru	networking_type	NETWORK_ADAPTER	phrase	99		
usb wifi адаптер	ru	networking_type	NETWORK_ADAPTER	phrase	98		
pci-e wifi адаптер	ru	networking_type	NETWORK_ADAPTER	phrase	97		
usb ethernet	ru	networking_type	NETWORK_ADAPTER	phrase	96		
сетевуха	ru	networking_type	NETWORK_ADAPTER	phrase	95		
антенна wifi	ru	networking_type	ANTENNA	phrase	100		
lte антенна	ru	networking_type	ANTENNA	phrase	99		
4g антенна	ru	networking_type	ANTENNA	phrase	98		
5g антенна	ru	networking_type	ANTENNA	phrase	97		
направленная антенна	ru	networking_type	ANTENNA	phrase	96		
mimo антенна	ru	networking_type	ANTENNA	phrase	95		
poe инжектор	ru	networking_type	POE_INJECTOR	phrase	100		
инжектор poe	ru	networking_type	POE_INJECTOR	phrase	99		
poe injector	ru	networking_type	POE_INJECTOR	phrase	98		
питание по ethernet	ru	networking_type	POE_INJECTOR	phrase	97		
сетевой аксессуар	ru	networking_type	NETWORK_ACCESSORY	phrase	100		
патч панель	ru	networking_type	NETWORK_ACCESSORY	phrase	99		
keystone	ru	networking_type	NETWORK_ACCESSORY	phrase	98		
сетевой тестер	ru	networking_type	NETWORK_ACCESSORY	phrase	97		
network accessory	ru	networking_type	NETWORK_ACCESSORY	phrase	96		
tp-link	ru	brand	TP_LINK	phrase	95		
тп линк	ru	brand	TP_LINK	phrase	94		
tplink	ru	brand	TP_LINK	phrase	93		
