query	expected_categoryCode	expected_networking_type	expected_brand	expected_attributes	negative_route	notes
Archer AX55 TP_LINK	TECH.NETWORKING	ROUTER	TP_LINK	model=Archer AX55		
Archer AX73 TP_LINK	TECH.NETWORKING	ROUTER	TP_LINK	model=Archer AX73		
Deco X20 TP_LINK	TECH.NETWORKING	MESH_WIFI_SYSTEM	TP_LINK	model=Deco X20		
Deco X50 TP_LINK	TECH.NETWORKING	MESH_WIFI_SYSTEM	TP_LINK	model=Deco X50		
EAP610 TP_LINK	TECH.NETWORKING	ACCESS_POINT	TP_LINK	model=EAP610		
TL-SG108 TP_LINK	TECH.NETWORKING	SWITCH	TP_LINK	model=TL-SG108		
TL-SG1008P TP_LINK	TECH.NETWORKING	SWITCH	TP_LINK	model=TL-SG1008P		
RE605X TP_LINK	TECH.NETWORKING	WIFI_EXTENDER	TP_LINK	model=RE605X		
Archer T3U TP_LINK	TECH.NETWORKING	NETWORK_ADAPTER	TP_LINK	model=Archer T3U		
Archer TX20E TP_LINK	TECH.NETWORKING	NETWORK_ADAPTER	TP_LINK	model=Archer TX20E		
RT-AX86U ASUS	TECH.NETWORKING	ROUTER	ASUS	model=RT-AX86U		
RT-AX88U ASUS	TECH.NETWORKING	ROUTER	ASUS	model=RT-AX88U		
ZenWiFi XT8 ASUS	TECH.NETWORKING	MESH_WIFI_SYSTEM	ASUS	model=ZenWiFi XT8		
RAX50 NETGEAR	TECH.NETWORKING	ROUTER	NETGEAR	model=RAX50		
Orbi RBK752 NETGEAR	TECH.NETWORKING	MESH_WIFI_SYSTEM	NETGEAR	model=Orbi RBK752		
EX6250 NETGEAR	TECH.NETWORKING	WIFI_EXTENDER	NETGEAR	model=EX6250		
UniFi Dream Machine UBIQUITI	TECH.NETWORKING	ROUTER	UBIQUITI	model=UniFi Dream Machine		
UniFi Express UBIQUITI	TECH.NETWORKING	ROUTER	UBIQUITI	model=UniFi Express		
U6 Lite UBIQUITI	TECH.NETWORKING	ACCESS_POINT	UBIQUITI	model=U6 Lite		
U6 Pro UBIQUITI	TECH.NETWORKING	ACCESS_POINT	UBIQUITI	model=U6 Pro		
U7 Pro UBIQUITI	TECH.NETWORKING	ACCESS_POINT	UBIQUITI	model=U7 Pro		
USW-24-PoE UBIQUITI	TECH.NETWORKING	SWITCH	UBIQUITI	model=USW-24-PoE		
USW-Flex-Mini UBIQUITI	TECH.NETWORKING	SWITCH	UBIQUITI	model=USW-Flex-Mini		
U-POE-af UBIQUITI	TECH.NETWORKING	POE_INJECTOR	UBIQUITI	model=U-POE-af		
hAP ax3 MIKROTIK	TECH.NETWORKING	ROUTER	MIKROTIK	model=hAP ax3		
hAP ac2 MIKROTIK	TECH.NETWORKING	ROUTER	MIKROTIK	model=hAP ac2		
RB5009UG+S+IN MIKROTIK	TECH.NETWORKING	ROUTER	MIKROTIK	model=RB5009UG+S+IN		
CRS326-24G-2S+RM MIKROTIK	TECH.NETWORKING	SWITCH	MIKROTIK	model=CRS326-24G-2S+RM		
Keenetic Giga KN-1011 KEENETIC	TECH.NETWORKING	ROUTER	KEENETIC	model=Keenetic Giga KN-1011		
Keenetic Viva KN-1912 KEENETIC	TECH.NETWORKING	ROUTER	KEENETIC	model=Keenetic Viva KN-1912		
Keenetic Hero 4G KEENETIC	TECH.NETWORKING	ROUTER	KEENETIC	model=Keenetic Hero 4G		
Mi Router AX3000 XIAOMI	TECH.NETWORKING	ROUTER	XIAOMI	model=Mi Router AX3000		
Huawei WiFi AX3 HUAWEI	TECH.NETWORKING	ROUTER	HUAWEI	model=Huawei WiFi AX3		
NWA50AX ZYXEL	TECH.NETWORKING	ACCESS_POINT	ZYXEL	model=NWA50AX		
DIR-X5460 D_LINK	TECH.NETWORKING	ROUTER	D_LINK	model=DIR-X5460		
Nova MW6 TENDA	TECH.NETWORKING	MESH_WIFI_SYSTEM	TENDA	model=Nova MW6		
Halo H50G MERCUSYS	TECH.NETWORKING	MESH_WIFI_SYSTEM	MERCUSYS	model=Halo H50G		
Catalyst 2960 CISCO	TECH.NETWORKING	SWITCH	CISCO	model=Catalyst 2960		
Aruba Instant On AP22 HPE_ARUBA	TECH.NETWORKING	ACCESS_POINT	HPE_ARUBA	model=Aruba Instant On AP22		
MB8611 MOTOROLA	TECH.NETWORKING	MODEM	MOTOROLA	model=MB8611		
SB8200 ARRIS	TECH.NETWORKING	MODEM	ARRIS	model=SB8200		
RUTX11 TELTONIKA	TECH.NETWORKING	ROUTER	TELTONIKA	model=RUTX11		
роутер	TECH.NETWORKING	ROUTER				
маршрутизатор	TECH.NETWORKING	ROUTER				
вай фай роутер	TECH.NETWORKING	ROUTER				
wifi роутер	TECH.NETWORKING	ROUTER				
wi-fi роутер	TECH.NETWORKING	ROUTER				
router	TECH.NETWORKING	ROUTER				
mesh wifi	TECH.NETWORKING	MESH_WIFI_SYSTEM				
mesh wi-fi	TECH.NETWORKING	MESH_WIFI_SYSTEM				
меш система	TECH.NETWORKING	MESH_WIFI_SYSTEM				
mesh система	TECH.NETWORKING	MESH_WIFI_SYSTEM				
mesh роутер	TECH.NETWORKING	MESH_WIFI_SYSTEM				
mesh комплект	TECH.NETWORKING	MESH_WIFI_SYSTEM				
модем	TECH.NETWORKING	MODEM				
кабельный модем	TECH.NETWORKING	MODEM				
dsl модем	TECH.NETWORKING	MODEM				
lte модем	TECH.NETWORKING	MODEM				
4g модем	TECH.NETWORKING	MODEM				
5g модем	TECH.NETWORKING	MODEM				
usb модем	TECH.NETWORKING	MODEM				
ont терминал	TECH.NETWORKING	MODEM				
точка доступа	TECH.NETWORKING	ACCESS_POINT				
access point	TECH.NETWORKING	ACCESS_POINT				
ap wifi	TECH.NETWORKING	ACCESS_POINT				
потолочная точка доступа	TECH.NETWORKING	ACCESS_POINT				
уличная точка доступа	TECH.NETWORKING	ACCESS_POINT				
свитч	TECH.NETWORKING	SWITCH				
коммутатор	TECH.NETWORKING	SWITCH				
ethernet switch	TECH.NETWORKING	SWITCH				
switch poe	TECH.NETWORKING	SWITCH				
poe switch	TECH.NETWORKING	SWITCH				
гигабитный коммутатор	TECH.NETWORKING	SWITCH				
репитер	TECH.NETWORKING	WIFI_EXTENDER				
повторитель wifi	TECH.NETWORKING	WIFI_EXTENDER				
усилитель wifi	TECH.NETWORKING	WIFI_EXTENDER				
wifi extender	TECH.NETWORKING	WIFI_EXTENDER				
range extender	TECH.NETWORKING	WIFI_EXTENDER				
ретранслятор wifi	TECH.NETWORKING	WIFI_EXTENDER				
сетевой адаптер	TECH.NETWORKING	NETWORK_ADAPTER				
wifi адаптер	TECH.NETWORKING	NETWORK_ADAPTER				
usb wifi адаптер	TECH.NETWORKING	NETWORK_ADAPTER				
pci-e wifi адаптер	TECH.NETWORKING	NETWORK_ADAPTER				
usb ethernet	TECH.NETWORKING	NETWORK_ADAPTER				
сетевуха	TECH.NETWORKING	NETWORK_ADAPTER				
антенна wifi	TECH.NETWORKING	ANTENNA				
lte антенна	TECH.NETWORKING	ANTENNA				
4g антенна	TECH.NETWORKING	ANTENNA				
5g антенна	TECH.NETWORKING	ANTENNA				
направленная антенна	TECH.NETWORKING	ANTENNA				
