networking_type	attribute_code	coverage_role	required_for_type	facet_role	notes
ROUTER	networking_type	T1_required	yes	primary	
ROUTER	brand	T1_required	yes	primary	
ROUTER	condition	T1_required	yes	primary	
ROUTER	model_name_text	optional	no	secondary	
ROUTER	wifi_standard	optional	no	primary	
ROUTER	ethernet_max_speed	optional	no	primary	
ROUTER	port_count	optional	no	primary	
ROUTER	poe_support	optional	no	primary	
ROUTER	wifi_band	optional	no	secondary	
ROUTER	mesh_node_count	optional	no	secondary	
ROUTER	modem_type	optional	no	secondary	
ROUTER	cellular_standard	optional	no	secondary	
ROUTER	managed_switch	optional	no	secondary	
ROUTER	controller_ecosystem	optional	no	secondary	
ROUTER	mount_type	optional	no	secondary	
ROUTER	outdoor_rated	optional	no	secondary	
ROUTER	antenna_gain_dbi	optional	no	secondary	
MESH_WIFI_SYSTEM	networking_type	T1_required	yes	primary	
MESH_WIFI_SYSTEM	brand	T1_required	yes	primary	
MESH_WIFI_SYSTEM	condition	T1_required	yes	primary	
MESH_WIFI_SYSTEM	model_name_text	optional	no	secondary	
MESH_WIFI_SYSTEM	wifi_standard	optional	no	primary	
MESH_WIFI_SYSTEM	ethernet_max_speed	optional	no	primary	
MESH_WIFI_SYSTEM	port_count	optional	no	primary	
MESH_WIFI_SYSTEM	poe_support	optional	no	primary	
MESH_WIFI_SYSTEM	wifi_band	optional	no	secondary	
MESH_WIFI_SYSTEM	mesh_node_count	optional	no	secondary	
MESH_WIFI_SYSTEM	modem_type	optional	no	secondary	
MESH_WIFI_SYSTEM	cellular_standard	optional	no	secondary	
MESH_WIFI_SYSTEM	managed_switch	optional	no	secondary	
MESH_WIFI_SYSTEM	controller_ecosystem	optional	no	secondary	
MESH_WIFI_SYSTEM	mount_type	optional	no	secondary	
MESH_WIFI_SYSTEM	outdoor_rated	optional	no	secondary	
MESH_WIFI_SYSTEM	antenna_gain_dbi	optional	no	secondary	
MODEM	networking_type	T1_required	yes	primary	
MODEM	brand	T1_required	yes	primary	
MODEM	condition	T1_required	yes	primary	
MODEM	model_name_text	optional	no	secondary	
MODEM	wifi_standard	optional	no	primary	
MODEM	ethernet_max_speed	optional	no	primary	
MODEM	port_count	optional	no	primary	
MODEM	poe_support	optional	no	primary	
MODEM	wifi_band	optional	no	secondary	
MODEM	mesh_node_count	optional	no	secondary	
MODEM	modem_type	T1_required	yes	secondary	
MODEM	cellular_standard	optional	no	secondary	
MODEM	managed_switch	optional	no	secondary	
MODEM	controller_ecosystem	optional	no	secondary	
MODEM	mount_type	optional	no	secondary	
MODEM	outdoor_rated	optional	no	secondary	
MODEM	antenna_gain_dbi	optional	no	secondary	
ACCESS_POINT	networking_type	T1_required	yes	primary	
ACCESS_POINT	brand	T1_required	yes	primary	
ACCESS_POINT	condition	T1_required	yes	primary	
ACCESS_POINT	model_name_text	optional	no	secondary	
ACCESS_POINT	wifi_standard	optional	no	primary	
ACCESS_POINT	ethernet_max_speed	optional	no	primary	
ACCESS_POINT	port_count	optional	no	primary	
ACCESS_POINT	poe_support	optional	no	primary	
ACCESS_POINT	wifi_band	optional	no	secondary	
ACCESS_POINT	mesh_node_count	optional	no	secondary	
ACCESS_POINT	modem_type	optional	no	secondary	
ACCESS_POINT	cellular_standard	optional	no	secondary	
ACCESS_POINT	managed_switch	optional	no	secondary	
ACCESS_POINT	controller_ecosystem	optional	no	secondary	
ACCESS_POINT	mount_type	optional	no	secondary	
ACCESS_POINT	outdoor_rated	optional	no	secondary	
ACCESS_POINT	antenna_gain_dbi	optional	no	secondary	
SWITCH	networking_type	T1_required	yes	primary	
SWITCH	brand	T1_required	yes	primary	
SWITCH	condition	T1_required	yes	primary	
SWITCH	model_name_text	optional	no	secondary	
SWITCH	wifi_standard	optional	no	primary	
SWITCH	ethernet_max_speed	optional	no	primary	
SWITCH	port_count	T1_required	yes	primary	
SWITCH	poe_support	optional	no	primary	
SWITCH	wifi_band	optional	no	secondary	
SWITCH	mesh_node_count	optional	no	secondary	
SWITCH	modem_type	optional	no	secondary	
SWITCH	cellular_standard	optional	no	secondary	
SWITCH	managed_switch	T1_required	yes	secondary	
SWITCH	controller_ecosystem	optional	no	secondary	
SWITCH	mount_type	optional	no	secondary	
SWITCH	outdoor_rated	optional	no	secondary	
SWITCH	antenna_gain_dbi	optional	no	secondary	
WIFI_EXTENDER	networking_type	T1_required	yes	primary	
WIFI_EXTENDER	brand	T1_required	yes	primary	
WIFI_EXTENDER	condition	T1_required	yes	primary	
WIFI_EXTENDER	model_name_text	optional	no	secondary	
WIFI_EXTENDER	wifi_standard	optional	no	primary	
WIFI_EXTENDER	ethernet_max_speed	optional	no	primary	
WIFI_EXTENDER	port_count	optional	no	primary	
WIFI_EXTENDER	poe_support	optional	no	primary	
WIFI_EXTENDER	wifi_band	optional	no	secondary	
WIFI_EXTENDER	mesh_node_count	optional	no	secondary	
WIFI_EXTENDER	modem_type	optional	no	secondary	
WIFI_EXTENDER	cellular_standard	optional	no	secondary	
WIFI_EXTENDER	managed_switch	optional	no	secondary	
WIFI_EXTENDER	controller_ecosystem	optional	no	secondary	
WIFI_EXTENDER	mount_type	optional	no	secondary	
WIFI_EXTENDER	outdoor_rated	optional	no	secondary	
WIFI_EXTENDER	antenna_gain_dbi	optional	no	secondary	
NETWORK_ADAPTER	networking_type	T1_required	yes	primary	
NETWORK_ADAPTER	brand	T1_required	yes	primary	
NETWORK_ADAPTER	condition	T1_required	yes	primary	
NETWORK_ADAPTER	model_name_text	optional	no	secondary	
NETWORK_ADAPTER	wifi_standard	optional	no	primary	
NETWORK_ADAPTER	ethernet_max_speed	optional	no	primary	
NETWORK_ADAPTER	port_count	optional	no	primary	
NETWORK_ADAPTER	poe_support	optional	no	primary	
NETWORK_ADAPTER	wifi_band	optional	no	secondary	
NETWORK_ADAPTER	mesh_node_count	optional	no	secondary	
NETWORK_ADAPTER	modem_type	optional	no	secondary	
NETWORK_ADAPTER	cellular_standard	optional	no	secondary	
NETWORK_ADAPTER	managed_switch	optional	no	secondary	
NETWORK_ADAPTER	controller_ecosystem	optional	no	secondary	
NETWORK_ADAPTER	mount_type	optional	no	secondary	
NETWORK_ADAPTER	outdoor_rated	optional	no	secondary	
NETWORK_ADAPTER	antenna_gain_dbi	optional	no	secondary	
ANTENNA	networking_type	T1_required	yes	primary	
ANTENNA	brand	T1_required	yes	primary	
ANTENNA	condition	T1_required	yes	primary	
ANTENNA	model_name_text	optional	no	secondary	
ANTENNA	wifi_standard	optional	no	primary	
ANTENNA	ethernet_max_speed	optional	no	primary	
ANTENNA	port_count	optional	no	primary	
ANTENNA	poe_support	optional	no	primary	
ANTENNA	wifi_band	optional	no	secondary	
ANTENNA	mesh_node_count	optional	no	secondary	
ANTENNA	modem_type	optional	no	secondary	
ANTENNA	cellular_standard	optional	no	secondary	
ANTENNA	managed_switch	optional	no	secondary	
ANTENNA	controller_ecosystem	optional	no	secondary	
ANTENNA	mount_type	optional	no	secondary	
ANTENNA	outdoor_rated	optional	no	secondary	
ANTENNA	antenna_gain_dbi	T1_required	yes	secondary	
POE_INJECTOR	networking_type	T1_required	yes	primary	
POE_INJECTOR	brand	T1_required	yes	primary	
POE_INJECTOR	condition	T1_required	yes	primary	
POE_INJECTOR	model_name_text	optional	no	secondary	
POE_INJECTOR	wifi_standard	optional	no	primary	
POE_INJECTOR	ethernet_max_speed	optional	no	primary	
POE_INJECTOR	port_count	optional	no	primary	
POE_INJECTOR	poe_support	optional	no	primary	
POE_INJECTOR	wifi_band	optional	no	secondary	
POE_INJECTOR	mesh_node_count	optional	no	secondary	
POE_INJECTOR	modem_type	optional	no	secondary	
POE_INJECTOR	cellular_standard	optional	no	secondary	
POE_INJECTOR	managed_switch	optional	no	secondary	
POE_INJECTOR	controller_ecosystem	optional	no	secondary	
POE_INJECTOR	mount_type	optional	no	secondary	
POE_INJECTOR	outdoor_rated	optional	no	secondary	
POE_INJECTOR	antenna_gain_dbi	optional	no	secondary	
NETWORK_ACCESSORY	networking_type	T1_required	yes	primary	
NETWORK_ACCESSORY	brand	T1_required	yes	primary	
NETWORK_ACCESSORY	condition	T1_required	yes	primary	
NETWORK_ACCESSORY	model_name_text	optional	no	secondary	
NETWORK_ACCESSORY	wifi_standard	optional	no	primary	
NETWORK_ACCESSORY	ethernet_max_speed	optional	no	primary	
NETWORK_ACCESSORY	port_count	optional	no	primary	
NETWORK_ACCESSORY	poe_support	optional	no	primary	
NETWORK_ACCESSORY	wifi_band	optional	no	secondary	
NETWORK_ACCESSORY	mesh_node_count	optional	no	secondary	
NETWORK_ACCESSORY	modem_type	optional	no	secondary	
NETWORK_ACCESSORY	cellular_standard	optional	no	secondary	
NETWORK_ACCESSORY	managed_switch	optional	no	secondary	
NETWORK_ACCESSORY	controller_ecosystem	optional	no	secondary	
NETWORK_ACCESSORY	mount_type	optional	no	secondary	
NETWORK_ACCESSORY	outdoor_rated	optional	no	secondary	
NETWORK_ACCESSORY	antenna_gain_dbi	optional	no	secondary	
