alias	brand	model	networking_type	locale	priority	notes
archer ax55	TP_LINK	Archer AX55	ROUTER	ru	100	
archerax55	TP_LINK	Archer AX55	ROUTER	ru	99	
tp link archer ax55	TP_LINK	Archer AX55	ROUTER	ru	98	
archer ax73	TP_LINK	Archer AX73	ROUTER	ru	100	
archerax73	TP_LINK	Archer AX73	ROUTER	ru	99	
tp link archer ax73	TP_LINK	Archer AX73	ROUTER	ru	98	
deco x20	TP_LINK	Deco X20	MESH_WIFI_SYSTEM	ru	100	
decox20	TP_LINK	Deco X20	MESH_WIFI_SYSTEM	ru	99	
tp link deco x20	TP_LINK	Deco X20	MESH_WIFI_SYSTEM	ru	98	
deco x50	TP_LINK	Deco X50	MESH_WIFI_SYSTEM	ru	100	
decox50	TP_LINK	Deco X50	MESH_WIFI_SYSTEM	ru	99	
tp link deco x50	TP_LINK	Deco X50	MESH_WIFI_SYSTEM	ru	98	
eap610	TP_LINK	EAP610	ACCESS_POINT	ru	100	
tp link eap610	TP_LINK	EAP610	ACCESS_POINT	ru	99	
tl-sg108	TP_LINK	TL-SG108	SWITCH	ru	100	
tl sg108	TP_LINK	TL-SG108	SWITCH	ru	99	
tp link tl-sg108	TP_LINK	TL-SG108	SWITCH	ru	98	
tl-sg1008p	TP_LINK	TL-SG1008P	SWITCH	ru	100	
tl sg1008p	TP_LINK	TL-SG1008P	SWITCH	ru	99	
tp link tl-sg1008p	TP_LINK	TL-SG1008P	SWITCH	ru	98	
re605x	TP_LINK	RE605X	WIFI_EXTENDER	ru	100	
tp link re605x	TP_LINK	RE605X	WIFI_EXTENDER	ru	99	
archer t3u	TP_LINK	Archer T3U	NETWORK_ADAPTER	ru	100	
archert3u	TP_LINK	Archer T3U	NETWORK_ADAPTER	ru	99	
tp link archer t3u	TP_LINK	Archer T3U	NETWORK_ADAPTER	ru	98	
archer tx20e	TP_LINK	Archer TX20E	NETWORK_ADAPTER	ru	100	
archertx20e	TP_LINK	Archer TX20E	NETWORK_ADAPTER	ru	99	
tp link archer tx20e	TP_LINK	Archer TX20E	NETWORK_ADAPTER	ru	98	
rt-ax86u	ASUS	RT-AX86U	ROUTER	ru	100	
rt ax86u	ASUS	RT-AX86U	ROUTER	ru	99	
asus rt-ax86u	ASUS	RT-AX86U	ROUTER	ru	98	
rt-ax88u	ASUS	RT-AX88U	ROUTER	ru	100	
rt ax88u	ASUS	RT-AX88U	ROUTER	ru	99	
asus rt-ax88u	ASUS	RT-AX88U	ROUTER	ru	98	
zenwifi xt8	ASUS	ZenWiFi XT8	MESH_WIFI_SYSTEM	ru	100	
zenwifixt8	ASUS	ZenWiFi XT8	MESH_WIFI_SYSTEM	ru	99	
asus zenwifi xt8	ASUS	ZenWiFi XT8	MESH_WIFI_SYSTEM	ru	98	
rax50	NETGEAR	RAX50	ROUTER	ru	100	
netgear rax50	NETGEAR	RAX50	ROUTER	ru	99	
orbi rbk752	NETGEAR	Orbi RBK752	MESH_WIFI_SYSTEM	ru	100	
orbirbk752	NETGEAR	Orbi RBK752	MESH_WIFI_SYSTEM	ru	99	
netgear orbi rbk752	NETGEAR	Orbi RBK752	MESH_WIFI_SYSTEM	ru	98	
ex6250	NETGEAR	EX6250	WIFI_EXTENDER	ru	100	
netgear ex6250	NETGEAR	EX6250	WIFI_EXTENDER	ru	99	
unifi dream machine	UBIQUITI	UniFi Dream Machine	ROUTER	ru	100	
unifidreammachine	UBIQUITI	UniFi Dream Machine	ROUTER	ru	99	
ubiquiti unifi dream machine	UBIQUITI	UniFi Dream Machine	ROUTER	ru	98	
unifi express	UBIQUITI	UniFi Express	ROUTER	ru	100	
unifiexpress	UBIQUITI	UniFi Express	ROUTER	ru	99	
ubiquiti unifi express	UBIQUITI	UniFi Express	ROUTER	ru	98	
u6 lite	UBIQUITI	U6 Lite	ACCESS_POINT	ru	100	
u6lite	UBIQUITI	U6 Lite	ACCESS_POINT	ru	99	
ubiquiti u6 lite	UBIQUITI	U6 Lite	ACCESS_POINT	ru	98	
u6 pro	UBIQUITI	U6 Pro	ACCESS_POINT	ru	100	
u6pro	UBIQUITI	U6 Pro	ACCESS_POINT	ru	99	
ubiquiti u6 pro	UBIQUITI	U6 Pro	ACCESS_POINT	ru	98	
u7 pro	UBIQUITI	U7 Pro	ACCESS_POINT	ru	100	
u7pro	UBIQUITI	U7 Pro	ACCESS_POINT	ru	99	
ubiquiti u7 pro	UBIQUITI	U7 Pro	ACCESS_POINT	ru	98	
usw-24-poe	UBIQUITI	USW-24-PoE	SWITCH	ru	100	
usw 24 poe	UBIQUITI	USW-24-PoE	SWITCH	ru	99	
ubiquiti usw-24-poe	UBIQUITI	USW-24-PoE	SWITCH	ru	98	
usw-flex-mini	UBIQUITI	USW-Flex-Mini	SWITCH	ru	100	
usw flex mini	UBIQUITI	USW-Flex-Mini	SWITCH	ru	99	
ubiquiti usw-flex-mini	UBIQUITI	USW-Flex-Mini	SWITCH	ru	98	
u-poe-af	UBIQUITI	U-POE-af	POE_INJECTOR	ru	100	
u poe af	UBIQUITI	U-POE-af	POE_INJECTOR	ru	99	
ubiquiti u-poe-af	UBIQUITI	U-POE-af	POE_INJECTOR	ru	98	
hap ax3	MIKROTIK	hAP ax3	ROUTER	ru	100	
hapax3	MIKROTIK	hAP ax3	ROUTER	ru	99	
mikrotik hap ax3	MIKROTIK	hAP ax3	ROUTER	ru	98	
hap ac2	MIKROTIK	hAP ac2	ROUTER	ru	100	
hapac2	MIKROTIK	hAP ac2	ROUTER	ru	99	
mikrotik hap ac2	MIKROTIK	hAP ac2	ROUTER	ru	98	
rb5009ug+s+in	MIKROTIK	RB5009UG+S+IN	ROUTER	ru	100	
mikrotik rb5009ug+s+in	MIKROTIK	RB5009UG+S+IN	ROUTER	ru	99	
crs326-24g-2s+rm	MIKROTIK	CRS326-24G-2S+RM	SWITCH	ru	100	
crs326 24g 2s+rm	MIKROTIK	CRS326-24G-2S+RM	SWITCH	ru	99	
mikrotik crs326-24g-2s+rm	MIKROTIK	CRS326-24G-2S+RM	SWITCH	ru	98	
keenetic giga kn-1011	KEENETIC	Keenetic Giga KN-1011	ROUTER	ru	100	
keenetic giga kn 1011	KEENETIC	Keenetic Giga KN-1011	ROUTER	ru	99	
keeneticgigakn-1011	KEENETIC	Keenetic Giga KN-1011	ROUTER	ru	98	
