brand	family	line	model	networking_type	wifi_standard	ethernet_max_speed	port_hint	poe_hint	controller_ecosystem	popularity_tier	notes
TP_LINK	ARCHER	AX	Archer AX55	ROUTER	WIFI_6	1_GBPS	4 LAN	NO_POE	GENERIC	A	
TP_LINK	ARCHER	AX	Archer AX73	ROUTER	WIFI_6	1_GBPS	4 LAN	NO_POE	GENERIC	A	
TP_LINK	DECO	X	Deco X20	MESH_WIFI_SYSTEM	WIFI_6	1_GBPS	2 per node	NO_POE	DECO	A	
TP_LINK	DECO	X	Deco X50	MESH_WIFI_SYSTEM	WIFI_6	1_GBPS	2 per node	NO_POE	DECO	A	
TP_LINK	OMADA	EAP	EAP610	ACCESS_POINT	WIFI_6	1_GBPS	1	POE_802_3AF	OMADA	A	
TP_LINK	JETSTREAM	TL-SG	TL-SG108	SWITCH	NO_WIFI	1_GBPS	8	NO_POE	GENERIC	A	
TP_LINK	JETSTREAM	TL-SG	TL-SG1008P	SWITCH	NO_WIFI	1_GBPS	8	POE_802_3AF	GENERIC	A	
TP_LINK	RE	RE605X	RE605X	WIFI_EXTENDER	WIFI_6	1_GBPS	1	NO_POE	GENERIC	B	
TP_LINK	ARCHER	T	Archer T3U	NETWORK_ADAPTER	WIFI_5	UNKNOWN	USB	NO_POE	GENERIC	A	
TP_LINK	ARCHER	TX	Archer TX20E	NETWORK_ADAPTER	WIFI_6	UNKNOWN	PCIe	NO_POE	GENERIC	A	
ASUS	RT	AX	RT-AX86U	ROUTER	WIFI_6	2_5_GBPS	4 LAN	NO_POE	AIMESH	A	
ASUS	RT	AX	RT-AX88U	ROUTER	WIFI_6	1_GBPS	8 LAN	NO_POE	AIMESH	A	
ASUS	ZENWIFI	XT	ZenWiFi XT8	MESH_WIFI_SYSTEM	WIFI_6	2_5_GBPS	3 per node	NO_POE	AIMESH	A	
NETGEAR	NIGHTHAWK	AX	RAX50	ROUTER	WIFI_6	1_GBPS	4 LAN	NO_POE	GENERIC	B	
NETGEAR	ORBI	RBK	Orbi RBK752	MESH_WIFI_SYSTEM	WIFI_6	1_GBPS	multiple	NO_POE	ORBI	A	
NETGEAR	NIGHTHAWK	EX	EX6250	WIFI_EXTENDER	WIFI_5	1_GBPS	1	NO_POE	GENERIC	B	
