attribute_code	value_code	label_ru	label_en	aliases_ru	priority	status	notes
networking_type	ROUTER	Роутер / маршрутизатор	Router		100	head	
networking_type	MESH_WIFI_SYSTEM	Mesh Wi‑Fi система	Mesh Wifi System		99	head	
networking_type	MODEM	Модем	Modem		98	head	
networking_type	ACCESS_POINT	Точка доступа	Access Point		97	head	
networking_type	SWITCH	Коммутатор	Switch		96	head	
networking_type	WIFI_EXTENDER	Wi‑Fi усилитель / репитер	Wifi Extender		95	head	
networking_type	NETWORK_ADAPTER	Сетевой адаптер	Network Adapter		94	head	
networking_type	ANTENNA	Сетевая антенна	Antenna		93	head	
networking_type	POE_INJECTOR	PoE инжектор	Poe Injector		92	head	
networking_type	NETWORK_ACCESSORY	Сетевой аксессуар	Network Accessory		91	head	
brand	TP_LINK	Tp Link	Tp Link		100	head	
brand	ASUS	Asus	Asus		99	head	
brand	NETGEAR	Netgear	Netgear		98	head	
brand	UBIQUITI	Ubiquiti	Ubiquiti		97	head	
brand	MIKROTIK	Mikrotik	Mikrotik		96	head	
brand	KEENETIC	Keenetic	Keenetic		95	head	
brand	XIAOMI	Xiaomi	Xiaomi		94	head	
brand	HUAWEI	Huawei	Huawei		93	head	
brand	ZYXEL	Zyxel	Zyxel		92	head	
brand	D_LINK	D Link	D Link		91	head	
brand	LINKSYS	Linksys	Linksys		90	head	
brand	TENDA	Tenda	Tenda		89	head	
brand	MERCUSYS	Mercusys	Mercusys		88	head	
brand	CISCO	Cisco	Cisco		87	head	
brand	HPE_ARUBA	Hpe Aruba	Hpe Aruba		86	head	
brand	GRANDSTREAM	Grandstream	Grandstream		85	head	
brand	TOTOLINK	Totolink	Totolink		84	head	
brand	MOTOROLA	Motorola	Motorola		83	head	
brand	ARRIS	Arris	Arris		82	head	
brand	ZTE	Zte	Zte		81	head	
brand	TELTONIKA	Teltonika	Teltonika		80	head	
brand	EDIMAX	Edimax	Edimax		79	head	
brand	TRENDNET	Trendnet	Trendnet		78	head	
brand	QNAP	Qnap	Qnap		77	head	
brand	SYNOLOGY	Synology	Synology		76	head	
condition	NEW	Новый	New		100	head	
condition	OPEN_BOX	Открытая коробка	Open Box		99	head	
condition	USED_GOOD	Б/у хорошее	Used Good		98	head	
condition	USED_FAIR	Б/у среднее	Used Fair		97	head	
condition	REFURBISHED	Восстановленный	Refurbished		96	head	
condition	FOR_PARTS	На запчасти	For Parts		95	head	
color	BLACK	чёрный	Black		100	head	
color	WHITE	белый	White		99	head	
color	GRAY	серый	Gray		98	head	
color	SILVER	серебристый	Silver		97	head	
color	UNKNOWN	не указано	Unknown		96	head	
region	GLOBAL	GLOBAL	Global		100	head	
region	EU	EU	Eu		99	head	
region	US	US	Us		98	head	
region	UK	UK	Uk		97	head	
region	RU_CIS	RU CIS	Ru Cis		96	head	
region	CN	CN	Cn		95	head	
region	JP	JP	Jp		94	head	
region	UNKNOWN	UNKNOWN	Unknown		93	head	
warranty	NO_WARRANTY	NO WARRANTY	No Warranty		100	head	
warranty	SELLER_7D	SELLER 7D	Seller 7D		99	head	
warranty	SELLER_14D	SELLER 14D	Seller 14D		98	head	
warranty	SELLER_30D	SELLER 30D	Seller 30D		97	head	
warranty	MANUFACTURER_WARRANTY	MANUFACTURER WARRANTY	Manufacturer Warranty		96	head	
warranty	EXTENDED_WARRANTY	EXTENDED WARRANTY	Extended Warranty		95	head	
warranty	UNKNOWN	UNKNOWN	Unknown		94	head	
wifi_standard	WIFI_4	Wi‑Fi 4 / 802.11n	Wifi 4		100	head	
wifi_standard	WIFI_5	Wi‑Fi 5 / 802.11ac	Wifi 5		99	head	
wifi_standard	WIFI_6	Wi‑Fi 6 / 802.11ax	Wifi 6		98	head	
wifi_standard	WIFI_6E	Wi‑Fi 6E	Wifi 6E		97	head	
wifi_standard	WIFI_7	Wi‑Fi 7 / 802.11be	Wifi 7		96	head	
wifi_standard	NO_WIFI	Без Wi‑Fi	No Wifi		95	head	
wifi_standard	UNKNOWN	Не указано	Unknown		94	head	
wifi_band	SINGLE_BAND_2_4	2.4 GHz	Single Band 2 4		100	head	
wifi_band	DUAL_BAND	2.4+5 GHz	Dual Band		99	head	
wifi_band	TRI_BAND	Tri-band	Tri Band		98	head	
wifi_band	QUAD_BAND	Quad-band	Quad Band		97	head	
wifi_band	UNKNOWN	Не указано	Unknown		96	head	
ethernet_speed	100_MBPS	100 MBPS	100 Mbps		100	head	
ethernet_speed	300_MBPS	300 MBPS	300 Mbps		99	head	
ethernet_speed	600_MBPS	600 MBPS	600 Mbps		98	head	
ethernet_speed	1_GBPS	1 GBPS	1 Gbps		97	head	
ethernet_speed	2_5_GBPS	2 5 GBPS	2 5 Gbps		96	head	
ethernet_speed	5_GBPS	5 GBPS	5 Gbps		95	head	
ethernet_speed	10_GBPS	10 GBPS	10 Gbps		94	head	
ethernet_speed	25_GBPS	25 GBPS	25 Gbps		93	head	
ethernet_speed	40_GBPS	40 GBPS	40 Gbps		92	head	
ethernet_speed	UNKNOWN	UNKNOWN	Unknown		91	head	
poe_support	NO_POE	NO POE	No Poe		100	head	
poe_support	POE_802_3AF	POE 802 3AF	Poe 802 3Af		99	head	
poe_support	POE_PLUS_802_3AT	POE PLUS 802 3AT	Poe Plus 802 3At		98	head	
poe_support	POE_PLUS_PLUS_802_3BT	POE PLUS PLUS 802 3BT	Poe Plus Plus 802 3Bt		97	head	
poe_support	PASSIVE_POE	PASSIVE POE	Passive Poe		96	head	
poe_support	POE_INPUT	POE INPUT	Poe Input		95	head	
poe_support	POE_PASSTHROUGH	POE PASSTHROUGH	Poe Passthrough		94	head	
poe_support	UNKNOWN	UNKNOWN	Unknown		93	head	
managed_switch	UNMANAGED	Неуправляемый	Unmanaged		100	head	
managed_switch	SMART_MANAGED	Smart managed	Smart Managed		99	head	
managed_switch	MANAGED_L2	Управляемый L2	Managed L2		98	head	
managed_switch	MANAGED_L3	Управляемый L3	Managed L3		97	head	
managed_switch	UNKNOWN	Не указано	Unknown		96	head	
modem_type	DOCSIS_CABLE_MODEM	DOCSIS CABLE MODEM	Docsis Cable Modem		100	head	
modem_type	DSL_MODEM	DSL MODEM	Dsl Modem		99	head	
modem_type	LTE_4G_MODEM	LTE 4G MODEM	Lte 4G Modem		98	head	
modem_type	FIVE_G_MODEM	FIVE G MODEM	Five G Modem		97	head	
modem_type	FIBER_ONT	FIBER ONT	Fiber Ont		96	head	
