alias	lang	target_category	target_attribute	target_value	confidence	notes
процессор	ru	TECH.PC_COMPONENTS	pc_component_type	CPU	0.96	
cpu	ru	TECH.PC_COMPONENTS	pc_component_type	CPU	0.96	
цпу	ru	TECH.PC_COMPONENTS	pc_component_type	CPU	0.96	
камень	ru	TECH.PC_COMPONENTS	pc_component_type	CPU	0.96	
amd ryzen	ru	TECH.PC_COMPONENTS	pc_component_type	CPU	0.96	
intel core	ru	TECH.PC_COMPONENTS	pc_component_type	CPU	0.96	
core ultra	ru	TECH.PC_COMPONENTS	pc_component_type	CPU	0.96	
проц	ru	TECH.PC_COMPONENTS	pc_component_type	CPU	0.96	
видеокарта	ru	TECH.PC_COMPONENTS	pc_component_type	GPU	0.96	
gpu	ru	TECH.PC_COMPONENTS	pc_component_type	GPU	0.96	
видюха	ru	TECH.PC_COMPONENTS	pc_component_type	GPU	0.96	
графическая карта	ru	TECH.PC_COMPONENTS	pc_component_type	GPU	0.96	
rtx	ru	TECH.PC_COMPONENTS	pc_component_type	GPU	0.96	
geforce	ru	TECH.PC_COMPONENTS	pc_component_type	GPU	0.96	
radeon	ru	TECH.PC_COMPONENTS	pc_component_type	GPU	0.96	
видеоадаптер	ru	TECH.PC_COMPONENTS	pc_component_type	GPU	0.96	
материнская плата	ru	TECH.PC_COMPONENTS	pc_component_type	MOTHERBOARD	0.96	
материнка	ru	TECH.PC_COMPONENTS	pc_component_type	MOTHERBOARD	0.96	
motherboard	ru	TECH.PC_COMPONENTS	pc_component_type	MOTHERBOARD	0.96	
mobo	ru	TECH.PC_COMPONENTS	pc_component_type	MOTHERBOARD	0.96	
плата am5	ru	TECH.PC_COMPONENTS	pc_component_type	MOTHERBOARD	0.96	
плата lga1700	ru	TECH.PC_COMPONENTS	pc_component_type	MOTHERBOARD	0.96	
оперативная память	ru	TECH.PC_COMPONENTS	pc_component_type	RAM_MODULE	0.96	
озу	ru	TECH.PC_COMPONENTS	pc_component_type	RAM_MODULE	0.96	
ram	ru	TECH.PC_COMPONENTS	pc_component_type	RAM_MODULE	0.96	
memory kit	ru	TECH.PC_COMPONENTS	pc_component_type	RAM_MODULE	0.96	
память ddr5	ru	TECH.PC_COMPONENTS	pc_component_type	RAM_MODULE	0.96	
плашки памяти	ru	TECH.PC_COMPONENTS	pc_component_type	RAM_MODULE	0.96	
комплект памяти	ru	TECH.PC_COMPONENTS	pc_component_type	RAM_MODULE	0.96	
блок питания	ru	TECH.PC_COMPONENTS	pc_component_type	POWER_SUPPLY	0.96	
бп	ru	TECH.PC_COMPONENTS	pc_component_type	POWER_SUPPLY	0.96	
psu	ru	TECH.PC_COMPONENTS	pc_component_type	POWER_SUPPLY	0.96	
power supply	ru	TECH.PC_COMPONENTS	pc_component_type	POWER_SUPPLY	0.96	
питальник	ru	TECH.PC_COMPONENTS	pc_component_type	POWER_SUPPLY	0.96	
блок питания atx	ru	TECH.PC_COMPONENTS	pc_component_type	POWER_SUPPLY	0.96	
корпус	ru	TECH.PC_COMPONENTS	pc_component_type	PC_CASE	0.96	
корпус пк	ru	TECH.PC_COMPONENTS	pc_component_type	PC_CASE	0.96	
pc case	ru	TECH.PC_COMPONENTS	pc_component_type	PC_CASE	0.96	
computer case	ru	TECH.PC_COMPONENTS	pc_component_type	PC_CASE	0.96	
корпус atx	ru	TECH.PC_COMPONENTS	pc_component_type	PC_CASE	0.96	
корпус mini itx	ru	TECH.PC_COMPONENTS	pc_component_type	PC_CASE	0.96	
кулер	ru	TECH.PC_COMPONENTS	pc_component_type	CPU_COOLER	0.96	
