attribute_code	label_ru	role	data_type	required_policy	allowed_values_source	unit	usage_scope	notes
categoryCode	Код категории	T0_CORE	string	required	fixed:TECH.PC_COMPONENTS		all	
pc_component_type	Тип комплектующего	T0_CORE	enum	required	values.pc_component_type		all	
brand	Бренд	T0_CORE	string	required	runtime_head+free_text		all	
condition	Состояние	T0_CORE	enum	required	values.condition		all	
model_name_text	Модель / название модели	T0_CORE	string	required	free_text_normalized		all	
price	Цена	T0_CORE	decimal	required	commerce		all	
currency	Валюта	T0_CORE	enum	required	values.currency		all	
availability	Наличие	T0_CORE	enum	required	values.availability		all	
region	Регион / версия рынка	T0_CORE	enum	recommended	values.region		all	
cpu_socket	Сокет процессора	T1_TYPE_SPECIFIC	enum	required_for_type_or_recommended	values.socket		CPU	
cpu_series	Серия CPU	T1_TYPE_SPECIFIC	enum	required_for_type_or_recommended	values.cpu_series		CPU	
cpu_generation	Поколение CPU	T1_TYPE_SPECIFIC	string	required_for_type_or_recommended	runtime_head		CPU	
core_count	Количество ядер	T1_TYPE_SPECIFIC	integer	required_for_type_or_recommended	range:1-128		CPU	
thread_count	Количество потоков	T1_TYPE_SPECIFIC	integer	required_for_type_or_recommended	range:1-256		CPU	
base_clock_ghz	Базовая частота	T1_TYPE_SPECIFIC	decimal	required_for_type_or_recommended	range:0.5-7.0		CPU	
boost_clock_ghz	Boost-частота	T1_TYPE_SPECIFIC	decimal	required_for_type_or_recommended	range:0.5-8.0		CPU	
tdp_w	TDP	T1_TYPE_SPECIFIC	integer	required_for_type_or_recommended	range:5-500		CPU|CPU_COOLER	
integrated_graphics	Встроенная графика	T1_TYPE_SPECIFIC	boolean	required_for_type_or_recommended	true_false_unknown		CPU	
unlocked_multiplier	Разблокированный множитель	T1_TYPE_SPECIFIC	boolean	required_for_type_or_recommended	true_false_unknown		CPU	
gpu_chipset	Чип GPU	T1_TYPE_SPECIFIC	string	required_for_type_or_recommended	runtime_head		GPU	
gpu_series	Серия GPU	T1_TYPE_SPECIFIC	enum	required_for_type_or_recommended	values.gpu_series		GPU	
vram_gb	Видеопамять	T1_TYPE_SPECIFIC	integer	required_for_type_or_recommended	values.vram_gb		GPU	
gpu_memory_type	Тип видеопамяти	T1_TYPE_SPECIFIC	enum	required_for_type_or_recommended	values.gpu_memory_type		GPU	
gpu_bus_width_bit	Шина памяти GPU	T1_TYPE_SPECIFIC	integer	required_for_type_or_recommended	values.gpu_bus_width_bit		GPU	
gpu_length_mm	Длина видеокарты	T1_TYPE_SPECIFIC	integer	required_for_type_or_recommended	range:80-500		GPU	
recommended_psu_w	Рекомендованный БП	T1_TYPE_SPECIFIC	integer	required_for_type_or_recommended	range:200-1600		GPU	
power_connector	Разъём питания	T1_TYPE_SPECIFIC	enum_multi	required_for_type_or_recommended	values.power_connector		GPU|POWER_SUPPLY	
display_output	Видеовыходы	T1_TYPE_SPECIFIC	enum_multi	required_for_type_or_recommended	values.display_output		GPU	
ray_tracing_support	Поддержка ray tracing	T1_TYPE_SPECIFIC	boolean	required_for_type_or_recommended	true_false_unknown		GPU	
motherboard_socket	Сокет материнской платы	T1_TYPE_SPECIFIC	enum	required_for_type_or_recommended	values.socket		MOTHERBOARD	
chipset	Чипсет	T1_TYPE_SPECIFIC	enum	required_for_type_or_recommended	values.chipset		MOTHERBOARD	
motherboard_form_factor	Форм-фактор платы	T1_TYPE_SPECIFIC	enum	required_for_type_or_recommended	values.motherboard_form_factor		MOTHERBOARD	
ram_type	Тип памяти	T1_TYPE_SPECIFIC	enum	required_for_type_or_recommended	values.ram_type		MOTHERBOARD|RAM_MODULE	
memory_slots	Слоты памяти	T1_TYPE_SPECIFIC	integer	required_for_type_or_recommended	values.memory_slots		MOTHERBOARD	
max_memory_gb	Максимум памяти	T1_TYPE_SPECIFIC	integer	required_for_type_or_recommended	values.max_memory_gb		MOTHERBOARD	
pcie_version	PCIe версия	T1_TYPE_SPECIFIC	enum	required_for_type_or_recommended	values.pcie_version		MOTHERBOARD|GPU|EXPANSION_CARD	
wifi_bluetooth	Wi‑Fi / Bluetooth	T1_TYPE_SPECIFIC	boolean	required_for_type_or_recommended	true_false_unknown		MOTHERBOARD	
m2_slots	M.2 слоты	T1_TYPE_SPECIFIC	integer	required_for_type_or_recommended	range:0-8		MOTHERBOARD	
sata_ports	SATA порты	T1_TYPE_SPECIFIC	integer	required_for_type_or_recommended	range:0-12		MOTHERBOARD	
ram_capacity_gb	Объём RAM	T1_TYPE_SPECIFIC	integer	required_for_type_or_recommended	values.ram_capacity_gb		RAM_MODULE	
ram_kit_modules	Количество модулей	T1_TYPE_SPECIFIC	integer	required_for_type_or_recommended	values.ram_kit_modules		RAM_MODULE	
ram_speed_mhz	Частота памяти	T1_TYPE_SPECIFIC	integer	required_for_type_or_recommended	values.ram_speed_mhz		RAM_MODULE	
ram_form_factor	Форм-фактор RAM	T1_TYPE_SPECIFIC	enum	required_for_type_or_recommended	values.ram_form_factor		RAM_MODULE	
cas_latency	CAS latency	T1_TYPE_SPECIFIC	string	required_for_type_or_recommended	runtime_head		RAM_MODULE	
ecc_support	ECC	T1_TYPE_SPECIFIC	boolean	required_for_type_or_recommended	true_false_unknown		RAM_MODULE	
rgb_lighting	RGB / ARGB	T1_TYPE_SPECIFIC	boolean	required_for_type_or_recommended	true_false_unknown		RAM_MODULE|CPU_COOLER|CASE_FAN|PC_CASE	
psu_wattage_w	Мощность БП	T1_TYPE_SPECIFIC	integer	required_for_type_or_recommended	values.psu_wattage_w		POWER_SUPPLY	
efficiency_rating	Сертификат эффективности	T1_TYPE_SPECIFIC	enum	required_for_type_or_recommended	values.efficiency_rating		POWER_SUPPLY	
psu_modularity	Модульность БП	T1_TYPE_SPECIFIC	enum	required_for_type_or_recommended	values.psu_modularity		POWER_SUPPLY	
psu_form_factor	Форм-фактор БП	T1_TYPE_SPECIFIC	enum	required_for_type_or_recommended	values.psu_form_factor		POWER_SUPPLY	
atx_version	Версия ATX	T1_TYPE_SPECIFIC	enum	required_for_type_or_recommended	values.atx_version		POWER_SUPPLY	
pcie_5_support	PCIe 5.0 / 12VHPWR ready	T1_TYPE_SPECIFIC	boolean	required_for_type_or_recommended	true_false_unknown		POWER_SUPPLY	
