seed_id	pc_component_type	brand	model_name_text	family_or_series	compatibility_hint	subtype	head_tier	source_policy	allow_runtime_candidates
pccomp_seed_0001	CPU	AMD	Ryzen 9 9950X3D	AMD_RYZEN_9000	AMD_AM5	desktop_cpu	head_gaming_creator	head_seed_not_full_registry	true
pccomp_seed_0002	CPU	AMD	Ryzen 7 9800X3D	AMD_RYZEN_9000	AMD_AM5	desktop_cpu	head_gaming	head_seed_not_full_registry	true
pccomp_seed_0003	CPU	AMD	Ryzen 9 9900X	AMD_RYZEN_9000	AMD_AM5	desktop_cpu	head_creator	head_seed_not_full_registry	true
pccomp_seed_0004	CPU	AMD	Ryzen 7 9700X	AMD_RYZEN_9000	AMD_AM5	desktop_cpu	mainstream	head_seed_not_full_registry	true
pccomp_seed_0005	CPU	AMD	Ryzen 5 9600X	AMD_RYZEN_9000	AMD_AM5	desktop_cpu	mainstream	head_seed_not_full_registry	true
pccomp_seed_0006	CPU	AMD	Ryzen 7 7800X3D	AMD_RYZEN_7000	AMD_AM5	desktop_cpu	resale_core	head_seed_not_full_registry	true
pccomp_seed_0007	CPU	AMD	Ryzen 5 7600X	AMD_RYZEN_7000	AMD_AM5	desktop_cpu	resale_core	head_seed_not_full_registry	true
pccomp_seed_0008	CPU	AMD	Ryzen 5 5600X	AMD_RYZEN_5000	AMD_AM4	desktop_cpu	resale_core	head_seed_not_full_registry	true
pccomp_seed_0009	CPU	Intel	Core Ultra 9 285K	INTEL_CORE_ULTRA_200S	INTEL_LGA1851	desktop_cpu	head	head_seed_not_full_registry	true
pccomp_seed_0010	CPU	Intel	Core Ultra 7 265K	INTEL_CORE_ULTRA_200S	INTEL_LGA1851	desktop_cpu	head	head_seed_not_full_registry	true
pccomp_seed_0011	CPU	Intel	Core Ultra 5 245K	INTEL_CORE_ULTRA_200S	INTEL_LGA1851	desktop_cpu	mainstream	head_seed_not_full_registry	true
pccomp_seed_0012	CPU	Intel	Core i9-14900K	INTEL_CORE_14TH_GEN	INTEL_LGA1700	desktop_cpu	resale_core	head_seed_not_full_registry	true
