id	query	expected_category	expected_pc_component_type	notes
gq_pccomp_0001	процессор	TECH.PC_COMPONENTS	CPU	type alias
gq_pccomp_0002	cpu	TECH.PC_COMPONENTS	CPU	type alias
gq_pccomp_0003	цпу	TECH.PC_COMPONENTS	CPU	type alias
gq_pccomp_0004	камень	TECH.PC_COMPONENTS	CPU	type alias
gq_pccomp_0005	amd ryzen	TECH.PC_COMPONENTS	CPU	type alias
gq_pccomp_0006	видеокарта	TECH.PC_COMPONENTS	GPU	type alias
gq_pccomp_0007	gpu	TECH.PC_COMPONENTS	GPU	type alias
gq_pccomp_0008	видюха	TECH.PC_COMPONENTS	GPU	type alias
gq_pccomp_0009	графическая карта	TECH.PC_COMPONENTS	GPU	type alias
gq_pccomp_0010	rtx	TECH.PC_COMPONENTS	GPU	type alias
gq_pccomp_0011	материнская плата	TECH.PC_COMPONENTS	MOTHERBOARD	type alias
gq_pccomp_0012	материнка	TECH.PC_COMPONENTS	MOTHERBOARD	type alias
gq_pccomp_0013	motherboard	TECH.PC_COMPONENTS	MOTHERBOARD	type alias
gq_pccomp_0014	mobo	TECH.PC_COMPONENTS	MOTHERBOARD	type alias
gq_pccomp_0015	плата am5	TECH.PC_COMPONENTS	MOTHERBOARD	type alias
gq_pccomp_0016	оперативная память	TECH.PC_COMPONENTS	RAM_MODULE	type alias
gq_pccomp_0017	озу	TECH.PC_COMPONENTS	RAM_MODULE	type alias
gq_pccomp_0018	ram	TECH.PC_COMPONENTS	RAM_MODULE	type alias
gq_pccomp_0019	memory kit	TECH.PC_COMPONENTS	RAM_MODULE	type alias
gq_pccomp_0020	память ddr5	TECH.PC_COMPONENTS	RAM_MODULE	type alias
gq_pccomp_0021	блок питания	TECH.PC_COMPONENTS	POWER_SUPPLY	type alias
gq_pccomp_0022	бп	TECH.PC_COMPONENTS	POWER_SUPPLY	type alias
gq_pccomp_0023	psu	TECH.PC_COMPONENTS	POWER_SUPPLY	type alias
gq_pccomp_0024	power supply	TECH.PC_COMPONENTS	POWER_SUPPLY	type alias
gq_pccomp_0025	питальник	TECH.PC_COMPONENTS	POWER_SUPPLY	type alias
gq_pccomp_0026	корпус	TECH.PC_COMPONENTS	PC_CASE	type alias
gq_pccomp_0027	корпус пк	TECH.PC_COMPONENTS	PC_CASE	type alias
gq_pccomp_0028	pc case	TECH.PC_COMPONENTS	PC_CASE	type alias
gq_pccomp_0029	computer case	TECH.PC_COMPONENTS	PC_CASE	type alias
gq_pccomp_0030	корпус atx	TECH.PC_COMPONENTS	PC_CASE	type alias
gq_pccomp_0031	кулер	TECH.PC_COMPONENTS	CPU_COOLER	type alias
gq_pccomp_0032	кулер процессора	TECH.PC_COMPONENTS	CPU_COOLER	type alias
gq_pccomp_0033	охлаждение процессора	TECH.PC_COMPONENTS	CPU_COOLER	type alias
gq_pccomp_0034	aio	TECH.PC_COMPONENTS	CPU_COOLER	type alias
gq_pccomp_0035	сжо	TECH.PC_COMPONENTS	CPU_COOLER	type alias
gq_pccomp_0036	вентилятор корпуса	TECH.PC_COMPONENTS	CASE_FAN	type alias
gq_pccomp_0037	корпусной вентилятор	TECH.PC_COMPONENTS	CASE_FAN	type alias
gq_pccomp_0038	fan 120	TECH.PC_COMPONENTS	CASE_FAN	type alias
gq_pccomp_0039	fan 140	TECH.PC_COMPONENTS	CASE_FAN	type alias
gq_pccomp_0040	аргб вентилятор	TECH.PC_COMPONENTS	CASE_FAN	type alias
gq_pccomp_0041	термопаста	TECH.PC_COMPONENTS	THERMAL_PASTE	type alias
gq_pccomp_0042	thermal paste	TECH.PC_COMPONENTS	THERMAL_PASTE	type alias
gq_pccomp_0043	термоинтерфейс	TECH.PC_COMPONENTS	THERMAL_PASTE	type alias
gq_pccomp_0044	паста для процессора	TECH.PC_COMPONENTS	THERMAL_PASTE	type alias
gq_pccomp_0045	карта захвата	TECH.PC_COMPONENTS	CAPTURE_CARD	type alias
gq_pccomp_0046	capture card	TECH.PC_COMPONENTS	CAPTURE_CARD	type alias
gq_pccomp_0047	elgato	TECH.PC_COMPONENTS	CAPTURE_CARD	type alias
gq_pccomp_0048	плата захвата	TECH.PC_COMPONENTS	CAPTURE_CARD	type alias
gq_pccomp_0049	захват hdmi	TECH.PC_COMPONENTS	CAPTURE_CARD	type alias
gq_pccomp_0050	звуковая карта	TECH.PC_COMPONENTS	SOUND_CARD	type alias
