pc_component_type	attribute_code	coverage_level	ui_surface	validation_mode
CPU	cpu_socket	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
CPU	cpu_series	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
CPU	cpu_generation	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
CPU	core_count	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
CPU	thread_count	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
CPU	base_clock_ghz	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
CPU	boost_clock_ghz	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
CPU	tdp_w	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
CPU	integrated_graphics	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
CPU	unlocked_multiplier	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
GPU	gpu_chipset	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
GPU	gpu_series	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
GPU	vram_gb	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
GPU	gpu_memory_type	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
GPU	gpu_bus_width_bit	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
GPU	gpu_length_mm	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
GPU	recommended_psu_w	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
GPU	power_connector	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
GPU	display_output	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
GPU	ray_tracing_support	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
MOTHERBOARD	motherboard_socket	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
MOTHERBOARD	chipset	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
MOTHERBOARD	motherboard_form_factor	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
MOTHERBOARD	ram_type	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
MOTHERBOARD	memory_slots	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
MOTHERBOARD	max_memory_gb	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
MOTHERBOARD	pcie_version	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
MOTHERBOARD	wifi_bluetooth	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
MOTHERBOARD	m2_slots	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
MOTHERBOARD	sata_ports	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
RAM_MODULE	ram_type	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
RAM_MODULE	ram_capacity_gb	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
RAM_MODULE	ram_kit_modules	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
RAM_MODULE	ram_speed_mhz	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
RAM_MODULE	ram_form_factor	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
RAM_MODULE	cas_latency	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
RAM_MODULE	ecc_support	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
RAM_MODULE	rgb_lighting	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
POWER_SUPPLY	psu_wattage_w	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
POWER_SUPPLY	efficiency_rating	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
POWER_SUPPLY	psu_modularity	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
POWER_SUPPLY	psu_form_factor	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
POWER_SUPPLY	atx_version	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
POWER_SUPPLY	pcie_5_support	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
POWER_SUPPLY	power_connector	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
PC_CASE	case_size	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
PC_CASE	motherboard_form_factor_support	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
PC_CASE	max_gpu_length_mm	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
PC_CASE	max_cpu_cooler_height_mm	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
PC_CASE	radiator_support_mm	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
PC_CASE	side_panel_material	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
PC_CASE	case_color	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
PC_CASE	included_fans_count	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
CPU_COOLER	cooler_type	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
CPU_COOLER	socket_support	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
CPU_COOLER	radiator_size_mm	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
CPU_COOLER	fan_size_mm	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
CPU_COOLER	cooler_height_mm	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
CPU_COOLER	tdp_rating_w	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
CPU_COOLER	rgb_lighting	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
