attribute_code	value_code	label_ru	aliases_ru	notes
pc_component_type	CPU	Процессор		central processing unit / desktop CPU
pc_component_type	GPU	Видеокарта		graphics card
pc_component_type	MOTHERBOARD	Материнская плата		desktop motherboard
pc_component_type	RAM_MODULE	Оперативная память		RAM module / memory kit
pc_component_type	POWER_SUPPLY	Блок питания		desktop PSU
pc_component_type	PC_CASE	Корпус ПК		computer case
pc_component_type	CPU_COOLER	Охлаждение CPU		air or liquid CPU cooler
pc_component_type	CASE_FAN	Корпусной вентилятор		case fan
pc_component_type	THERMAL_PASTE	Термопаста		thermal compound
pc_component_type	CAPTURE_CARD	Карта захвата		capture card
pc_component_type	SOUND_CARD	Звуковая карта		sound card
pc_component_type	NETWORK_CARD	Сетевая карта		network adapter card
pc_component_type	EXPANSION_CARD	Плата расширения		other PCIe/expansion card
condition	NEW	Новое		
condition	USED	Б/у		
condition	REFURBISHED	Восстановленное		
condition	OPEN_BOX	Открытая коробка		
condition	FOR_PARTS	На запчасти		
condition	UNKNOWN	Не указано		
currency	RUB	RUB		
currency	USD	USD		
currency	EUR	EUR		
currency	AED	AED		
currency	TRY	TRY		
currency	KZT	KZT		
availability	IN_STOCK	В наличии		
availability	OUT_OF_STOCK	Нет в наличии		
availability	PREORDER	Предзаказ		
availability	LOCAL_ONLY	Только локально		
region	GLOBAL	Global		
region	EU	EU		
region	US	US		
region	CN	China		
region	RU	RU/CIS		
region	JP	Japan		
region	UNKNOWN	Не указано		
socket	AMD_AM5	AMD AM5		
socket	AMD_AM4	AMD AM4		
socket	AMD_TR5	AMD TR5		
socket	AMD_sTRX4	AMD sTRX4		
socket	INTEL_LGA1851	INTEL LGA1851		
socket	INTEL_LGA1700	INTEL LGA1700		
socket	INTEL_LGA1200	INTEL LGA1200		
socket	INTEL_LGA1151	INTEL LGA1151		
socket	INTEL_LGA2066	INTEL LGA2066		
socket	UNKNOWN	UNKNOWN		
cpu_series	AMD_RYZEN_9000	AMD RYZEN 9000		
cpu_series	AMD_RYZEN_8000	AMD RYZEN 8000		
cpu_series	AMD_RYZEN_7000	AMD RYZEN 7000		
cpu_series	AMD_RYZEN_5000	AMD RYZEN 5000		
cpu_series	AMD_THREADRIPPER_9000	AMD THREADRIPPER 9000		
cpu_series	INTEL_CORE_ULTRA_200S	INTEL CORE ULTRA 200S		
cpu_series	INTEL_CORE_14TH_GEN	INTEL CORE 14TH GEN		
cpu_series	INTEL_CORE_13TH_GEN	INTEL CORE 13TH GEN		
cpu_series	INTEL_XEON_W	INTEL XEON W		
cpu_series	UNKNOWN	UNKNOWN		
gpu_series	NVIDIA_RTX_50	NVIDIA RTX 50		
gpu_series	NVIDIA_RTX_40	NVIDIA RTX 40		
gpu_series	NVIDIA_RTX_30	NVIDIA RTX 30		
gpu_series	NVIDIA_GTX_16	NVIDIA GTX 16		
gpu_series	AMD_RADEON_RX_9000	AMD RADEON RX 9000		
