locale	alias	target_field	target_value	match_type	priority	guard	notes_ru
ru	чехол	phone_accessory_type	CASE	normalized_phrase	20		
ru	кейс	phone_accessory_type	CASE	normalized_phrase	50		
ru	накладка	phone_accessory_type	CASE	normalized_phrase	50		
ru	бампер	phone_accessory_type	CASE	normalized_phrase	50		
ru	чехол книжка	phone_accessory_type	CASE	normalized_phrase	50		
ru	обложка для телефона	phone_accessory_type	CASE	normalized_phrase	50		
ru	силиконовый чехол	phone_accessory_type	CASE	normalized_phrase	50		
ru	прозрачный чехол	phone_accessory_type	CASE	normalized_phrase	50		
ru	противоударный чехол	phone_accessory_type	CASE	normalized_phrase	50		
ru	чехол magsafe	phone_accessory_type	CASE	normalized_phrase	50		
ru	чехол магсейф	phone_accessory_type	CASE	normalized_phrase	50		
ru	чехол на айфон	phone_accessory_type	CASE	normalized_phrase	50		
ru	чехол для samsung	phone_accessory_type	CASE	normalized_phrase	50		
ru	чехол redmi	phone_accessory_type	CASE	normalized_phrase	50		
ru	чехол pixel	phone_accessory_type	CASE	normalized_phrase	50		
ru	защитное стекло	phone_accessory_type	SCREEN_PROTECTOR	normalized_phrase	20		
ru	стекло на телефон	phone_accessory_type	SCREEN_PROTECTOR	normalized_phrase	50		
ru	пленка на телефон	phone_accessory_type	SCREEN_PROTECTOR	normalized_phrase	50		
ru	плёнка на телефон	phone_accessory_type	SCREEN_PROTECTOR	normalized_phrase	50		
ru	гидрогелевая пленка	phone_accessory_type	SCREEN_PROTECTOR	normalized_phrase	50		
ru	гидрогелевая плёнка	phone_accessory_type	SCREEN_PROTECTOR	normalized_phrase	50		
ru	антишпион стекло	phone_accessory_type	SCREEN_PROTECTOR	normalized_phrase	50		
ru	privacy glass	phone_accessory_type	SCREEN_PROTECTOR	normalized_phrase	50		
ru	стекло iphone	phone_accessory_type	SCREEN_PROTECTOR	normalized_phrase	50		
ru	стекло samsung	phone_accessory_type	SCREEN_PROTECTOR	normalized_phrase	50		
ru	защита камеры	phone_accessory_type	CAMERA_LENS_PROTECTOR	normalized_phrase	50		
ru	стекло на камеру	phone_accessory_type	CAMERA_LENS_PROTECTOR	normalized_phrase	50		
ru	защитное стекло камеры	phone_accessory_type	CAMERA_LENS_PROTECTOR	normalized_phrase	50		
ru	линзы камеры	phone_accessory_type	CAMERA_LENS_PROTECTOR	normalized_phrase	50		
ru	кольца камеры	phone_accessory_type	CAMERA_LENS_PROTECTOR	normalized_phrase	50		
ru	camera lens protector	phone_accessory_type	CAMERA_LENS_PROTECTOR	normalized_phrase	50		
