phone_accessory_type	compatibility_required	primary_compatibility_fields	technical_required_fields	notes_ru
CASE	required	compatible_brand,compatible_family,compatible_model_text,compatibility_evidence_level	compatible_family,compatible_model_text,case_style,case_material,protection_level,magsafe_compatible	Чехол: type-specific UI driven by CASE.
SCREEN_PROTECTOR	required	compatible_brand,compatible_family,compatible_model_text,compatibility_evidence_level	compatible_family,compatible_model_text,protector_material,protector_coverage,pack_quantity	Защитное стекло / плёнка: type-specific UI driven by SCREEN_PROTECTOR.
CAMERA_LENS_PROTECTOR	required	compatible_brand,compatible_family,compatible_model_text,compatibility_evidence_level	compatible_family,compatible_model_text,protector_material,pack_quantity	Защита камеры: type-specific UI driven by CAMERA_LENS_PROTECTOR.
CHARGER	conditional_or_universal	compatible_device_category,compatibility_mode,connector_type/size where applicable	connector_type,port_configuration,max_output_power_w,fast_charge_standard	Сетевое зарядное устройство: type-specific UI driven by CHARGER.
WIRELESS_CHARGER	conditional_or_universal	compatible_device_category,compatibility_mode,connector_type/size where applicable	wireless_standard,max_output_power_w,magsafe_compatible,stand_form_factor	Беспроводная зарядка: type-specific UI driven by WIRELESS_CHARGER.
CABLE	conditional_or_universal	compatible_device_category,compatibility_mode,connector_type/size where applicable	connector_type,connector_type_2,cable_length_m,usb_standard,max_power_w	Кабель для телефона: type-specific UI driven by CABLE.
POWER_BANK	conditional_or_universal	compatible_device_category,compatibility_mode,connector_type/size where applicable	capacity_mah,max_output_power_w,port_configuration,wireless_charging_support	Внешний аккумулятор: type-specific UI driven by POWER_BANK.
HOLDER	conditional_or_universal	compatible_device_category,compatibility_mode,connector_type/size where applicable	mounting_type,compatible_device_size_range,mount_location	Держатель: type-specific UI driven by HOLDER.
STAND	conditional_or_universal	compatible_device_category,compatibility_mode,connector_type/size where applicable	stand_form_factor,adjustable_angle,foldable	Подставка: type-specific UI driven by STAND.
CAR_MOUNT	conditional_or_universal	compatible_device_category,compatibility_mode,connector_type/size where applicable	mounting_type,mount_location,magnetic_mount	Автомобильный держатель: type-specific UI driven by CAR_MOUNT.
ADAPTER	conditional_or_universal	compatible_device_category,compatibility_mode,connector_type/size where applicable	connector_type,connector_type_2,adapter_direction,max_power_w	Адаптер / переходник: type-specific UI driven by ADAPTER.
DOCK	conditional_or_universal	compatible_device_category,compatibility_mode,connector_type/size where applicable	connector_type,port_configuration,max_output_power_w,data_transfer_support	Док-станция: type-specific UI driven by DOCK.
MAGSAFE_ACCESSORY	conditional_or_universal	compatible_device_category,compatibility_mode,connector_type/size where applicable	magsafe_accessory_type,magsafe_compatible,magnetic_strength_claim	MagSafe / магнитный аксессуар: type-specific UI driven by MAGSAFE_ACCESSORY.
STYLUS	required	compatible_brand,compatible_family,compatible_model_text,compatibility_evidence_level	stylus_type,pressure_sensitivity,palm_rejection,compatible_model_text	Стилус для телефона: type-specific UI driven by STYLUS.
STRAP_CHARM	conditional_or_universal	compatible_device_category,compatibility_mode,connector_type/size where applicable	strap_charm_type,attachment_type,material_family	Ремешок / charm для телефона: type-specific UI driven by STRAP_CHARM.
SIM_TOOL	conditional_or_universal	compatible_device_category,compatibility_mode,connector_type/size where applicable	sim_tool_type,pack_quantity	SIM-инструмент / лоток: type-specific UI driven by SIM_TOOL.
REPLACEMENT_PART	required	compatible_brand,compatible_family,compatible_model_text,compatibility_evidence_level	replacement_part_type,part_quality,compatible_model_text,repair_skill_level	Запчасть для телефона: type-specific UI driven by REPLACEMENT_PART.
CLEANING_KIT	conditional_or_universal	compatible_device_category,compatibility_mode,connector_type/size where applicable	cleaning_item_type,safe_for_screen,liquid_volume_ml	Чистящий набор для телефона: type-specific UI driven by CLEANING_KIT.
