value_set	value_code	label_ru	aliases_ru	usage_scope	sort_priority	status	notes_ru
phone_accessory_type	CASE	Чехол	чехол|накладка|кейс|бампер|обложка для телефона	protective_shell	1	active	
phone_accessory_type	SCREEN_PROTECTOR	Защитное стекло / плёнка	защитное стекло|пленка|плёнка|гидрогелевая пленка|privacy glass	screen_protection	2	active	
phone_accessory_type	CAMERA_LENS_PROTECTOR	Защита камеры	защита камеры|стекло камеры|защитное стекло на камеру|линзы камеры	camera_protection	3	active	
phone_accessory_type	CHARGER	Сетевое зарядное устройство	зарядка|зарядное устройство|блок питания|адаптер питания|сетевой адаптер	power	4	active	
phone_accessory_type	WIRELESS_CHARGER	Беспроводная зарядка	беспроводная зарядка|qi зарядка|магнитная зарядка|magsafe charger	power	5	active	
phone_accessory_type	CABLE	Кабель для телефона	кабель|провод|шнур|зарядный кабель|usb c кабель|lightning кабель	cable	6	active	
phone_accessory_type	POWER_BANK	Внешний аккумулятор	пауэрбанк|power bank|внешний аккумулятор|портативный аккумулятор	power_bank	7	active	
phone_accessory_type	HOLDER	Держатель	держатель|крепление|холдер	mount	8	active	
phone_accessory_type	STAND	Подставка	подставка|стойка|настольная подставка	mount	9	active	
phone_accessory_type	CAR_MOUNT	Автомобильный держатель	автодержатель|держатель в машину|крепление в авто|car mount	mount	10	active	
phone_accessory_type	ADAPTER	Адаптер / переходник	переходник|адаптер|донгл|adapter	adapter	11	active	
phone_accessory_type	DOCK	Док-станция	док|док станция|док-станция|dock	dock	12	active	
phone_accessory_type	MAGSAFE_ACCESSORY	MagSafe / магнитный аксессуар	magsafe|магсейф|магнитный кошелек|магнитное кольцо	magnetic	13	active	
phone_accessory_type	STYLUS	Стилус для телефона	стилус|сенсорная ручка|touch pen	input	14	active	
phone_accessory_type	STRAP_CHARM	Ремешок / charm для телефона	ремешок на телефон|шнурок на телефон|подвеска на телефон|phone charm	decorative	15	active	
phone_accessory_type	SIM_TOOL	SIM-инструмент / лоток	скрепка sim|sim ejector|лоток sim|сим инструмент	service_tool	16	active	
phone_accessory_type	REPLACEMENT_PART	Запчасть для телефона	запчасть|дисплей|аккумулятор|шлейф|порт зарядки|камера	repair_part	17	active	
phone_accessory_type	CLEANING_KIT	Чистящий набор для телефона	чистящий набор|салфетка|спрей для экрана|щетка для телефона	care	18	active	
compatible_device_category	PHONE	Телефоны	смартфон|мобильный телефон|iphone|samsung galaxy	all	100	active	
compatible_device_category	PHONE_OR_TABLET	Телефоны и планшеты	телефон планшет|phone tablet	all	100	active	
compatible_device_category	UNIVERSAL_MOBILE	Универсальные мобильные устройства	universal mobile|для всех смартфонов	all	100	active	
compatible_brand_head	APPLE	Apple		all	10	active	
compatible_brand_head	SAMSUNG	Samsung		all	10	active	
compatible_brand_head	XIAOMI	Xiaomi		all	10	active	
compatible_brand_head	REDMI	Redmi		all	10	active	
compatible_brand_head	POCO	POCO		all	50	active	
compatible_brand_head	HUAWEI	Huawei		all	50	active	
compatible_brand_head	HONOR	Honor		all	50	active	
compatible_brand_head	GOOGLE	Google		all	10	active	
compatible_brand_head	ONEPLUS	OnePlus		all	50	active	
compatible_brand_head	OPPO	OPPO		all	50	active	
compatible_brand_head	VIVO	Vivo		all	50	active	
compatible_brand_head	REALME	Realme		all	50	active	
compatible_brand_head	NOTHING	Nothing		all	50	active	
compatible_brand_head	MOTOROLA	Motorola		all	50	active	
compatible_brand_head	NOKIA	Nokia		all	50	active	
compatible_brand_head	SONY	Sony		all	50	active	
compatible_brand_head	TECNO	Tecno		all	50	active	
compatible_brand_head	INFINIX	Infinix		all	50	active	
compatible_brand_head	UNIVERSAL	Универсальный		all	50	active	
compatibility_mode	MODEL_SPECIFIC	Под конкретную модель	для iphone 13|for galaxy s24	all	100	active	
compatibility_mode	FAMILY_SPECIFIC	Под семейство/линейку	для iphone|для galaxy s	all	100	active	
compatibility_mode	BRAND_SPECIFIC	Под бренд	для samsung|для apple	all	100	active	
compatibility_mode	UNIVERSAL_PHONE	Универсально для телефонов	универсальный|для всех телефонов	all	100	active	
compatibility_mode	CONNECTOR_BASED	По коннектору	usb-c|lightning|micro usb	all	100	active	
compatibility_mode	SIZE_BASED	По размеру устройства	4.7-6.7|до 7 дюймов	all	100	active	
compatibility_evidence_level	OCR_PACKAGE	OCR/упаковка		all	100	active	
compatibility_evidence_level	TITLE_EXPLICIT	Явно в названии		all	100	active	
compatibility_evidence_level	DESCRIPTION_EXPLICIT	Явно в описании		all	100	active	
compatibility_evidence_level	BARCODE_VENDOR	Штрихкод/вендор		all	100	active	
compatibility_evidence_level	URL_SOURCE	URL/страница источника		all	100	active	
compatibility_evidence_level	VISUAL_WEAK	Слабое визуальное предположение		all	100	active	
compatibility_evidence_level	NONE	Нет evidence		all	100	active	
compatibility_resolution_status	RESOLVED	Resolved		all	100	active	
compatibility_resolution_status	TEXT_ONLY	Текст без нормализации		all	100	active	
compatibility_resolution_status	AMBIGUOUS	Неоднозначно		all	100	active	
compatibility_resolution_status	NOT_REQUIRED	Не требуется		all	100	active	
compatibility_resolution_status	BLOCKED_LOW_EVIDENCE	Заблокировано: мало evidence		all	100	active	
case_style	SILICONE	Силиконовый	silicone|силикон	all	20	active	
