brand	manufacturer_brand	brand_parent	family	family_label	sample_lines	priority_tier	runtime_role	notes
APPLE	APPLE		IPHONE	Iphone	11|12|13|14|15|16|17|Air|SE	S	search_identity_head	
ASUS	ASUS		ROG_PHONE	Rog Phone	8	B	search_identity_head	
ASUS	ASUS		ZENFONE	Zenfone	11	C	search_identity_head	
BLACKVIEW	BLACKVIEW		BV	Bv	9900	C	search_identity_head	
CAT	CAT		CAT_S	Cat S	S75	C	search_identity_head	
GOOGLE	GOOGLE		PIXEL	Pixel	10|7|7A|8|8A|9|9A	S	search_identity_head	
HONOR	HONOR		HONOR_MAGIC	Honor Magic	MAGIC_7	A	search_identity_head	
HONOR	HONOR		HONOR_NUMBER	Honor Number	200|400	A	search_identity_head	
HONOR	HONOR		HONOR_X	Honor X	X9	B	search_identity_head	
HUAWEI	HUAWEI		HUAWEI_MATE	Huawei Mate	MATE_70	A	search_identity_head	
HUAWEI	HUAWEI		HUAWEI_NOVA	Huawei Nova	NOVA_13	B	search_identity_head	
HUAWEI	HUAWEI		HUAWEI_P	Huawei P	PURA_70	A	search_identity_head	
INFINIX	INFINIX		HOT	Hot	50	C	search_identity_head	
INFINIX	INFINIX		NOTE	Note	40	C	search_identity_head	
MOTOROLA	MOTOROLA		MOTO_EDGE	Moto Edge	EDGE_50	B	search_identity_head	
MOTOROLA	MOTOROLA		MOTO_G	Moto G	G85	B	search_identity_head	
MOTOROLA	MOTOROLA		MOTO_RAZR	Moto Razr	RAZR_50	B	search_identity_head	
NOKIA	NOKIA		NOKIA_G	Nokia G	G42	C	search_identity_head	
NOKIA	NOKIA		NOKIA_OLD	Nokia Old	3310	C	search_identity_head	
NOTHING	NOTHING		CMF_PHONE	Cmf Phone	PHONE_1	C	search_identity_head	
NOTHING	NOTHING		NOTHING_PHONE	Nothing Phone	PHONE_2A|PHONE_3	A	search_identity_head	
ONEPLUS	ONEPLUS		ONEPLUS_NORD	Oneplus Nord	NORD_4	B	search_identity_head	
ONEPLUS	ONEPLUS		ONEPLUS_NUMBER	Oneplus Number	12|13	A	search_identity_head	
OPPO	OPPO		OPPO_A	Oppo A	A5	C	search_identity_head	
OPPO	OPPO		OPPO_FIND	Oppo Find	FIND_X8	A	search_identity_head	
OPPO	OPPO		OPPO_RENO	Oppo Reno	RENO_13	B	search_identity_head	
POCO	XIAOMI	XIAOMI	POCO_F	Poco F	F6|F7	A	search_identity_head	commercial brand; manufacturer_brand=XIAOMI; keep brand as user-facing query key
POCO	XIAOMI	XIAOMI	POCO_X	Poco X	X6|X7	A	search_identity_head	commercial brand; manufacturer_brand=XIAOMI; keep brand as user-facing query key
REALME	REALME		REALME_C	Realme C	C75	C	search_identity_head	
REALME	REALME		REALME_GT	Realme Gt	GT_7	A	search_identity_head	
REALME	REALME		REALME_NUMBER	Realme Number	14	B	search_identity_head	
REDMI	XIAOMI	XIAOMI	REDMI_NOTE	Redmi Note	NOTE_13|NOTE_14	S	search_identity_head	commercial brand; manufacturer_brand=XIAOMI; keep brand as user-facing query key
SAMSUNG	SAMSUNG		GALAXY_A	Galaxy A	A34|A35|A36|A54|A55|A56	S	search_identity_head	
SAMSUNG	SAMSUNG		GALAXY_M	Galaxy M	M35|M55	B	search_identity_head	
SAMSUNG	SAMSUNG		GALAXY_S	Galaxy S	S22|S23|S24|S25	S	search_identity_head	
SAMSUNG	SAMSUNG		GALAXY_Z	Galaxy Z	Z_FLIP|Z_FOLD	A	search_identity_head	
SONY	SONY		XPERIA_1	Xperia 1	VI	B	search_identity_head	
SONY	SONY		XPERIA_5	Xperia 5	V	C	search_identity_head	
TECNO	TECNO		CAMON	Camon	30	C	search_identity_head	
TECNO	TECNO		SPARK	Spark	20	C	search_identity_head	
ULEFONE	ULEFONE		ARMOR	Armor	27	C	search_identity_head	
VIVO	VIVO		VIVO_V	Vivo V	V50	B	search_identity_head	
VIVO	VIVO		VIVO_X	Vivo X	X200	A	search_identity_head	
VIVO	VIVO		VIVO_Y	Vivo Y	Y200	C	search_identity_head	
XIAOMI	XIAOMI		XIAOMI_NUMBER	Xiaomi Number	14|15	A	search_identity_head	
XIAOMI	XIAOMI		XIAOMI_T	Xiaomi T	14T	A	search_identity_head	
