query	expected_categoryCode	expected_brand	expected_family	expected_model	expected_resolution	notes
13	TECH.PHONES	APPLE	IPHONE	iPhone 13	model_candidate_or_resolved	identity search hardening smoke
аппл 13	TECH.PHONES	APPLE	IPHONE	iPhone 13	model_candidate_or_resolved	identity search hardening smoke
эппл 13	TECH.PHONES	APPLE	IPHONE	iPhone 13	model_candidate_or_resolved	identity search hardening smoke
15	TECH.PHONES	APPLE	IPHONE	iPhone 15	model_candidate_or_resolved	identity search hardening smoke
аппл 15	TECH.PHONES	APPLE	IPHONE	iPhone 15	model_candidate_or_resolved	identity search hardening smoke
эппл 15	TECH.PHONES	APPLE	IPHONE	iPhone 15	model_candidate_or_resolved	identity search hardening smoke
15pro	TECH.PHONES	APPLE	IPHONE	iPhone 15 Pro	model_candidate_or_resolved	identity search hardening smoke
15 pro	TECH.PHONES	APPLE	IPHONE	iPhone 15 Pro	model_candidate_or_resolved	identity search hardening smoke
айфон 15	TECH.PHONES	APPLE	IPHONE	iPhone 15 Pro	model_candidate_or_resolved	identity search hardening smoke
15promax	TECH.PHONES	APPLE	IPHONE	iPhone 15 Pro Max	model_candidate_or_resolved	identity search hardening smoke
айфон 15	TECH.PHONES	APPLE	IPHONE	iPhone 15 Pro Max	model_candidate_or_resolved	identity search hardening smoke
iphone 15	TECH.PHONES	APPLE	IPHONE	iPhone 15 Pro Max	model_candidate_or_resolved	identity search hardening smoke
16	TECH.PHONES	APPLE	IPHONE	iPhone 16	model_candidate_or_resolved	identity search hardening smoke
аппл 16	TECH.PHONES	APPLE	IPHONE	iPhone 16	model_candidate_or_resolved	identity search hardening smoke
эппл 16	TECH.PHONES	APPLE	IPHONE	iPhone 16	model_candidate_or_resolved	identity search hardening smoke
16pro	TECH.PHONES	APPLE	IPHONE	iPhone 16 Pro	model_candidate_or_resolved	identity search hardening smoke
16 pro	TECH.PHONES	APPLE	IPHONE	iPhone 16 Pro	model_candidate_or_resolved	identity search hardening smoke
айфон 16	TECH.PHONES	APPLE	IPHONE	iPhone 16 Pro	model_candidate_or_resolved	identity search hardening smoke
16promax	TECH.PHONES	APPLE	IPHONE	iPhone 16 Pro Max	model_candidate_or_resolved	identity search hardening smoke
айфон 16	TECH.PHONES	APPLE	IPHONE	iPhone 16 Pro Max	model_candidate_or_resolved	identity search hardening smoke
iphone 16	TECH.PHONES	APPLE	IPHONE	iPhone 16 Pro Max	model_candidate_or_resolved	identity search hardening smoke
17	TECH.PHONES	APPLE	IPHONE	iPhone 17	model_candidate_or_resolved	identity search hardening smoke
аппл 17	TECH.PHONES	APPLE	IPHONE	iPhone 17	model_candidate_or_resolved	identity search hardening smoke
эппл 17	TECH.PHONES	APPLE	IPHONE	iPhone 17	model_candidate_or_resolved	identity search hardening smoke
17pro	TECH.PHONES	APPLE	IPHONE	iPhone 17 Pro	model_candidate_or_resolved	identity search hardening smoke
17 pro	TECH.PHONES	APPLE	IPHONE	iPhone 17 Pro	model_candidate_or_resolved	identity search hardening smoke
айфон 17	TECH.PHONES	APPLE	IPHONE	iPhone 17 Pro	model_candidate_or_resolved	identity search hardening smoke
17promax	TECH.PHONES	APPLE	IPHONE	iPhone 17 Pro Max	model_candidate_or_resolved	identity search hardening smoke
айфон 17	TECH.PHONES	APPLE	IPHONE	iPhone 17 Pro Max	model_candidate_or_resolved	identity search hardening smoke
iphone 17	TECH.PHONES	APPLE	IPHONE	iPhone 17 Pro Max	model_candidate_or_resolved	identity search hardening smoke
9pro	TECH.PHONES	GOOGLE	PIXEL	Pixel 9 Pro	model_candidate_or_resolved	identity search hardening smoke
9 pro	TECH.PHONES	GOOGLE	PIXEL	Pixel 9 Pro	model_candidate_or_resolved	identity search hardening smoke
pixel9pro	TECH.PHONES	GOOGLE	PIXEL	Pixel 9 Pro	model_candidate_or_resolved	identity search hardening smoke
9proxl	TECH.PHONES	GOOGLE	PIXEL	Pixel 9 Pro XL	model_candidate_or_resolved	identity search hardening smoke
9 pro xl	TECH.PHONES	GOOGLE	PIXEL	Pixel 9 Pro XL	model_candidate_or_resolved	identity search hardening smoke
pixel9proxl	TECH.PHONES	GOOGLE	PIXEL	Pixel 9 Pro XL	model_candidate_or_resolved	identity search hardening smoke
10	TECH.PHONES	GOOGLE	PIXEL	Pixel 10	model_candidate_or_resolved	identity search hardening smoke
pixel10	TECH.PHONES	GOOGLE	PIXEL	Pixel 10	model_candidate_or_resolved	identity search hardening smoke
гугл 10	TECH.PHONES	GOOGLE	PIXEL	Pixel 10	model_candidate_or_resolved	identity search hardening smoke
