alias	brand	family	line	model	model_code	priority	source_policy
13	APPLE	IPHONE	13	iPhone 13	APPLE_IPHONE_13	100	generated_alias_delta_v1_1
аппл 13	APPLE	IPHONE	13	iPhone 13	APPLE_IPHONE_13	100	generated_alias_delta_v1_1
эппл 13	APPLE	IPHONE	13	iPhone 13	APPLE_IPHONE_13	100	generated_alias_delta_v1_1
apple 13	APPLE	IPHONE	13	iPhone 13	APPLE_IPHONE_13	100	generated_alias_delta_v1_1
iphone13	APPLE	IPHONE	13	iPhone 13	APPLE_IPHONE_13	100	generated_alias_delta_v1_1
айфон 13	APPLE	IPHONE	13	iPhone 13	APPLE_IPHONE_13	100	generated_alias_delta_v1_1
iPhone 13	APPLE	IPHONE	13	iPhone 13	APPLE_IPHONE_13	100	generated_alias_delta_v1_1
аппл iphone 13	APPLE	IPHONE	13	iPhone 13	APPLE_IPHONE_13	100	generated_alias_delta_v1_1
эппл iphone 13	APPLE	IPHONE	13	iPhone 13	APPLE_IPHONE_13	100	generated_alias_delta_v1_1
apple iphone 13	APPLE	IPHONE	13	iPhone 13	APPLE_IPHONE_13	100	generated_alias_delta_v1_1
15	APPLE	IPHONE	15	iPhone 15	APPLE_IPHONE_15	100	generated_alias_delta_v1_1
аппл 15	APPLE	IPHONE	15	iPhone 15	APPLE_IPHONE_15	100	generated_alias_delta_v1_1
эппл 15	APPLE	IPHONE	15	iPhone 15	APPLE_IPHONE_15	100	generated_alias_delta_v1_1
apple 15	APPLE	IPHONE	15	iPhone 15	APPLE_IPHONE_15	100	generated_alias_delta_v1_1
iphone15	APPLE	IPHONE	15	iPhone 15	APPLE_IPHONE_15	100	generated_alias_delta_v1_1
айфон 15	APPLE	IPHONE	15	iPhone 15	APPLE_IPHONE_15	100	generated_alias_delta_v1_1
iPhone 15	APPLE	IPHONE	15	iPhone 15	APPLE_IPHONE_15	100	generated_alias_delta_v1_1
аппл iphone 15	APPLE	IPHONE	15	iPhone 15	APPLE_IPHONE_15	100	generated_alias_delta_v1_1
эппл iphone 15	APPLE	IPHONE	15	iPhone 15	APPLE_IPHONE_15	100	generated_alias_delta_v1_1
apple iphone 15	APPLE	IPHONE	15	iPhone 15	APPLE_IPHONE_15	100	generated_alias_delta_v1_1
15pro	APPLE	IPHONE	15	iPhone 15 Pro	APPLE_IPHONE_15_PRO	100	generated_alias_delta_v1_1
15 pro	APPLE	IPHONE	15	iPhone 15 Pro	APPLE_IPHONE_15_PRO	100	generated_alias_delta_v1_1
айфон 15	APPLE	IPHONE	15	iPhone 15 Pro	APPLE_IPHONE_15_PRO	100	generated_alias_delta_v1_1
iphone 15	APPLE	IPHONE	15	iPhone 15 Pro	APPLE_IPHONE_15_PRO	100	generated_alias_delta_v1_1
iphone15pro	APPLE	IPHONE	15	iPhone 15 Pro	APPLE_IPHONE_15_PRO	100	generated_alias_delta_v1_1
аппл 15 pro	APPLE	IPHONE	15	iPhone 15 Pro	APPLE_IPHONE_15_PRO	100	generated_alias_delta_v1_1
