model_code	brand	family	line	model	market_priority_tier	resale_liquidity_tier	ru_eu_search_weight	suggestion_scope	not_a_collection
APPLE_IPHONE_13	APPLE	IPHONE	13	iPhone 13	S	S	100	identity_search_only	true
APPLE_IPHONE_15	APPLE	IPHONE	15	iPhone 15	S	A	100	identity_search_only	true
APPLE_IPHONE_15_PRO	APPLE	IPHONE	15	iPhone 15 Pro	S	S	100	identity_search_only	true
APPLE_IPHONE_15_PRO_MAX	APPLE	IPHONE	15	iPhone 15 Pro Max	S	S	100	identity_search_only	true
APPLE_IPHONE_16	APPLE	IPHONE	16	iPhone 16	S	A	100	identity_search_only	true
APPLE_IPHONE_16_PRO	APPLE	IPHONE	16	iPhone 16 Pro	S	S	100	identity_search_only	true
APPLE_IPHONE_16_PRO_MAX	APPLE	IPHONE	16	iPhone 16 Pro Max	S	S	100	identity_search_only	true
APPLE_IPHONE_17	APPLE	IPHONE	17	iPhone 17	S	A	100	identity_search_only	true
APPLE_IPHONE_17_PRO	APPLE	IPHONE	17	iPhone 17 Pro	S	A	100	identity_search_only	true
APPLE_IPHONE_17_PRO_MAX	APPLE	IPHONE	17	iPhone 17 Pro Max	S	A	100	identity_search_only	true
GOOGLE_PIXEL_9_PRO	GOOGLE	PIXEL	9	Pixel 9 Pro	S	A	100	identity_search_only	true
GOOGLE_PIXEL_9_PRO_XL	GOOGLE	PIXEL	9	Pixel 9 Pro XL	S	A	100	identity_search_only	true
GOOGLE_PIXEL_10	GOOGLE	PIXEL	10	Pixel 10	S	A	100	identity_search_only	true
GOOGLE_PIXEL_10_PRO	GOOGLE	PIXEL	10	Pixel 10 Pro	S	A	100	identity_search_only	true
GOOGLE_PIXEL_10_PRO_XL	GOOGLE	PIXEL	10	Pixel 10 Pro XL	S	A	100	identity_search_only	true
REDMI_REDMI_NOTE_14_PRO_5G	REDMI	REDMI_NOTE	NOTE_14	Redmi Note 14 Pro 5G	S	A	100	identity_search_only	true
REDMI_REDMI_NOTE_14_PRO_PLUS_5G	REDMI	REDMI_NOTE	NOTE_14	Redmi Note 14 Pro+ 5G	S	A	100	identity_search_only	true
SAMSUNG_GALAXY_A55_5G	SAMSUNG	GALAXY_A	A55	Galaxy A55 5G	S	A	100	identity_search_only	true
SAMSUNG_GALAXY_S24	SAMSUNG	GALAXY_S	S24	Galaxy S24	S	A	100	identity_search_only	true
SAMSUNG_GALAXY_S24_ULTRA	SAMSUNG	GALAXY_S	S24	Galaxy S24 Ultra	S	S	100	identity_search_only	true
SAMSUNG_GALAXY_A56_5G	SAMSUNG	GALAXY_A	A56	Galaxy A56 5G	S	A	100	identity_search_only	true
SAMSUNG_GALAXY_S25	SAMSUNG	GALAXY_S	S25	Galaxy S25	S	A	100	identity_search_only	true
SAMSUNG_GALAXY_S25_ULTRA	SAMSUNG	GALAXY_S	S25	Galaxy S25 Ultra	S	A	100	identity_search_only	true
APPLE_IPHONE_12	APPLE	IPHONE	12	iPhone 12	A	A	85	identity_search_only	true
APPLE_IPHONE_13_PRO	APPLE	IPHONE	13	iPhone 13 Pro	A	A	85	identity_search_only	true
APPLE_IPHONE_13_PRO_MAX	APPLE	IPHONE	13	iPhone 13 Pro Max	A	S	85	identity_search_only	true
APPLE_IPHONE_14	APPLE	IPHONE	14	iPhone 14	A	A	85	identity_search_only	true
APPLE_IPHONE_14_PRO	APPLE	IPHONE	14	iPhone 14 Pro	A	S	85	identity_search_only	true
APPLE_IPHONE_14_PRO_MAX	APPLE	IPHONE	14	iPhone 14 Pro Max	A	S	85	identity_search_only	true
APPLE_IPHONE_15_PLUS	APPLE	IPHONE	15	iPhone 15 Plus	A	A	85	identity_search_only	true
APPLE_IPHONE_16_PLUS	APPLE	IPHONE	16	iPhone 16 Plus	A	A	85	identity_search_only	true
APPLE_IPHONE_16E	APPLE	IPHONE	16	iPhone 16e	A	B	85	identity_search_only	true
APPLE_IPHONE_AIR	APPLE	IPHONE	Air	iPhone Air	A	B	85	identity_search_only	true
APPLE_IPHONE_17E	APPLE	IPHONE	17	iPhone 17e	A	B	85	identity_search_only	true
GOOGLE_PIXEL_8	GOOGLE	PIXEL	8	Pixel 8	A	A	85	identity_search_only	true
GOOGLE_PIXEL_8_PRO	GOOGLE	PIXEL	8	Pixel 8 Pro	A	A	85	identity_search_only	true
GOOGLE_PIXEL_8A	GOOGLE	PIXEL	8A	Pixel 8a	A	A	85	identity_search_only	true
GOOGLE_PIXEL_9	GOOGLE	PIXEL	9	Pixel 9	A	A	85	identity_search_only	true
GOOGLE_PIXEL_10_PRO_FOLD	GOOGLE	PIXEL	10	Pixel 10 Pro Fold	A	B	85	identity_search_only	true
GOOGLE_PIXEL_9A	GOOGLE	PIXEL	9A	Pixel 9a	A	B	85	identity_search_only	true
HONOR_HONOR_400	HONOR	HONOR_NUMBER	400	Honor 400	A	B	85	identity_search_only	true
HONOR_HONOR_400_PRO	HONOR	HONOR_NUMBER	400	Honor 400 Pro	A	B	85	identity_search_only	true
HONOR_HONOR_MAGIC7_PRO	HONOR	HONOR_MAGIC	MAGIC_7	Honor Magic7 Pro	A	B	85	identity_search_only	true
HUAWEI_HUAWEI_MATE_70_PRO	HUAWEI	HUAWEI_MATE	MATE_70	Huawei Mate 70 Pro	A	B	85	identity_search_only	true
HUAWEI_HUAWEI_PURA_70_ULTRA	HUAWEI	HUAWEI_P	PURA_70	Huawei Pura 70 Ultra	A	B	85	identity_search_only	true
NOTHING_NOTHING_PHONE_3	NOTHING	NOTHING_PHONE	PHONE_3	Nothing Phone (3)	A	B	85	identity_search_only	true
ONEPLUS_ONEPLUS_12	ONEPLUS	ONEPLUS_NUMBER	12	OnePlus 12	A	B	85	identity_search_only	true
ONEPLUS_ONEPLUS_13	ONEPLUS	ONEPLUS_NUMBER	13	OnePlus 13	A	B	85	identity_search_only	true
OPPO_OPPO_FIND_X8_PRO	OPPO	OPPO_FIND	FIND_X8	OPPO Find X8 Pro	A	B	85	identity_search_only	true
POCO_POCO_F6	POCO	POCO_F	F6	POCO F6	A	B	85	identity_search_only	true
POCO_POCO_F6_PRO	POCO	POCO_F	F6	POCO F6 Pro	A	B	85	identity_search_only	true
POCO_POCO_X6_PRO	POCO	POCO_X	X6	POCO X6 Pro	A	B	85	identity_search_only	true
POCO_POCO_F7	POCO	POCO_F	F7	POCO F7	A	B	85	identity_search_only	true
POCO_POCO_F7_PRO	POCO	POCO_F	F7	POCO F7 Pro	A	B	85	identity_search_only	true
POCO_POCO_X7_PRO	POCO	POCO_X	X7	POCO X7 Pro	A	B	85	identity_search_only	true
REALME_REALME_GT_7_PRO	REALME	REALME_GT	GT_7	realme GT 7 Pro	A	B	85	identity_search_only	true
REDMI_REDMI_NOTE_13_PRO_5G	REDMI	REDMI_NOTE	NOTE_13	Redmi Note 13 Pro 5G	A	A	85	identity_search_only	true
REDMI_REDMI_NOTE_13_PRO_PLUS_5G	REDMI	REDMI_NOTE	NOTE_13	Redmi Note 13 Pro+ 5G	A	A	85	identity_search_only	true
REDMI_REDMI_NOTE_14_5G	REDMI	REDMI_NOTE	NOTE_14	Redmi Note 14 5G	A	A	85	identity_search_only	true
SAMSUNG_GALAXY_A54_5G	SAMSUNG	GALAXY_A	A54	Galaxy A54 5G	A	A	85	identity_search_only	true
SAMSUNG_GALAXY_S23	SAMSUNG	GALAXY_S	S23	Galaxy S23	A	A	85	identity_search_only	true
SAMSUNG_GALAXY_S23_ULTRA	SAMSUNG	GALAXY_S	S23	Galaxy S23 Ultra	A	A	85	identity_search_only	true
SAMSUNG_GALAXY_A35_5G	SAMSUNG	GALAXY_A	A35	Galaxy A35 5G	A	B	85	identity_search_only	true
SAMSUNG_GALAXY_S24_PLUS	SAMSUNG	GALAXY_S	S24	Galaxy S24+	A	A	85	identity_search_only	true
SAMSUNG_GALAXY_Z_FLIP6	SAMSUNG	GALAXY_Z	Z_FLIP	Galaxy Z Flip6	A	A	85	identity_search_only	true
