phrase	locale	target_category_code	target_attribute	target_value	match_type	priority	route_intent	negative_guard	notes
смартфон	ru	TECH.PHONES	phone_type	SMARTPHONE	normalized_phrase	120	include	false	
смартфоны	ru	TECH.PHONES	phone_type	SMARTPHONE	normalized_phrase	120	include	false	
телефон	ru	TECH.PHONES	phone_type	SMARTPHONE	normalized_phrase	120	include	false	
мобильный телефон	ru	TECH.PHONES	phone_type	SMARTPHONE	normalized_phrase	120	include	false	
мобила	ru	TECH.PHONES	phone_type	SMARTPHONE	normalized_phrase	120	include	false	
мобилка	ru	TECH.PHONES	phone_type	SMARTPHONE	normalized_phrase	120	include	false	
сотовый телефон	ru	TECH.PHONES	phone_type	SMARTPHONE	normalized_phrase	120	include	false	
iphone	ru	TECH.PHONES	phone_type	SMARTPHONE	normalized_phrase	120	include	false	
айфон	ru	TECH.PHONES	phone_type	SMARTPHONE	normalized_phrase	120	include	false	
андроид телефон	ru	TECH.PHONES	phone_type	SMARTPHONE	normalized_phrase	120	include	false	
android phone	ru	TECH.PHONES	phone_type	SMARTPHONE	normalized_phrase	120	include	false	
smartphone	ru	TECH.PHONES	phone_type	SMARTPHONE	normalized_phrase	120	include	false	
кнопочный телефон	ru	TECH.PHONES	phone_type	FEATURE_PHONE	normalized_phrase	115	include	false	
звонилка	ru	TECH.PHONES	phone_type	FEATURE_PHONE	normalized_phrase	115	include	false	
feature phone	ru	TECH.PHONES	phone_type	FEATURE_PHONE	normalized_phrase	115	include	false	
телефон с кнопками	ru	TECH.PHONES	phone_type	FEATURE_PHONE	normalized_phrase	115	include	false	
нокиа кнопочная	ru	TECH.PHONES	phone_type	FEATURE_PHONE	normalized_phrase	115	include	false	
nokia кнопочный	ru	TECH.PHONES	phone_type	FEATURE_PHONE	normalized_phrase	115	include	false	
складной телефон	ru	TECH.PHONES	phone_type	FOLDABLE_PHONE	normalized_phrase	115	include	false	
раскладной смартфон	ru	TECH.PHONES	phone_type	FOLDABLE_PHONE	normalized_phrase	115	include	false	
foldable phone	ru	TECH.PHONES	phone_type	FOLDABLE_PHONE	normalized_phrase	115	include	false	
galaxy fold	ru	TECH.PHONES	phone_type	FOLDABLE_PHONE	normalized_phrase	115	include	false	
galaxy flip	ru	TECH.PHONES	phone_type	FOLDABLE_PHONE	normalized_phrase	115	include	false	
motorola razr	ru	TECH.PHONES	phone_type	FOLDABLE_PHONE	normalized_phrase	115	include	false	
защищенный телефон	ru	TECH.PHONES	phone_type	RUGGED_PHONE	normalized_phrase	114	include	false	
защищённый телефон	ru	TECH.PHONES	phone_type	RUGGED_PHONE	normalized_phrase	114	include	false	
ударопрочный телефон	ru	TECH.PHONES	phone_type	RUGGED_PHONE	normalized_phrase	114	include	false	
rugged phone	ru	TECH.PHONES	phone_type	RUGGED_PHONE	normalized_phrase	114	include	false	
телефон ip68	ru	TECH.PHONES	phone_type	RUGGED_PHONE	normalized_phrase	114	include	false	
неубиваемый телефон	ru	TECH.PHONES	phone_type	RUGGED_PHONE	normalized_phrase	114	include	false	
ретро телефон	ru	TECH.PHONES	phone_type	RETRO_PHONE	normalized_phrase	110	include	false	
винтажный телефон	ru	TECH.PHONES	phone_type	RETRO_PHONE	normalized_phrase	110	include	false	
коллекционный телефон	ru	TECH.PHONES	phone_type	RETRO_PHONE	normalized_phrase	110	include	false	
старый телефон	ru	TECH.PHONES	phone_type	RETRO_PHONE	normalized_phrase	110	include	false	
nokia 3310	ru	TECH.PHONES	phone_type	RETRO_PHONE	normalized_phrase	110	include	false	
спутниковый телефон	ru	TECH.PHONES	phone_type	SATELLITE_PHONE	normalized_phrase	110	include	false	
satellite phone	ru	TECH.PHONES	phone_type	SATELLITE_PHONE	normalized_phrase	110	include	false	
iridium phone	ru	TECH.PHONES	phone_type	SATELLITE_PHONE	normalized_phrase	110	include	false	
thuraya телефон	ru	TECH.PHONES	phone_type	SATELLITE_PHONE	normalized_phrase	110	include	false	
разлочен	ru	TECH.PHONES	network_lock_status	UNLOCKED	normalized_phrase	90	include	false	
без привязки к оператору	ru	TECH.PHONES	network_lock_status	UNLOCKED	normalized_phrase	90	include	false	
factory unlocked	ru	TECH.PHONES	network_lock_status	FACTORY_UNLOCKED	normalized_phrase	90	include	false	
залочен	ru	TECH.PHONES	network_lock_status	LOCKED_TO_CARRIER	normalized_phrase	90	include	false	
locked to carrier	ru	TECH.PHONES	network_lock_status	LOCKED_TO_CARRIER	normalized_phrase	90	include	false	
под оператора	ru	TECH.PHONES	network_lock_status	LOCKED_TO_CARRIER	normalized_phrase	90	include	false	
apple	ru	TECH.PHONES	brand	APPLE	normalized_phrase	80	include	false	
samsung	ru	TECH.PHONES	brand	SAMSUNG	normalized_phrase	80	include	false	
google	ru	TECH.PHONES	brand	GOOGLE	normalized_phrase	80	include	false	
xiaomi	ru	TECH.PHONES	brand	XIAOMI	normalized_phrase	80	include	false	
redmi	ru	TECH.PHONES	brand	REDMI	normalized_phrase	80	include	false	
poco	ru	TECH.PHONES	brand	POCO	normalized_phrase	80	include	false	
huawei	ru	TECH.PHONES	brand	HUAWEI	normalized_phrase	80	include	false	
honor	ru	TECH.PHONES	brand	HONOR	normalized_phrase	80	include	false	
oneplus	ru	TECH.PHONES	brand	ONEPLUS	normalized_phrase	80	include	false	
oppo	ru	TECH.PHONES	brand	OPPO	normalized_phrase	80	include	false	
vivo	ru	TECH.PHONES	brand	VIVO	normalized_phrase	80	include	false	
realme	ru	TECH.PHONES	brand	REALME	normalized_phrase	80	include	false	
nothing	ru	TECH.PHONES	brand	NOTHING	normalized_phrase	80	include	false	
motorola	ru	TECH.PHONES	brand	MOTOROLA	normalized_phrase	80	include	false	
nokia	ru	TECH.PHONES	brand	NOKIA	normalized_phrase	80	include	false	
sony	ru	TECH.PHONES	brand	SONY	normalized_phrase	80	include	false	
asus	ru	TECH.PHONES	brand	ASUS	normalized_phrase	80	include	false	
tecno	ru	TECH.PHONES	brand	TECNO	normalized_phrase	80	include	false	
infinix	ru	TECH.PHONES	brand	INFINIX	normalized_phrase	80	include	false	
zte	ru	TECH.PHONES	brand	ZTE	normalized_phrase	80	include	false	
tcl	ru	TECH.PHONES	brand	TCL	normalized_phrase	80	include	false	
meizu	ru	TECH.PHONES	brand	MEIZU	normalized_phrase	80	include	false	
blackview	ru	TECH.PHONES	brand	BLACKVIEW	normalized_phrase	80	include	false	
oukitel	ru	TECH.PHONES	brand	OUKITEL	normalized_phrase	80	include	false	
cat	ru	TECH.PHONES	brand	CAT	normalized_phrase	80	include	false	
doogee	ru	TECH.PHONES	brand	DOOGEE	normalized_phrase	80	include	false	
fairphone	ru	TECH.PHONES	brand	FAIRPHONE	normalized_phrase	80	include	false	
alcatel	ru	TECH.PHONES	brand	ALCATEL	normalized_phrase	80	include	false	
htc	ru	TECH.PHONES	brand	HTC	normalized_phrase	80	include	false	
lg	ru	TECH.PHONES	brand	LG	normalized_phrase	80	include	false	
iphone 17 pro	ru	TECH.PHONES	model	iPhone 17 Pro	normalized_phrase	88	include	false	
айфон 17 pro	ru	TECH.PHONES	model	iPhone 17 Pro	normalized_phrase	89	include	false	
iphone  17 pro	ru	TECH.PHONES	model	iPhone 17 Pro	normalized_phrase	70	include	false	
iphone 17 pro max	ru	TECH.PHONES	model	iPhone 17 Pro Max	normalized_phrase	88	include	false	
айфон 17 pro max	ru	TECH.PHONES	model	iPhone 17 Pro Max	normalized_phrase	89	include	false	
iphone  17 pro max	ru	TECH.PHONES	model	iPhone 17 Pro Max	normalized_phrase	70	include	false	
iphone air	ru	TECH.PHONES	model	iPhone Air	normalized_phrase	88	include	false	
айфон air	ru	TECH.PHONES	model	iPhone Air	normalized_phrase	89	include	false	
iphone  air	ru	TECH.PHONES	model	iPhone Air	normalized_phrase	70	include	false	
iphone 17	ru	TECH.PHONES	model	iPhone 17	normalized_phrase	88	include	false	
айфон 17	ru	TECH.PHONES	model	iPhone 17	normalized_phrase	89	include	false	
iphone  17	ru	TECH.PHONES	model	iPhone 17	normalized_phrase	70	include	false	
iphone 17e	ru	TECH.PHONES	model	iPhone 17e	normalized_phrase	88	include	false	
айфон 17e	ru	TECH.PHONES	model	iPhone 17e	normalized_phrase	89	include	false	
iphone  17e	ru	TECH.PHONES	model	iPhone 17e	normalized_phrase	70	include	false	
iphone 16 pro	ru	TECH.PHONES	model	iPhone 16 Pro	normalized_phrase	88	include	false	
айфон 16 pro	ru	TECH.PHONES	model	iPhone 16 Pro	normalized_phrase	89	include	false	
iphone  16 pro	ru	TECH.PHONES	model	iPhone 16 Pro	normalized_phrase	70	include	false	
iphone 16 pro max	ru	TECH.PHONES	model	iPhone 16 Pro Max	normalized_phrase	88	include	false	
айфон 16 pro max	ru	TECH.PHONES	model	iPhone 16 Pro Max	normalized_phrase	89	include	false	
iphone  16 pro max	ru	TECH.PHONES	model	iPhone 16 Pro Max	normalized_phrase	70	include	false	
iphone 16 plus	ru	TECH.PHONES	model	iPhone 16 Plus	normalized_phrase	88	include	false	
айфон 16 plus	ru	TECH.PHONES	model	iPhone 16 Plus	normalized_phrase	89	include	false	
iphone  16 plus	ru	TECH.PHONES	model	iPhone 16 Plus	normalized_phrase	70	include	false	
iphone 16	ru	TECH.PHONES	model	iPhone 16	normalized_phrase	88	include	false	
айфон 16	ru	TECH.PHONES	model	iPhone 16	normalized_phrase	89	include	false	
iphone  16	ru	TECH.PHONES	model	iPhone 16	normalized_phrase	70	include	false	
iphone 16e	ru	TECH.PHONES	model	iPhone 16e	normalized_phrase	88	include	false	
айфон 16e	ru	TECH.PHONES	model	iPhone 16e	normalized_phrase	89	include	false	
iphone  16e	ru	TECH.PHONES	model	iPhone 16e	normalized_phrase	70	include	false	
iphone 15 pro	ru	TECH.PHONES	model	iPhone 15 Pro	normalized_phrase	88	include	false	
айфон 15 pro	ru	TECH.PHONES	model	iPhone 15 Pro	normalized_phrase	89	include	false	
iphone  15 pro	ru	TECH.PHONES	model	iPhone 15 Pro	normalized_phrase	70	include	false	
iphone 15 pro max	ru	TECH.PHONES	model	iPhone 15 Pro Max	normalized_phrase	88	include	false	
айфон 15 pro max	ru	TECH.PHONES	model	iPhone 15 Pro Max	normalized_phrase	89	include	false	
iphone  15 pro max	ru	TECH.PHONES	model	iPhone 15 Pro Max	normalized_phrase	70	include	false	
iphone 15 plus	ru	TECH.PHONES	model	iPhone 15 Plus	normalized_phrase	88	include	false	
айфон 15 plus	ru	TECH.PHONES	model	iPhone 15 Plus	normalized_phrase	89	include	false	
iphone  15 plus	ru	TECH.PHONES	model	iPhone 15 Plus	normalized_phrase	70	include	false	
iphone 15	ru	TECH.PHONES	model	iPhone 15	normalized_phrase	88	include	false	
айфон 15	ru	TECH.PHONES	model	iPhone 15	normalized_phrase	89	include	false	
iphone  15	ru	TECH.PHONES	model	iPhone 15	normalized_phrase	70	include	false	
iphone 14 pro	ru	TECH.PHONES	model	iPhone 14 Pro	normalized_phrase	88	include	false	
айфон 14 pro	ru	TECH.PHONES	model	iPhone 14 Pro	normalized_phrase	89	include	false	
iphone  14 pro	ru	TECH.PHONES	model	iPhone 14 Pro	normalized_phrase	70	include	false	
