query	expected_category_code	expected_phone_type	expected_attributes_json	should_route	notes
iPhone 17 Pro	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 17 Pro""}"	true	
iPhone 17 Pro 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 17 Pro"",""storage_capacity_gb"":128}"	true	
iPhone 17 Pro Max	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 17 Pro Max""}"	true	
iPhone 17 Pro Max 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 17 Pro Max"",""storage_capacity_gb"":128}"	true	
iPhone Air	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone Air""}"	true	
iPhone Air 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone Air"",""storage_capacity_gb"":128}"	true	
iPhone 17	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 17""}"	true	
iPhone 17 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 17"",""storage_capacity_gb"":128}"	true	
iPhone 17e	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 17e""}"	true	
iPhone 17e 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 17e"",""storage_capacity_gb"":128}"	true	
iPhone 16 Pro	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 16 Pro""}"	true	
iPhone 16 Pro 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 16 Pro"",""storage_capacity_gb"":128}"	true	
iPhone 16 Pro Max	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 16 Pro Max""}"	true	
iPhone 16 Pro Max 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 16 Pro Max"",""storage_capacity_gb"":128}"	true	
iPhone 16 Plus	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 16 Plus""}"	true	
iPhone 16 Plus 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 16 Plus"",""storage_capacity_gb"":128}"	true	
iPhone 16	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 16""}"	true	
iPhone 16 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 16"",""storage_capacity_gb"":128}"	true	
iPhone 16e	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 16e""}"	true	
iPhone 16e 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 16e"",""storage_capacity_gb"":128}"	true	
iPhone 15 Pro	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 15 Pro""}"	true	
iPhone 15 Pro 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 15 Pro"",""storage_capacity_gb"":128}"	true	
iPhone 15 Pro Max	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 15 Pro Max""}"	true	
iPhone 15 Pro Max 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 15 Pro Max"",""storage_capacity_gb"":128}"	true	
