brand	family	line	model	model_aliases	phone_type	release_year	region_scope	source_policy	status	notes
APPLE	IPHONE	17	iPhone 17 Pro	айфон 17 pro|iphone 17 Pro	SMARTPHONE	2026	GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	17	iPhone 17 Pro Max	айфон 17 pro max|iphone 17 Pro Max	SMARTPHONE	2026	GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	Air	iPhone Air	айфон air|iphone Air	SMARTPHONE	2026	GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	17	iPhone 17	айфон 17|iphone 17	SMARTPHONE	2026	GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	17e	iPhone 17e	айфон 17e|iphone 17e	SMARTPHONE	2026	GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	16	iPhone 16 Pro	айфон 16 pro|iphone 16 Pro	SMARTPHONE	2024	GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	16	iPhone 16 Pro Max	айфон 16 pro max|iphone 16 Pro Max	SMARTPHONE	2024	GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	16	iPhone 16 Plus	айфон 16 plus|iphone 16 Plus	SMARTPHONE	2024	GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	16	iPhone 16	айфон 16|iphone 16	SMARTPHONE	2024	GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	16e	iPhone 16e	айфон 16e|iphone 16e	SMARTPHONE	2024	GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	15	iPhone 15 Pro	айфон 15 pro|iphone 15 Pro	SMARTPHONE	2023	GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	15	iPhone 15 Pro Max	айфон 15 pro max|iphone 15 Pro Max	SMARTPHONE	2023	GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	15	iPhone 15 Plus	айфон 15 plus|iphone 15 Plus	SMARTPHONE	2023	GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	15	iPhone 15	айфон 15|iphone 15	SMARTPHONE	2023	GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	14	iPhone 14 Pro	айфон 14 pro|iphone 14 Pro	SMARTPHONE	2022	GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	14	iPhone 14 Pro Max	айфон 14 pro max|iphone 14 Pro Max	SMARTPHONE	2022	GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	14	iPhone 14 Plus	айфон 14 plus|iphone 14 Plus	SMARTPHONE	2022	GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	14	iPhone 14	айфон 14|iphone 14	SMARTPHONE	2022	GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	13	iPhone 13 Pro	айфон 13 pro|iphone 13 Pro	SMARTPHONE	2021	GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	13	iPhone 13 Pro Max	айфон 13 pro max|iphone 13 Pro Max	SMARTPHONE	2021	GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	13	iPhone 13 mini	айфон 13 mini|iphone 13 mini	SMARTPHONE	2021	GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	13	iPhone 13	айфон 13|iphone 13	SMARTPHONE	2021	GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	SE	iPhone SE (3rd generation)	айфон se (3rd generation)|iphone SE (3rd generation)	SMARTPHONE		GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	12	iPhone 12 Pro	айфон 12 pro|iphone 12 Pro	SMARTPHONE	2020	GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	12	iPhone 12 Pro Max	айфон 12 pro max|iphone 12 Pro Max	SMARTPHONE	2020	GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	12	iPhone 12 mini	айфон 12 mini|iphone 12 mini	SMARTPHONE	2020	GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	12	iPhone 12	айфон 12|iphone 12	SMARTPHONE	2020	GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	11	iPhone 11 Pro	айфон 11 pro|iphone 11 Pro	SMARTPHONE	2019	GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	11	iPhone 11 Pro Max	айфон 11 pro max|iphone 11 Pro Max	SMARTPHONE	2019	GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	11	iPhone 11	айфон 11|iphone 11	SMARTPHONE	2019	GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	SE	iPhone SE (2nd generation)	айфон se (2nd generation)|iphone SE (2nd generation)	SMARTPHONE		GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	XS	iPhone XS	айфон xs|iphone XS	SMARTPHONE		GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	XS	iPhone XS Max	айфон xs max|iphone XS Max	SMARTPHONE		GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	XR	iPhone XR	айфон xr|iphone XR	SMARTPHONE		GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	X	iPhone X	айфон x|iphone X	SMARTPHONE		GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	8	iPhone 8 Plus	айфон 8 plus|iphone 8 Plus	SMARTPHONE		GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	8	iPhone 8	айфон 8|iphone 8	SMARTPHONE		GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	7	iPhone 7 Plus	айфон 7 plus|iphone 7 Plus	SMARTPHONE		GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
APPLE	IPHONE	7	iPhone 7	айфон 7|iphone 7	SMARTPHONE		GLOBAL	official_apple_compare_2026_05	head_seed	head seed, not full registry
SAMSUNG	GALAXY	Galaxy S	Galaxy S26	galaxy s26|самсунг галакси s26	SMARTPHONE	2026	GLOBAL	official_samsung_page_or_vendor_runtime_verification	head_seed	head seed, not full registry
SAMSUNG	GALAXY	Galaxy S	Galaxy S26+	galaxy s26+|самсунг галакси s26+	SMARTPHONE	2026	GLOBAL	official_samsung_page_or_vendor_runtime_verification	head_seed	head seed, not full registry
SAMSUNG	GALAXY	Galaxy S	Galaxy S26 Ultra	galaxy s26 ultra|самсунг галакси s26 ultra	SMARTPHONE	2026	GLOBAL	official_samsung_page_or_vendor_runtime_verification	head_seed	head seed, not full registry
SAMSUNG	GALAXY	Galaxy S	Galaxy S25	galaxy s25|самсунг галакси s25	SMARTPHONE	2025	GLOBAL	official_samsung_page_or_vendor_runtime_verification	head_seed	head seed, not full registry
SAMSUNG	GALAXY	Galaxy S	Galaxy S25+	galaxy s25+|самсунг галакси s25+	SMARTPHONE	2025	GLOBAL	official_samsung_page_or_vendor_runtime_verification	head_seed	head seed, not full registry
SAMSUNG	GALAXY	Galaxy S	Galaxy S25 Ultra	galaxy s25 ultra|самсунг галакси s25 ultra	SMARTPHONE	2025	GLOBAL	official_samsung_page_or_vendor_runtime_verification	head_seed	head seed, not full registry
SAMSUNG	GALAXY	Galaxy S	Galaxy S24	galaxy s24|самсунг галакси s24	SMARTPHONE	2024	GLOBAL	official_samsung_page_or_vendor_runtime_verification	head_seed	head seed, not full registry
SAMSUNG	GALAXY	Galaxy S	Galaxy S24+	galaxy s24+|самсунг галакси s24+	SMARTPHONE	2024	GLOBAL	official_samsung_page_or_vendor_runtime_verification	head_seed	head seed, not full registry
SAMSUNG	GALAXY	Galaxy S	Galaxy S24 Ultra	galaxy s24 ultra|самсунг галакси s24 ultra	SMARTPHONE	2024	GLOBAL	official_samsung_page_or_vendor_runtime_verification	head_seed	head seed, not full registry
SAMSUNG	GALAXY	Galaxy S FE	Galaxy S24 FE	galaxy s24 fe|самсунг галакси s24 fe	SMARTPHONE	2024	GLOBAL	official_samsung_page_or_vendor_runtime_verification	head_seed	head seed, not full registry
SAMSUNG	GALAXY	Galaxy S	Galaxy S23	galaxy s23|самсунг галакси s23	SMARTPHONE	2023	GLOBAL	official_samsung_page_or_vendor_runtime_verification	head_seed	head seed, not full registry
SAMSUNG	GALAXY	Galaxy S	Galaxy S23+	galaxy s23+|самсунг галакси s23+	SMARTPHONE	2023	GLOBAL	official_samsung_page_or_vendor_runtime_verification	head_seed	head seed, not full registry
SAMSUNG	GALAXY	Galaxy S	Galaxy S23 Ultra	galaxy s23 ultra|самсунг галакси s23 ultra	SMARTPHONE	2023	GLOBAL	official_samsung_page_or_vendor_runtime_verification	head_seed	head seed, not full registry
SAMSUNG	GALAXY	Galaxy S FE	Galaxy S23 FE	galaxy s23 fe|самсунг галакси s23 fe	SMARTPHONE	2023	GLOBAL	official_samsung_page_or_vendor_runtime_verification	head_seed	head seed, not full registry
SAMSUNG	GALAXY	Galaxy Z Fold	Galaxy Z Fold7	galaxy z fold7|самсунг галакси z fold7	FOLDABLE_PHONE	2026	GLOBAL	official_samsung_page_or_vendor_runtime_verification	head_seed	head seed, not full registry
SAMSUNG	GALAXY	Galaxy Z Flip	Galaxy Z Flip7	galaxy z flip7|самсунг галакси z flip7	FOLDABLE_PHONE	2026	GLOBAL	official_samsung_page_or_vendor_runtime_verification	head_seed	head seed, not full registry
SAMSUNG	GALAXY	Galaxy Z Fold	Galaxy Z Fold6	galaxy z fold6|самсунг галакси z fold6	FOLDABLE_PHONE	2024	GLOBAL	official_samsung_page_or_vendor_runtime_verification	head_seed	head seed, not full registry
SAMSUNG	GALAXY	Galaxy Z Flip	Galaxy Z Flip6	galaxy z flip6|самсунг галакси z flip6	FOLDABLE_PHONE	2024	GLOBAL	official_samsung_page_or_vendor_runtime_verification	head_seed	head seed, not full registry
SAMSUNG	GALAXY	Galaxy Z Fold	Galaxy Z Fold5	galaxy z fold5|самсунг галакси z fold5	FOLDABLE_PHONE	2023	GLOBAL	official_samsung_page_or_vendor_runtime_verification	head_seed	head seed, not full registry
SAMSUNG	GALAXY	Galaxy Z Flip	Galaxy Z Flip5	galaxy z flip5|самсунг галакси z flip5	FOLDABLE_PHONE	2023	GLOBAL	official_samsung_page_or_vendor_runtime_verification	head_seed	head seed, not full registry
SAMSUNG	GALAXY	Galaxy A	Galaxy A56	galaxy a56|самсунг галакси a56	SMARTPHONE	2025	GLOBAL	official_samsung_page_or_vendor_runtime_verification	head_seed	head seed, not full registry
SAMSUNG	GALAXY	Galaxy A	Galaxy A55	galaxy a55|самсунг галакси a55	SMARTPHONE	2024	GLOBAL	official_samsung_page_or_vendor_runtime_verification	head_seed	head seed, not full registry
SAMSUNG	GALAXY	Galaxy A	Galaxy A36	galaxy a36|самсунг галакси a36	SMARTPHONE	2025	GLOBAL	official_samsung_page_or_vendor_runtime_verification	head_seed	head seed, not full registry
SAMSUNG	GALAXY	Galaxy A	Galaxy A35	galaxy a35|самсунг галакси a35	SMARTPHONE	2024	GLOBAL	official_samsung_page_or_vendor_runtime_verification	head_seed	head seed, not full registry
SAMSUNG	GALAXY	Galaxy A	Galaxy A26	galaxy a26|самсунг галакси a26	SMARTPHONE	2025	GLOBAL	official_samsung_page_or_vendor_runtime_verification	head_seed	head seed, not full registry
SAMSUNG	GALAXY	Galaxy A	Galaxy A25	galaxy a25|самсунг галакси a25	SMARTPHONE	2024	GLOBAL	official_samsung_page_or_vendor_runtime_verification	head_seed	head seed, not full registry
SAMSUNG	GALAXY	Galaxy A	Galaxy A16	galaxy a16|самсунг галакси a16	SMARTPHONE	2024	GLOBAL	official_samsung_page_or_vendor_runtime_verification	head_seed	head seed, not full registry
SAMSUNG	GALAXY	Galaxy XCover	Galaxy XCover7	galaxy xcover7|самсунг галакси xcover7	RUGGED_PHONE	2024	GLOBAL	official_samsung_page_or_vendor_runtime_verification	head_seed	head seed, not full registry
GOOGLE	PIXEL	Pixel 10	Pixel 10 Pro XL	pixel 10 pro xl|гугл pixel 10 pro xl	SMARTPHONE	2026	GLOBAL	official_google_store_2026_05	head_seed	head seed, not full registry
GOOGLE	PIXEL	Pixel 10	Pixel 10 Pro	pixel 10 pro|гугл pixel 10 pro	SMARTPHONE	2026	GLOBAL	official_google_store_2026_05	head_seed	head seed, not full registry
GOOGLE	PIXEL	Pixel Fold	Pixel 10 Pro Fold	pixel 10 pro fold|гугл pixel 10 pro fold	FOLDABLE_PHONE	2026	GLOBAL	official_google_store_2026_05	head_seed	head seed, not full registry
GOOGLE	PIXEL	Pixel 10	Pixel 10	pixel 10|гугл pixel 10	SMARTPHONE	2026	GLOBAL	official_google_store_2026_05	head_seed	head seed, not full registry
GOOGLE	PIXEL	Pixel A	Pixel 10a	pixel 10a|гугл pixel 10a	SMARTPHONE	2026	GLOBAL	official_google_store_2026_05	head_seed	head seed, not full registry
GOOGLE	PIXEL	Pixel 9	Pixel 9 Pro XL	pixel 9 pro xl|гугл pixel 9 pro xl	SMARTPHONE	2024	GLOBAL	official_google_store_2026_05	head_seed	head seed, not full registry
