alias	brand	model	family	priority	source_policy
iphone 17 Pro	APPLE	iPhone 17 Pro	IPHONE	90	official_apple_compare_2026_05
iphone 17 pro	APPLE	iPhone 17 Pro	IPHONE	90	official_apple_compare_2026_05
айфон 17 pro	APPLE	iPhone 17 Pro	IPHONE	90	official_apple_compare_2026_05
iphone 17 Pro Max	APPLE	iPhone 17 Pro Max	IPHONE	90	official_apple_compare_2026_05
iphone 17 pro max	APPLE	iPhone 17 Pro Max	IPHONE	90	official_apple_compare_2026_05
айфон 17 pro max	APPLE	iPhone 17 Pro Max	IPHONE	90	official_apple_compare_2026_05
iphone Air	APPLE	iPhone Air	IPHONE	90	official_apple_compare_2026_05
iphone air	APPLE	iPhone Air	IPHONE	90	official_apple_compare_2026_05
айфон air	APPLE	iPhone Air	IPHONE	90	official_apple_compare_2026_05
iphone 17	APPLE	iPhone 17	IPHONE	90	official_apple_compare_2026_05
айфон 17	APPLE	iPhone 17	IPHONE	90	official_apple_compare_2026_05
iphone 17e	APPLE	iPhone 17e	IPHONE	90	official_apple_compare_2026_05
айфон 17e	APPLE	iPhone 17e	IPHONE	90	official_apple_compare_2026_05
iphone 16 Pro	APPLE	iPhone 16 Pro	IPHONE	90	official_apple_compare_2026_05
iphone 16 pro	APPLE	iPhone 16 Pro	IPHONE	90	official_apple_compare_2026_05
айфон 16 pro	APPLE	iPhone 16 Pro	IPHONE	90	official_apple_compare_2026_05
iphone 16 Pro Max	APPLE	iPhone 16 Pro Max	IPHONE	90	official_apple_compare_2026_05
iphone 16 pro max	APPLE	iPhone 16 Pro Max	IPHONE	90	official_apple_compare_2026_05
айфон 16 pro max	APPLE	iPhone 16 Pro Max	IPHONE	90	official_apple_compare_2026_05
iphone 16 Plus	APPLE	iPhone 16 Plus	IPHONE	90	official_apple_compare_2026_05
iphone 16 plus	APPLE	iPhone 16 Plus	IPHONE	90	official_apple_compare_2026_05
айфон 16 plus	APPLE	iPhone 16 Plus	IPHONE	90	official_apple_compare_2026_05
iphone 16	APPLE	iPhone 16	IPHONE	90	official_apple_compare_2026_05
айфон 16	APPLE	iPhone 16	IPHONE	90	official_apple_compare_2026_05
iphone 16e	APPLE	iPhone 16e	IPHONE	90	official_apple_compare_2026_05
айфон 16e	APPLE	iPhone 16e	IPHONE	90	official_apple_compare_2026_05
iphone 15 Pro	APPLE	iPhone 15 Pro	IPHONE	90	official_apple_compare_2026_05
iphone 15 pro	APPLE	iPhone 15 Pro	IPHONE	90	official_apple_compare_2026_05
айфон 15 pro	APPLE	iPhone 15 Pro	IPHONE	90	official_apple_compare_2026_05
iphone 15 Pro Max	APPLE	iPhone 15 Pro Max	IPHONE	90	official_apple_compare_2026_05
iphone 15 pro max	APPLE	iPhone 15 Pro Max	IPHONE	90	official_apple_compare_2026_05
айфон 15 pro max	APPLE	iPhone 15 Pro Max	IPHONE	90	official_apple_compare_2026_05
iphone 15 Plus	APPLE	iPhone 15 Plus	IPHONE	90	official_apple_compare_2026_05
iphone 15 plus	APPLE	iPhone 15 Plus	IPHONE	90	official_apple_compare_2026_05
айфон 15 plus	APPLE	iPhone 15 Plus	IPHONE	90	official_apple_compare_2026_05
iphone 15	APPLE	iPhone 15	IPHONE	90	official_apple_compare_2026_05
айфон 15	APPLE	iPhone 15	IPHONE	90	official_apple_compare_2026_05
iphone 14 Pro	APPLE	iPhone 14 Pro	IPHONE	90	official_apple_compare_2026_05
iphone 14 pro	APPLE	iPhone 14 Pro	IPHONE	90	official_apple_compare_2026_05
айфон 14 pro	APPLE	iPhone 14 Pro	IPHONE	90	official_apple_compare_2026_05
iphone 14 Pro Max	APPLE	iPhone 14 Pro Max	IPHONE	90	official_apple_compare_2026_05
iphone 14 pro max	APPLE	iPhone 14 Pro Max	IPHONE	90	official_apple_compare_2026_05
айфон 14 pro max	APPLE	iPhone 14 Pro Max	IPHONE	90	official_apple_compare_2026_05
iphone 14 Plus	APPLE	iPhone 14 Plus	IPHONE	90	official_apple_compare_2026_05
iphone 14 plus	APPLE	iPhone 14 Plus	IPHONE	90	official_apple_compare_2026_05
айфон 14 plus	APPLE	iPhone 14 Plus	IPHONE	90	official_apple_compare_2026_05
iphone 14	APPLE	iPhone 14	IPHONE	90	official_apple_compare_2026_05
айфон 14	APPLE	iPhone 14	IPHONE	90	official_apple_compare_2026_05
iphone 13 Pro	APPLE	iPhone 13 Pro	IPHONE	90	official_apple_compare_2026_05
iphone 13 pro	APPLE	iPhone 13 Pro	IPHONE	90	official_apple_compare_2026_05
айфон 13 pro	APPLE	iPhone 13 Pro	IPHONE	90	official_apple_compare_2026_05
iphone 13 Pro Max	APPLE	iPhone 13 Pro Max	IPHONE	90	official_apple_compare_2026_05
iphone 13 pro max	APPLE	iPhone 13 Pro Max	IPHONE	90	official_apple_compare_2026_05
айфон 13 pro max	APPLE	iPhone 13 Pro Max	IPHONE	90	official_apple_compare_2026_05
iphone 13 mini	APPLE	iPhone 13 mini	IPHONE	90	official_apple_compare_2026_05
айфон 13 mini	APPLE	iPhone 13 mini	IPHONE	90	official_apple_compare_2026_05
iphone 13	APPLE	iPhone 13	IPHONE	90	official_apple_compare_2026_05
айфон 13	APPLE	iPhone 13	IPHONE	90	official_apple_compare_2026_05
