attribute_code	value_code	label_ru	aliases_ru	priority	head	status	notes
phone_type	SMARTPHONE	Смартфон	смартфон|smartphone|умный телефон|телефон android|айфон	100	true	active	
phone_type	FEATURE_PHONE	Кнопочный телефон	кнопочный телефон|звонилка|feature phone|button phone	99	true	active	
phone_type	FOLDABLE_PHONE	Складной телефон	складной телефон|раскладной смартфон|foldable|fold|flip	98	true	active	
phone_type	RUGGED_PHONE	Защищённый телефон	защищенный телефон|rugged phone|ударопрочный телефон|ip68 телефон	97	true	active	
phone_type	RETRO_PHONE	Ретро / коллекционный телефон	ретро телефон|винтажный телефон|коллекционный телефон|nokia старая	96	true	active	
phone_type	SATELLITE_PHONE	Спутниковый телефон	спутниковый телефон|satellite phone|iridium|thuraya	95	true	active	
phone_form_factor	SLATE	Моноблок / slate		90	true	active	
phone_form_factor	FOLDABLE_BOOK	Книжка fold		89	true	active	
phone_form_factor	FOLDABLE_FLIP	Раскладушка flip		88	true	active	
phone_form_factor	RUGGED_BAR	Защищённый моноблок		87	true	active	
phone_form_factor	CANDYBAR	Кнопочный моноблок		86	true	active	
phone_form_factor	CLAMSHELL	Классическая раскладушка		85	true	active	
phone_form_factor	SLIDER	Слайдер		84	true	active	
phone_form_factor	QWERTY	QWERTY-моноблок		83	true	active	
phone_form_factor	SATELLITE_HANDSET	Спутниковая трубка		82	true	active	
brand	APPLE	Apple	apple	100	true	active	
brand	SAMSUNG	Samsung	samsung	99	true	active	
brand	GOOGLE	Google	google	98	true	active	
brand	XIAOMI	Xiaomi	xiaomi	97	true	active	
brand	REDMI	Redmi	redmi	96	true	active	
brand	POCO	POCO	poco	95	true	active	
brand	HUAWEI	Huawei	huawei	94	true	active	
brand	HONOR	Honor	honor	93	true	active	
brand	ONEPLUS	OnePlus	oneplus	92	true	active	
brand	OPPO	OPPO	oppo	91	true	active	
brand	VIVO	vivo	vivo	90	true	active	
brand	REALME	realme	realme	89	true	active	
brand	NOTHING	Nothing	nothing	88	true	active	
brand	MOTOROLA	Motorola	motorola	87	true	active	
brand	NOKIA	Nokia	nokia	86	true	active	
brand	SONY	Sony	sony	85	true	active	
brand	ASUS	ASUS	asus	84	true	active	
brand	TECNO	Tecno	tecno	83	true	active	
brand	INFINIX	Infinix	infinix	82	true	active	
brand	ZTE	ZTE	zte	81	true	active	
brand	TCL	TCL	tcl	80	true	active	
brand	MEIZU	Meizu	meizu	79	true	active	
brand	BLACKVIEW	Blackview	blackview	78	true	active	
brand	OUKITEL	Oukitel	oukitel	77	true	active	
brand	CAT	CAT	cat	76	true	active	
brand	DOOGEE	DOOGEE	doogee	75	true	active	
brand	FAIRPHONE	Fairphone	fairphone	74	true	active	
brand	ALCATEL	Alcatel	alcatel	73	true	active	
brand	HTC	HTC	htc	72	true	active	
brand	LG	LG	lg	71	true	active	
condition	NEW	Новый	новый|sealed|запечатан	100	true	active	
condition	OPEN_BOX	Open box	open box|открытая коробка	100	true	active	
condition	LIKE_NEW	Как новый	like new|идеальный	100	true	active	
condition	VERY_GOOD	Очень хорошее	very good	100	true	active	
condition	GOOD	Хорошее	good|б/у	100	true	active	
condition	ACCEPTABLE	Удовлетворительное	acceptable	100	true	active	
