alias	language	target_attribute	target_value	route_hint	priority	notes
удлинитель электрический	ru	power_cable_type	SURGE_PROTECTOR	TECH.POWER_CHARGING_CABLES	1.0	delta: route ordinary extension/power strip to power branch
электрический удлинитель	ru	power_cable_type	SURGE_PROTECTOR	TECH.POWER_CHARGING_CABLES	1.0	delta
удлинитель 3 метра	ru	power_cable_type	SURGE_PROTECTOR	TECH.POWER_CHARGING_CABLES	0.95	delta
удлинитель 5 метров	ru	power_cable_type	SURGE_PROTECTOR	TECH.POWER_CHARGING_CABLES	0.95	delta
пилот удлинитель	ru	power_cable_type	SURGE_PROTECTOR	TECH.POWER_CHARGING_CABLES	1.0	delta
фильтр пилот	ru	power_cable_type	SURGE_PROTECTOR	TECH.POWER_CHARGING_CABLES	1.0	delta
сетевой фильтр пилот	ru	power_cable_type	SURGE_PROTECTOR	TECH.POWER_CHARGING_CABLES	1.0	delta
удлинитель с usb	ru	power_cable_type	SURGE_PROTECTOR	TECH.POWER_CHARGING_CABLES	0.95	delta
сетевой фильтр с usb	ru	power_cable_type	SURGE_PROTECTOR	TECH.POWER_CHARGING_CABLES	1.0	delta
power strip	ru	power_cable_type	SURGE_PROTECTOR	TECH.POWER_CHARGING_CABLES	1.0	delta
extension cord	ru	power_cable_type	SURGE_PROTECTOR	TECH.POWER_CHARGING_CABLES	0.95	delta
многорозеточный удлинитель	ru	power_cable_type	SURGE_PROTECTOR	TECH.POWER_CHARGING_CABLES	0.9	delta
кабель канал	ru	power_cable_type	CABLE_MANAGEMENT	TECH.POWER_CHARGING_CABLES	0.95	delta
кабель-канал	ru	power_cable_type	CABLE_MANAGEMENT	TECH.POWER_CHARGING_CABLES	0.95	delta
кабельный канал	ru	power_cable_type	CABLE_MANAGEMENT	TECH.POWER_CHARGING_CABLES	0.95	delta
лоток для кабелей	ru	power_cable_type	CABLE_MANAGEMENT	TECH.POWER_CHARGING_CABLES	0.95	delta
кабельный лоток	ru	power_cable_type	CABLE_MANAGEMENT	TECH.POWER_CHARGING_CABLES	0.95	delta
гофра для кабеля	ru	power_cable_type	CABLE_MANAGEMENT	TECH.POWER_CHARGING_CABLES	0.9	delta
оплетка для проводов	ru	power_cable_type	CABLE_MANAGEMENT	TECH.POWER_CHARGING_CABLES	0.9	delta
спиральная оплетка	ru	power_cable_type	CABLE_MANAGEMENT	TECH.POWER_CHARGING_CABLES	0.9	delta
кабельные клипсы	ru	power_cable_type	CABLE_MANAGEMENT	TECH.POWER_CHARGING_CABLES	1.0	delta
клипсы для проводов	ru	power_cable_type	CABLE_MANAGEMENT	TECH.POWER_CHARGING_CABLES	1.0	delta
держатель кабеля	ru	power_cable_type	CABLE_MANAGEMENT	TECH.POWER_CHARGING_CABLES	0.95	delta
держатель проводов	ru	power_cable_type	CABLE_MANAGEMENT	TECH.POWER_CHARGING_CABLES	0.95	delta
короб для проводов	ru	power_cable_type	CABLE_MANAGEMENT	TECH.POWER_CHARGING_CABLES	0.95	delta
короб для кабелей	ru	power_cable_type	CABLE_MANAGEMENT	TECH.POWER_CHARGING_CABLES	0.95	delta
органайзер зарядок	ru	power_cable_type	CABLE_MANAGEMENT	TECH.POWER_CHARGING_CABLES	0.9	delta
cable sleeve	ru	power_cable_type	CABLE_MANAGEMENT	TECH.POWER_CHARGING_CABLES	0.85	delta
cable clips	ru	power_cable_type	CABLE_MANAGEMENT	TECH.POWER_CHARGING_CABLES	0.85	delta
cable tray	ru	power_cable_type	CABLE_MANAGEMENT	TECH.POWER_CHARGING_CABLES	0.85	delta
сетевой адаптер питания	ru	power_cable_type	WALL_CHARGER	TECH.POWER_CHARGING_CABLES	1.0	delta: disambiguated power adapter alias
адаптер питания	ru	power_cable_type	WALL_CHARGER	TECH.POWER_CHARGING_CABLES	1.0	delta
блок питания для ноутбука	ru	power_cable_type	WALL_CHARGER	TECH.POWER_CHARGING_CABLES	1.0	delta
зарядка для ноутбука	ru	power_cable_type	WALL_CHARGER	TECH.POWER_CHARGING_CABLES	1.0	delta
зарядка macbook	ru	power_cable_type	WALL_CHARGER	TECH.POWER_CHARGING_CABLES	0.95	delta
