query	expected_categoryCode	expected_type	expected_attrs_json	notes
сетевой фильтр pilot 5 розеток	TECH.POWER_CHARGING_CABLES	SURGE_PROTECTOR	{}	delta positive surge
удлинитель электрический 3 метра	TECH.POWER_CHARGING_CABLES	SURGE_PROTECTOR	{}	delta positive surge
удлинитель с usb c розетками	TECH.POWER_CHARGING_CABLES	SURGE_PROTECTOR	{}	delta positive surge
power strip 6 outlets eu	TECH.POWER_CHARGING_CABLES	SURGE_PROTECTOR	{}	delta positive surge
apc surge protector 8 outlets	TECH.POWER_CHARGING_CABLES	SURGE_PROTECTOR	{}	delta positive surge
сетевой фильтр xiaomi 3 розетки	TECH.POWER_CHARGING_CABLES	SURGE_PROTECTOR	{}	delta positive surge
кабель канал белый	TECH.POWER_CHARGING_CABLES	CABLE_MANAGEMENT	{}	delta positive cable management
кабельные клипсы самоклеящиеся	TECH.POWER_CHARGING_CABLES	CABLE_MANAGEMENT	{}	delta positive cable management
лоток для кабелей под стол	TECH.POWER_CHARGING_CABLES	CABLE_MANAGEMENT	{}	delta positive cable management
короб для проводов orico	TECH.POWER_CHARGING_CABLES	CABLE_MANAGEMENT	{}	delta positive cable management
органайзер зарядок на стол	TECH.POWER_CHARGING_CABLES	CABLE_MANAGEMENT	{}	delta positive cable management
cable sleeve organizer	TECH.POWER_CHARGING_CABLES	CABLE_MANAGEMENT	{}	delta positive cable management
сетевой адаптер usb wifi	TECH.NETWORKING	NETWORK_ADAPTER	{}	delta negative route
сетевой адаптер ethernet usb c	TECH.NETWORKING	NETWORK_ADAPTER	{}	delta negative route
lan кабель 10 метров	TECH.NETWORKING	NETWORK_ACCESSORY	{}	delta negative route
сетевой кабель rj45 cat6	TECH.NETWORKING	NETWORK_ACCESSORY	{}	delta negative route
блок питания atx 750w	TECH.PC_COMPONENTS	POWER_SUPPLY	{}	delta negative route
чехол зарядный iphone	TECH.PHONE_ACCESSORIES	CASE	{}	delta negative route
адаптер питания ноутбука lenovo	TECH.POWER_CHARGING_CABLES	WALL_CHARGER	{}	delta positive laptop power
зарядка macbook 67w magsafe	TECH.POWER_CHARGING_CABLES	WALL_CHARGER	{}	delta positive laptop power
