alias	language	target_attribute	target_value	route_hint	priority	notes
wall charger	ru	power_cable_type	WALL_CHARGER	TECH.POWER_CHARGING_CABLES	0.6	
wireless charger	ru	power_cable_type	WIRELESS_CHARGER	TECH.POWER_CHARGING_CABLES	0.6	
car charger	ru	power_cable_type	CAR_CHARGER	TECH.POWER_CHARGING_CABLES	0.6	
usb cable	ru	power_cable_type	USB_CABLE	TECH.POWER_CHARGING_CABLES	0.6	
hdmi cable	ru	power_cable_type	HDMI_CABLE	TECH.POWER_CHARGING_CABLES	0.6	
audio video cable	ru	power_cable_type	AUDIO_VIDEO_CABLE	TECH.POWER_CHARGING_CABLES	0.6	
adapter	ru	power_cable_type	ADAPTER	TECH.POWER_CHARGING_CABLES	0.6	
power bank	ru	power_cable_type	POWER_BANK	TECH.POWER_CHARGING_CABLES	0.6	
portable power station	ru	power_cable_type	PORTABLE_POWER_STATION	TECH.POWER_CHARGING_CABLES	0.6	
ups	ru	power_cable_type	UPS	TECH.POWER_CHARGING_CABLES	0.6	
battery	ru	power_cable_type	BATTERY	TECH.POWER_CHARGING_CABLES	0.6	
surge protector	ru	power_cable_type	SURGE_PROTECTOR	TECH.POWER_CHARGING_CABLES	0.6	
cable management	ru	power_cable_type	CABLE_MANAGEMENT	TECH.POWER_CHARGING_CABLES	0.6	
зарядка	ru	power_cable_type	WALL_CHARGER	TECH.POWER_CHARGING_CABLES	1.0	
блок питания	ru	power_cable_type	WALL_CHARGER	TECH.POWER_CHARGING_CABLES	1.0	
сетевой адаптер	ru	power_cable_type	WALL_CHARGER	TECH.POWER_CHARGING_CABLES	1.0	
зарядное устройство	ru	power_cable_type	WALL_CHARGER	TECH.POWER_CHARGING_CABLES	1.0	
адаптер питания	ru	power_cable_type	WALL_CHARGER	TECH.POWER_CHARGING_CABLES	1.0	
usb c зарядка	ru	power_cable_type	WALL_CHARGER	TECH.POWER_CHARGING_CABLES	1.0	
gan зарядка	ru	power_cable_type	WALL_CHARGER	TECH.POWER_CHARGING_CABLES	1.0	
быстрая зарядка	ru	power_cable_type	WALL_CHARGER	TECH.POWER_CHARGING_CABLES	1.0	
зарядка type c	ru	power_cable_type	WALL_CHARGER	TECH.POWER_CHARGING_CABLES	1.0	
