attribute_code	label_ru	role	data_type	required_policy	usage_scope	unit	value_source	facet_eligible	search_boost	notes
categoryCode	Код категории	T0_CORE	enum	always	routing		fixed:TECH.POWER_CHARGING_CABLES	false	1.0	
power_cable_type	Тип питания/кабеля	T0_CORE	enum	always	classification		values.power_cable_type	true	2.0	Главный type-атрибут ветки
brand	Бренд	T0_CORE	enum_or_text	required_if_known	identity		TECH.ELECTRONICS_COMMON.brand + runtime_candidates	true	1.5	
model	Модель	T2_OPTIONAL_ENRICHMENT	text	required_if_known	identity		power_model_head_seed + runtime_candidates	true	1.2	Не full registry
model_name_text	Текст модели	T0_CORE	text	required_if_model_unknown	identity		free_text	false	1.0	
condition	Состояние	T0_CORE	enum	always	commerce		values.condition	true	1.2	
color	Цвет	T2_OPTIONAL_ENRICHMENT	enum	optional	display		values.color	true	0.2	
release_year	Год выпуска	T2_OPTIONAL_ENRICHMENT	integer	optional	identity/specs	year	range	true	0.3	
region	Регион/версия	T2_OPTIONAL_ENRICHMENT	enum	optional	commerce/compatibility		values.region	true	0.4	
warranty	Гарантия	T2_OPTIONAL_ENRICHMENT	enum	optional	commerce		values.warranty	true	0.4	
connector_type	Основной разъём	T0_CORE	enum	required_for_cables_adapters_chargers	specs		values.connector_type	true	1.5	
connector_from	Разъём 1	T1_TYPE_SPECIFIC	enum	required_for_cable_adapter	specs		values.connector_type	true	1.1	
connector_to	Разъём 2	T1_TYPE_SPECIFIC	enum	required_for_cable_adapter	specs		values.connector_type	true	1.1	
port_count	Количество портов	T1_TYPE_SPECIFIC	integer	required_for_chargers_hubs_adapters	specs	count	range:1..12	true	0.8	
wattage_w	Мощность	T0_CORE	number	required_for_power_devices	specs	W	range:1..5000	true	1.4	
power_delivery_w	Мощность USB-PD	T1_TYPE_SPECIFIC	number	optional	specs	W	range:0..240	true	1.0	
fast_charge_protocol	Быстрая зарядка	T1_TYPE_SPECIFIC	enum	optional	specs		values.fast_charge_protocol	true	1.0	
usb_pd_support	USB Power Delivery	T1_TYPE_SPECIFIC	boolean	optional	specs		boolean	true	1.0	
gan_charger	GaN зарядка	T1_TYPE_SPECIFIC	boolean	optional	specs		boolean	true	0.7	
qi_standard	Беспроводной стандарт	T1_TYPE_SPECIFIC	enum	required_for_wireless_charger	specs		values.qi_standard	true	1.1	
magsafe_support	MagSafe/Qi2 магнитная совместимость	T1_TYPE_SPECIFIC	enum	optional	compatibility		values.magsafe_support	true	0.9	
cable_length_m	Длина кабеля	T1_TYPE_SPECIFIC	number	required_for_cables	specs	m	range:0.1..100	true	1.0	
cable_standard	Стандарт кабеля	T1_TYPE_SPECIFIC	enum	optional	specs		values.cable_standard	true	0.9	
data_transfer_speed_gbps	Скорость передачи данных	T2_OPTIONAL_ENRICHMENT	number	optional	specs	Gbps	range:0..80	true	0.6	
hdmi_version	Версия HDMI	T1_TYPE_SPECIFIC	enum	required_for_hdmi_cable	specs		values.hdmi_version	true	1.0	
video_standard	Видео стандарт	T1_TYPE_SPECIFIC	enum	required_for_video_cable	specs		values.video_standard	true	0.9	
e_marker_chip	E-marker chip	T2_OPTIONAL_ENRICHMENT	boolean	optional	specs		boolean	true	0.3	
braided_cable	Оплётка	T2_OPTIONAL_ENRICHMENT	boolean	optional	display/specs		boolean	true	0.3	
right_angle_connector	Угловой разъём	T2_OPTIONAL_ENRICHMENT	boolean	optional	display/specs		boolean	true	0.3	
capacity_mah	Ёмкость	T0_CORE	number	required_for_power_bank_battery	specs	mAh	range:100..200000	true	1.3	
capacity_wh	Ёмкость Wh	T1_TYPE_SPECIFIC	number	required_for_power_station_ups	specs	Wh	range:1..5000	true	1.1	
battery_size	Типоразмер батареи	T1_TYPE_SPECIFIC	enum	required_for_battery	specs		values.battery_size	true	1.0	
battery_chemistry	Химия батареи	T1_TYPE_SPECIFIC	enum	optional	specs		values.battery_chemistry	true	0.7	
ac_outlet_count	Количество розеток	T1_TYPE_SPECIFIC	integer	required_for_ups_surge_power_station	specs	count	range:0..16	true	0.8	
ups_topology	Тип UPS	T1_TYPE_SPECIFIC	enum	required_for_ups	specs		values.ups_topology	true	1.0	
surge_joule_rating	Защита от скачков	T1_TYPE_SPECIFIC	number	required_for_surge_protector	specs	J	range:0..10000	true	0.8	
plug_type	Тип вилки	T1_TYPE_SPECIFIC	enum	optional	compatibility		values.plug_type	true	0.5	
socket_type	Тип розетки	T1_TYPE_SPECIFIC	enum	optional	compatibility		values.socket_type	true	0.5	
car_voltage_v	Автомобильное напряжение	T2_OPTIONAL_ENRICHMENT	enum	required_for_car_charger	specs	V	values.car_voltage	true	0.5	
mfi_certified	MFi сертификация	T2_OPTIONAL_ENRICHMENT	boolean	optional	compatibility/safety		boolean	true	0.5	
oem_original	Оригинальный/OEM	T2_OPTIONAL_ENRICHMENT	enum	optional	commerce		values.oem_original	true	0.5	
safety_certification	Сертификация безопасности	T2_OPTIONAL_ENRICHMENT	enum	optional	safety		values.safety_certification	true	0.4	
compatibility_target	Совместимость/цель	T1_TYPE_SPECIFIC	text	optional	compatibility		free_text + TECH.COMPATIBILITY_COMMON	true	0.8	
included_accessories	Комплект	T2_OPTIONAL_ENRICHMENT	multi_enum	optional	commerce		values.included_accessories	false	0.3	
seller_bundle	Набор продавца	T2_OPTIONAL_ENRICHMENT	enum	optional	commerce		values.seller_bundle	true	0.2	
original_box	Оригинальная коробка	T2_OPTIONAL_ENRICHMENT	enum	optional	commerce		values.original_box	true	0.2	
replacement_part_context	Контекст запчасти	T2_OPTIONAL_ENRICHMENT	enum	optional	routing/safety		values.replacement_part_context	false	0.2	
ingestion_confidence	Уверенность ingestion	T3_SYSTEM_HIDDEN	number	system	system		0..1	false	0.0	
routing_confidence	Уверенность маршрутизации	T3_SYSTEM_HIDDEN	number	system	system		0..1	false	0.0	
dedup_key	Ключ дедупликации	T3_SYSTEM_HIDDEN	string	system	dedup		computed	false	0.0	
source_evidence	Доказательства источника	T3_SYSTEM_HIDDEN	json	system	evidence		computed	false	0.0	
