query	expected_categoryCode	expected_type	expected_attrs_json	notes
зарядка 20w usb c	TECH.POWER_CHARGING_CABLES	WALL_CHARGER	{}	positive
anker 65w gan charger	TECH.POWER_CHARGING_CABLES	WALL_CHARGER	{}	positive
блок питания samsung 25w	TECH.POWER_CHARGING_CABLES	WALL_CHARGER	{}	positive
сетевой адаптер type c 30w	TECH.POWER_CHARGING_CABLES	WALL_CHARGER	{}	positive
зарядное устройство xiaomi 67w	TECH.POWER_CHARGING_CABLES	WALL_CHARGER	{}	positive
ugreen nexode 65w	TECH.POWER_CHARGING_CABLES	WALL_CHARGER	{}	positive
беспроводная зарядка magsafe	TECH.POWER_CHARGING_CABLES	WIRELESS_CHARGER	{}	positive
qi2 зарядка iphone	TECH.POWER_CHARGING_CABLES	WIRELESS_CHARGER	{}	positive
belkin 3 in 1 magsafe	TECH.POWER_CHARGING_CABLES	WIRELESS_CHARGER	{}	positive
samsung wireless charger duo	TECH.POWER_CHARGING_CABLES	WIRELESS_CHARGER	{}	positive
anker maggo qi2	TECH.POWER_CHARGING_CABLES	WIRELESS_CHARGER	{}	positive
автозарядка usb c 65w	TECH.POWER_CHARGING_CABLES	CAR_CHARGER	{}	positive
зарядка в машину type c	TECH.POWER_CHARGING_CABLES	CAR_CHARGER	{}	positive
ugreen car charger 69w	TECH.POWER_CHARGING_CABLES	CAR_CHARGER	{}	positive
baseus автозарядка 65w	TECH.POWER_CHARGING_CABLES	CAR_CHARGER	{}	positive
кабель usb c 100w	TECH.POWER_CHARGING_CABLES	USB_CABLE	{}	positive
кабель lightning iphone	TECH.POWER_CHARGING_CABLES	USB_CABLE	{}	positive
anker usb c cable 100w	TECH.POWER_CHARGING_CABLES	USB_CABLE	{}	positive
ugreen type c 2m	TECH.POWER_CHARGING_CABLES	USB_CABLE	{}	positive
кабель type c e marker	TECH.POWER_CHARGING_CABLES	USB_CABLE	{}	positive
usb c to usb c 240w	TECH.POWER_CHARGING_CABLES	USB_CABLE	{}	positive
hdmi 2.1 кабель 8k	TECH.POWER_CHARGING_CABLES	HDMI_CABLE	{}	positive
кабель hdmi 4k 120	TECH.POWER_CHARGING_CABLES	HDMI_CABLE	{}	positive
ugreen hdmi 2.1 2m	TECH.POWER_CHARGING_CABLES	HDMI_CABLE	{}	positive
belkin hdmi 2.1	TECH.POWER_CHARGING_CABLES	HDMI_CABLE	{}	positive
aux кабель 3.5	TECH.POWER_CHARGING_CABLES	AUDIO_VIDEO_CABLE	{}	positive
оптический кабель toslink	TECH.POWER_CHARGING_CABLES	AUDIO_VIDEO_CABLE	{}	positive
displayport 1.4 cable	TECH.POWER_CHARGING_CABLES	AUDIO_VIDEO_CABLE	{}	positive
rca кабель тюльпаны	TECH.POWER_CHARGING_CABLES	AUDIO_VIDEO_CABLE	{}	positive
кабель dp 1.4	TECH.POWER_CHARGING_CABLES	AUDIO_VIDEO_CABLE	{}	positive
usb c hdmi adapter	TECH.POWER_CHARGING_CABLES	ADAPTER	{}	positive
переходник type c hdmi	TECH.POWER_CHARGING_CABLES	ADAPTER	{}	positive
адаптер lightning 3.5	TECH.POWER_CHARGING_CABLES	ADAPTER	{}	positive
usb c to usb a adapter	TECH.POWER_CHARGING_CABLES	ADAPTER	{}	positive
apple digital av adapter	TECH.POWER_CHARGING_CABLES	ADAPTER	{}	positive
повербанк 10000 mah	TECH.POWER_CHARGING_CABLES	POWER_BANK	{}	positive
anker 737 power bank	TECH.POWER_CHARGING_CABLES	POWER_BANK	{}	positive
baseus blade 100w	TECH.POWER_CHARGING_CABLES	POWER_BANK	{}	positive
xiaomi power bank 20000	TECH.POWER_CHARGING_CABLES	POWER_BANK	{}	positive
внешний аккумулятор 30000	TECH.POWER_CHARGING_CABLES	POWER_BANK	{}	positive
ecoflow river 2	TECH.POWER_CHARGING_CABLES	PORTABLE_POWER_STATION	{}	positive
портативная электростанция 500w	TECH.POWER_CHARGING_CABLES	PORTABLE_POWER_STATION	{}	positive
bluetti eb3a	TECH.POWER_CHARGING_CABLES	PORTABLE_POWER_STATION	{}	positive
зарядная станция для дома	TECH.POWER_CHARGING_CABLES	PORTABLE_POWER_STATION	{}	positive
ecoflow delta 2	TECH.POWER_CHARGING_CABLES	PORTABLE_POWER_STATION	{}	positive
ибп 650va	TECH.POWER_CHARGING_CABLES	UPS	{}	positive
apc back ups 850	TECH.POWER_CHARGING_CABLES	UPS	{}	positive
бесперебойник для компьютера	TECH.POWER_CHARGING_CABLES	UPS	{}	positive
cyberpower ups 1500va	TECH.POWER_CHARGING_CABLES	UPS	{}	positive
line interactive ups	TECH.POWER_CHARGING_CABLES	UPS	{}	positive
батарейки aa duracell	TECH.POWER_CHARGING_CABLES	BATTERY	{}	positive
аккумуляторы aaa nimh	TECH.POWER_CHARGING_CABLES	BATTERY	{}	positive
cr2032 батарейка	TECH.POWER_CHARGING_CABLES	BATTERY	{}	positive
18650 аккумулятор	TECH.POWER_CHARGING_CABLES	BATTERY	{}	positive
panasonic eneloop aa	TECH.POWER_CHARGING_CABLES	BATTERY	{}	positive
сетевой фильтр 6 розеток	TECH.POWER_CHARGING_CABLES	SURGE_PROTECTOR	{}	positive
удлинитель с защитой от скачков	TECH.POWER_CHARGING_CABLES	SURGE_PROTECTOR	{}	positive
apc surge protector	TECH.POWER_CHARGING_CABLES	SURGE_PROTECTOR	{}	positive
фильтр пилот 3м	TECH.POWER_CHARGING_CABLES	SURGE_PROTECTOR	{}	positive
органайзер проводов	TECH.POWER_CHARGING_CABLES	CABLE_MANAGEMENT	{}	positive
стяжки для кабелей	TECH.POWER_CHARGING_CABLES	CABLE_MANAGEMENT	{}	positive
держатель кабеля на стол	TECH.POWER_CHARGING_CABLES	CABLE_MANAGEMENT	{}	positive
короб для проводов	TECH.POWER_CHARGING_CABLES	CABLE_MANAGEMENT	{}	positive
липучки для кабелей	TECH.POWER_CHARGING_CABLES	CABLE_MANAGEMENT	{}	positive
чехол iphone 13 magsafe	TECH.PHONE_ACCESSORIES	CASE	{}	negative route guard
