power_cable_type	facet	relevance
WALL_CHARGER	brand	PRIMARY
WALL_CHARGER	condition	PRIMARY
WALL_CHARGER	connector_type	PRIMARY
WALL_CHARGER	wattage_w	PRIMARY
WALL_CHARGER	capacity_mah	OPTIONAL
WALL_CHARGER	cable_length_m	OPTIONAL
WALL_CHARGER	fast_charge_protocol	PRIMARY
WALL_CHARGER	usb_pd_support	PRIMARY
WALL_CHARGER	qi_standard	OPTIONAL
WALL_CHARGER	hdmi_version	OPTIONAL
WALL_CHARGER	battery_size	OPTIONAL
WALL_CHARGER	ups_topology	OPTIONAL
WALL_CHARGER	surge_joule_rating	OPTIONAL
WALL_CHARGER	plug_type	OPTIONAL
WALL_CHARGER	warranty	OPTIONAL
WIRELESS_CHARGER	brand	PRIMARY
WIRELESS_CHARGER	condition	PRIMARY
WIRELESS_CHARGER	connector_type	OPTIONAL
WIRELESS_CHARGER	wattage_w	PRIMARY
WIRELESS_CHARGER	capacity_mah	OPTIONAL
WIRELESS_CHARGER	cable_length_m	OPTIONAL
WIRELESS_CHARGER	fast_charge_protocol	OPTIONAL
WIRELESS_CHARGER	usb_pd_support	OPTIONAL
WIRELESS_CHARGER	qi_standard	PRIMARY
WIRELESS_CHARGER	hdmi_version	OPTIONAL
WIRELESS_CHARGER	battery_size	OPTIONAL
WIRELESS_CHARGER	ups_topology	OPTIONAL
WIRELESS_CHARGER	surge_joule_rating	OPTIONAL
WIRELESS_CHARGER	plug_type	OPTIONAL
WIRELESS_CHARGER	warranty	OPTIONAL
CAR_CHARGER	brand	PRIMARY
CAR_CHARGER	condition	PRIMARY
CAR_CHARGER	connector_type	PRIMARY
CAR_CHARGER	wattage_w	PRIMARY
CAR_CHARGER	capacity_mah	OPTIONAL
CAR_CHARGER	cable_length_m	OPTIONAL
CAR_CHARGER	fast_charge_protocol	PRIMARY
CAR_CHARGER	usb_pd_support	PRIMARY
CAR_CHARGER	qi_standard	OPTIONAL
CAR_CHARGER	hdmi_version	OPTIONAL
CAR_CHARGER	battery_size	OPTIONAL
CAR_CHARGER	ups_topology	OPTIONAL
CAR_CHARGER	surge_joule_rating	OPTIONAL
CAR_CHARGER	plug_type	OPTIONAL
CAR_CHARGER	warranty	OPTIONAL
USB_CABLE	brand	PRIMARY
USB_CABLE	condition	PRIMARY
USB_CABLE	connector_type	PRIMARY
USB_CABLE	wattage_w	OPTIONAL
USB_CABLE	capacity_mah	OPTIONAL
USB_CABLE	cable_length_m	PRIMARY
USB_CABLE	fast_charge_protocol	OPTIONAL
USB_CABLE	usb_pd_support	OPTIONAL
USB_CABLE	qi_standard	OPTIONAL
USB_CABLE	hdmi_version	OPTIONAL
USB_CABLE	battery_size	OPTIONAL
USB_CABLE	ups_topology	OPTIONAL
USB_CABLE	surge_joule_rating	OPTIONAL
USB_CABLE	plug_type	OPTIONAL
USB_CABLE	warranty	OPTIONAL
HDMI_CABLE	brand	PRIMARY
HDMI_CABLE	condition	PRIMARY
HDMI_CABLE	connector_type	PRIMARY
HDMI_CABLE	wattage_w	OPTIONAL
HDMI_CABLE	capacity_mah	OPTIONAL
HDMI_CABLE	cable_length_m	PRIMARY
HDMI_CABLE	fast_charge_protocol	OPTIONAL
HDMI_CABLE	usb_pd_support	OPTIONAL
HDMI_CABLE	qi_standard	OPTIONAL
HDMI_CABLE	hdmi_version	PRIMARY
HDMI_CABLE	battery_size	OPTIONAL
HDMI_CABLE	ups_topology	OPTIONAL
HDMI_CABLE	surge_joule_rating	OPTIONAL
HDMI_CABLE	plug_type	OPTIONAL
HDMI_CABLE	warranty	OPTIONAL
AUDIO_VIDEO_CABLE	brand	PRIMARY
AUDIO_VIDEO_CABLE	condition	PRIMARY
AUDIO_VIDEO_CABLE	connector_type	PRIMARY
AUDIO_VIDEO_CABLE	wattage_w	OPTIONAL
AUDIO_VIDEO_CABLE	capacity_mah	OPTIONAL
AUDIO_VIDEO_CABLE	cable_length_m	PRIMARY
AUDIO_VIDEO_CABLE	fast_charge_protocol	OPTIONAL
AUDIO_VIDEO_CABLE	usb_pd_support	OPTIONAL
AUDIO_VIDEO_CABLE	qi_standard	OPTIONAL
AUDIO_VIDEO_CABLE	hdmi_version	OPTIONAL
AUDIO_VIDEO_CABLE	battery_size	OPTIONAL
AUDIO_VIDEO_CABLE	ups_topology	OPTIONAL
AUDIO_VIDEO_CABLE	surge_joule_rating	OPTIONAL
AUDIO_VIDEO_CABLE	plug_type	OPTIONAL
AUDIO_VIDEO_CABLE	warranty	OPTIONAL
ADAPTER	brand	PRIMARY
ADAPTER	condition	PRIMARY
ADAPTER	connector_type	OPTIONAL
ADAPTER	wattage_w	OPTIONAL
ADAPTER	capacity_mah	OPTIONAL
ADAPTER	cable_length_m	OPTIONAL
ADAPTER	fast_charge_protocol	OPTIONAL
ADAPTER	usb_pd_support	OPTIONAL
ADAPTER	qi_standard	OPTIONAL
ADAPTER	hdmi_version	OPTIONAL
ADAPTER	battery_size	OPTIONAL
ADAPTER	ups_topology	OPTIONAL
ADAPTER	surge_joule_rating	OPTIONAL
ADAPTER	plug_type	OPTIONAL
ADAPTER	warranty	OPTIONAL
POWER_BANK	brand	PRIMARY
POWER_BANK	condition	PRIMARY
POWER_BANK	connector_type	PRIMARY
POWER_BANK	wattage_w	PRIMARY
POWER_BANK	capacity_mah	PRIMARY
POWER_BANK	cable_length_m	OPTIONAL
POWER_BANK	fast_charge_protocol	OPTIONAL
POWER_BANK	usb_pd_support	OPTIONAL
POWER_BANK	qi_standard	OPTIONAL
POWER_BANK	hdmi_version	OPTIONAL
POWER_BANK	battery_size	OPTIONAL
POWER_BANK	ups_topology	OPTIONAL
POWER_BANK	surge_joule_rating	OPTIONAL
POWER_BANK	plug_type	OPTIONAL
POWER_BANK	warranty	OPTIONAL
PORTABLE_POWER_STATION	brand	PRIMARY
PORTABLE_POWER_STATION	condition	PRIMARY
PORTABLE_POWER_STATION	connector_type	OPTIONAL
PORTABLE_POWER_STATION	wattage_w	OPTIONAL
PORTABLE_POWER_STATION	capacity_mah	OPTIONAL
PORTABLE_POWER_STATION	cable_length_m	OPTIONAL
PORTABLE_POWER_STATION	fast_charge_protocol	OPTIONAL
PORTABLE_POWER_STATION	usb_pd_support	OPTIONAL
PORTABLE_POWER_STATION	qi_standard	OPTIONAL
PORTABLE_POWER_STATION	hdmi_version	OPTIONAL
PORTABLE_POWER_STATION	battery_size	OPTIONAL
PORTABLE_POWER_STATION	ups_topology	OPTIONAL
PORTABLE_POWER_STATION	surge_joule_rating	OPTIONAL
PORTABLE_POWER_STATION	plug_type	OPTIONAL
PORTABLE_POWER_STATION	warranty	OPTIONAL
UPS	brand	PRIMARY
UPS	condition	PRIMARY
UPS	connector_type	OPTIONAL
UPS	wattage_w	PRIMARY
UPS	capacity_mah	OPTIONAL
UPS	cable_length_m	OPTIONAL
UPS	fast_charge_protocol	OPTIONAL
UPS	usb_pd_support	OPTIONAL
UPS	qi_standard	OPTIONAL
UPS	hdmi_version	OPTIONAL
UPS	battery_size	OPTIONAL
UPS	ups_topology	PRIMARY
UPS	surge_joule_rating	OPTIONAL
UPS	plug_type	OPTIONAL
UPS	warranty	OPTIONAL
BATTERY	brand	PRIMARY
BATTERY	condition	PRIMARY
BATTERY	connector_type	OPTIONAL
BATTERY	wattage_w	OPTIONAL
BATTERY	capacity_mah	OPTIONAL
BATTERY	cable_length_m	OPTIONAL
BATTERY	fast_charge_protocol	OPTIONAL
BATTERY	usb_pd_support	OPTIONAL
BATTERY	qi_standard	OPTIONAL
BATTERY	hdmi_version	OPTIONAL
BATTERY	battery_size	PRIMARY
BATTERY	ups_topology	OPTIONAL
BATTERY	surge_joule_rating	OPTIONAL
BATTERY	plug_type	OPTIONAL
BATTERY	warranty	OPTIONAL
SURGE_PROTECTOR	brand	PRIMARY
SURGE_PROTECTOR	condition	PRIMARY
SURGE_PROTECTOR	connector_type	OPTIONAL
SURGE_PROTECTOR	wattage_w	OPTIONAL
SURGE_PROTECTOR	capacity_mah	OPTIONAL
SURGE_PROTECTOR	cable_length_m	OPTIONAL
SURGE_PROTECTOR	fast_charge_protocol	OPTIONAL
SURGE_PROTECTOR	usb_pd_support	OPTIONAL
SURGE_PROTECTOR	qi_standard	OPTIONAL
SURGE_PROTECTOR	hdmi_version	OPTIONAL
SURGE_PROTECTOR	battery_size	OPTIONAL
SURGE_PROTECTOR	ups_topology	OPTIONAL
SURGE_PROTECTOR	surge_joule_rating	PRIMARY
SURGE_PROTECTOR	plug_type	PRIMARY
SURGE_PROTECTOR	warranty	OPTIONAL
CABLE_MANAGEMENT	brand	PRIMARY
CABLE_MANAGEMENT	condition	PRIMARY
CABLE_MANAGEMENT	connector_type	OPTIONAL
CABLE_MANAGEMENT	wattage_w	OPTIONAL
CABLE_MANAGEMENT	capacity_mah	OPTIONAL
CABLE_MANAGEMENT	cable_length_m	OPTIONAL
CABLE_MANAGEMENT	fast_charge_protocol	OPTIONAL
CABLE_MANAGEMENT	usb_pd_support	OPTIONAL
CABLE_MANAGEMENT	qi_standard	OPTIONAL
CABLE_MANAGEMENT	hdmi_version	OPTIONAL
CABLE_MANAGEMENT	battery_size	OPTIONAL
CABLE_MANAGEMENT	ups_topology	OPTIONAL
CABLE_MANAGEMENT	surge_joule_rating	OPTIONAL
