alias	brand	model	power_cable_type	priority	notes
apple 20w usb-c power adapter	APPLE	Apple 20W USB-C Power Adapter	WALL_CHARGER	1.0	model head
apple 20w usb-c power adapter	APPLE	Apple 20W USB-C Power Adapter	WALL_CHARGER	0.8	ru mixed alias
apple 20w	APPLE	Apple 20W USB-C Power Adapter	WALL_CHARGER	0.7	spec alias
apple 35w dual usb-c power adapter	APPLE	Apple 35W Dual USB-C Power Adapter	WALL_CHARGER	1.0	model head
apple 35w dual usb-c power adapter	APPLE	Apple 35W Dual USB-C Power Adapter	WALL_CHARGER	0.8	ru mixed alias
apple 35w	APPLE	Apple 35W Dual USB-C Power Adapter	WALL_CHARGER	0.7	spec alias
samsung 25w super fast charger	SAMSUNG	Samsung 25W Super Fast Charger	WALL_CHARGER	1.0	model head
samsung 25w super fast зарядка	SAMSUNG	Samsung 25W Super Fast Charger	WALL_CHARGER	0.8	ru mixed alias
samsung 25w	SAMSUNG	Samsung 25W Super Fast Charger	WALL_CHARGER	0.7	spec alias
samsung 45w super fast charger	SAMSUNG	Samsung 45W Super Fast Charger	WALL_CHARGER	1.0	model head
samsung 45w super fast зарядка	SAMSUNG	Samsung 45W Super Fast Charger	WALL_CHARGER	0.8	ru mixed alias
samsung 45w	SAMSUNG	Samsung 45W Super Fast Charger	WALL_CHARGER	0.7	spec alias
anker 511 nano 30w	ANKER	Anker 511 Nano 30W	WALL_CHARGER	1.0	model head
anker 511 nano 30w	ANKER	Anker 511 Nano 30W	WALL_CHARGER	0.8	ru mixed alias
anker 30w	ANKER	Anker 511 Nano 30W	WALL_CHARGER	0.7	spec alias
anker 735 charger 65w	ANKER	Anker 735 Charger 65W	WALL_CHARGER	1.0	model head
anker 735 зарядка 65w	ANKER	Anker 735 Charger 65W	WALL_CHARGER	0.8	ru mixed alias
anker 65w	ANKER	Anker 735 Charger 65W	WALL_CHARGER	0.7	spec alias
ugreen nexode 65w gan	UGREEN	UGREEN Nexode 65W GaN	WALL_CHARGER	1.0	model head
ugreen nexode 65w gan	UGREEN	UGREEN Nexode 65W GaN	WALL_CHARGER	0.8	ru mixed alias
ugreen 65w	UGREEN	UGREEN Nexode 65W GaN	WALL_CHARGER	0.7	spec alias
baseus gan5 pro 65w	BASEUS	Baseus GaN5 Pro 65W	WALL_CHARGER	1.0	model head
baseus gan5 pro 65w	BASEUS	Baseus GaN5 Pro 65W	WALL_CHARGER	0.8	ru mixed alias
baseus 65w	BASEUS	Baseus GaN5 Pro 65W	WALL_CHARGER	0.7	spec alias
xiaomi 67w charger	XIAOMI	Xiaomi 67W Charger	WALL_CHARGER	1.0	model head
xiaomi 67w зарядка	XIAOMI	Xiaomi 67W Charger	WALL_CHARGER	0.8	ru mixed alias
xiaomi 67w	XIAOMI	Xiaomi 67W Charger	WALL_CHARGER	0.7	spec alias
hyperjuice 100w gan charger	HYPER	HyperJuice 100W GaN Charger	WALL_CHARGER	1.0	model head
