power_cable_type	brand	model	headline_spec	primary_connector	protocol_or_standard	seed_status
WALL_CHARGER	APPLE	Apple 20W USB-C Power Adapter	20W	USB_C	APPLE_FAST_CHARGE	HEAD
WALL_CHARGER	APPLE	Apple 35W Dual USB-C Power Adapter	35W	USB_C	USB_PD	HEAD
WALL_CHARGER	SAMSUNG	Samsung 25W Super Fast Charger	25W	USB_C	SAMSUNG_SUPER_FAST	HEAD
WALL_CHARGER	SAMSUNG	Samsung 45W Super Fast Charger	45W	USB_C	SAMSUNG_SUPER_FAST	HEAD
WALL_CHARGER	ANKER	Anker 511 Nano 30W	30W	USB_C	USB_PD	HEAD
WALL_CHARGER	ANKER	Anker 735 Charger 65W	65W	USB_C	USB_PD	HEAD
WALL_CHARGER	UGREEN	UGREEN Nexode 65W GaN	65W	USB_C	USB_PD	HEAD
WALL_CHARGER	BASEUS	Baseus GaN5 Pro 65W	65W	USB_C	USB_PD	HEAD
WALL_CHARGER	XIAOMI	Xiaomi 67W Charger	67W	USB_C	XIAOMI_HYPERCHARGE	HEAD
WALL_CHARGER	HYPER	HyperJuice 100W GaN Charger	100W	USB_C	USB_PD	HEAD
WIRELESS_CHARGER	APPLE	Apple MagSafe Charger	15W	MAGSAFE_APPLE	MAGSAFE_CERTIFIED	HEAD
WIRELESS_CHARGER	BELKIN	Belkin BoostCharge Pro 3-in-1	15W	MAGSAFE_APPLE	MAGSAFE_CERTIFIED	HEAD
WIRELESS_CHARGER	ANKER	Anker MagGo Qi2 Wireless Charger	15W	USB_C	QI2	HEAD
WIRELESS_CHARGER	SAMSUNG	Samsung Wireless Charger Duo	15W	USB_C	QI	HEAD
CAR_CHARGER	ANKER	Anker 323 Car Charger	52W	USB_C	USB_PD	HEAD
CAR_CHARGER	BASEUS	Baseus 65W Car Charger	65W	USB_C	USB_PD	HEAD
CAR_CHARGER	UGREEN	UGREEN 69W USB-C Car Charger	69W	USB_C	USB_PD	HEAD
USB_CABLE	APPLE	Apple USB-C Charge Cable 1m	60W	USB_C	USB_PD	HEAD
USB_CABLE	APPLE	Apple USB-C to Lightning Cable 1m	20W	LIGHTNING	APPLE_FAST_CHARGE	HEAD
USB_CABLE	ANKER	Anker 333 USB-C Cable 100W	100W	USB_C	USB_PD	HEAD
USB_CABLE	UGREEN	UGREEN USB-C 100W Cable	100W	USB_C	USB_PD	HEAD
USB_CABLE	BASEUS	Baseus USB-C 100W Cable	100W	USB_C	USB_PD	HEAD
USB_CABLE	BELKIN	Belkin BoostCharge USB-C Cable	60W	USB_C	USB_PD	HEAD
HDMI_CABLE	UGREEN	UGREEN HDMI 2.1 Cable 8K	48Gbps	HDMI	HDMI_2_1	HEAD
HDMI_CABLE	BELKIN	Belkin Ultra HD High Speed HDMI Cable	48Gbps	HDMI	HDMI_2_1	HEAD
HDMI_CABLE	VENTION	Vention HDMI 2.1 Cable 8K	48Gbps	HDMI	HDMI_2_1	HEAD
AUDIO_VIDEO_CABLE	UGREEN	UGREEN DisplayPort 1.4 Cable	32.4Gbps	DISPLAYPORT	DISPLAYPORT_1_4	HEAD
AUDIO_VIDEO_CABLE	VENTION	Vention Optical Toslink Cable	audio	OPTICAL_TOSLINK	OPTICAL_AUDIO	HEAD
ADAPTER	APPLE	Apple USB-C Digital AV Multiport Adapter	HDMI	USB_C	USB_C_ALT_MODE	HEAD
ADAPTER	UGREEN	UGREEN USB-C to HDMI Adapter	4K	USB_C	HDMI	HEAD
ADAPTER	BASEUS	Baseus USB-C to USB-A Adapter	USB	USB_C	USB_A	HEAD
POWER_BANK	ANKER	Anker 737 Power Bank 24000mAh	24000mAh	USB_C	USB_PD	HEAD
POWER_BANK	ANKER	Anker Nano Power Bank 10000mAh	10000mAh	USB_C	USB_PD	HEAD
POWER_BANK	XIAOMI	Xiaomi Power Bank 10000mAh	10000mAh	USB_C	USB_PD	HEAD
POWER_BANK	BASEUS	Baseus Blade 100W Power Bank	20000mAh	USB_C	USB_PD	HEAD
POWER_BANK	ROMOSS	ROMOSS Sense 8P+ 30000mAh	30000mAh	USB_C	USB_PD	HEAD
PORTABLE_POWER_STATION	ECOFLOW	EcoFlow River 2	256Wh	AC	LIFEPO4	HEAD
PORTABLE_POWER_STATION	ECOFLOW	EcoFlow Delta 2	1024Wh	AC	LIFEPO4	HEAD
PORTABLE_POWER_STATION	BLUETTI	Bluetti EB3A	268Wh	AC	LIFEPO4	HEAD
UPS	APC	APC Back-UPS 650VA	650VA	AC	LINE_INTERACTIVE	HEAD
UPS	APC	APC Back-UPS 850VA	850VA	AC	LINE_INTERACTIVE	HEAD
UPS	CYBERPOWER	CyberPower CP1500EPFCLCD	1500VA	AC	LINE_INTERACTIVE	HEAD
BATTERY	PANASONIC	Panasonic Eneloop AA	AA	AA	NIMH	HEAD
BATTERY	DURACELL	Duracell AA Alkaline	AA	AA	ALKALINE	HEAD
BATTERY	GP	GP ReCyko AAA	AAA	AAA	NIMH	HEAD
BATTERY	ENERGIZER	Energizer CR2032	CR2032	CR2032	LITHIUM	HEAD
SURGE_PROTECTOR	APC	APC Essential SurgeArrest	6 outlets	EU_SCHUKO	SURGE	HEAD
SURGE_PROTECTOR	BELKIN	Belkin Surge Protection Strip	6 outlets	EU_SCHUKO	SURGE	HEAD
SURGE_PROTECTOR	XIAOMI	Xiaomi Power Strip	3 outlets	EU_SCHUKO	SURGE	HEAD
CABLE_MANAGEMENT	UGREEN	UGREEN Cable Organizer Clips	clips	CABLE	ORGANIZER	HEAD
CABLE_MANAGEMENT	ORICO	ORICO Cable Management Box	box	CABLE	ORGANIZER	HEAD
