attribute_code	value_code	label_ru	aliases_ru	sort_priority	status
power_cable_type	WALL_CHARGER	Сетевое зарядное устройство	зарядка от розетки|блок питания|сетевой адаптер|адаптер питания	1	HEAD
power_cable_type	WIRELESS_CHARGER	Беспроводная зарядка	беспроводная зарядка|qi зарядка|магнитная зарядка|magsafe charger	2	HEAD
power_cable_type	CAR_CHARGER	Автомобильная зарядка	автозарядка|зарядка в машину|прикуриватель usb|car charger	3	HEAD
power_cable_type	USB_CABLE	USB кабель	usb cable|кабель usb c|type c кабель|lightning кабель	4	HEAD
power_cable_type	HDMI_CABLE	HDMI кабель	hdmi кабель|кабель 4k|кабель 8k	5	HEAD
power_cable_type	AUDIO_VIDEO_CABLE	Аудио/видео кабель	aux кабель|rca кабель|optical cable|displayport кабель	6	HEAD
power_cable_type	ADAPTER	Адаптер/переходник	переходник|адаптер usb c|type c adapter|hdmi adapter	7	HEAD
power_cable_type	POWER_BANK	Повербанк	power bank|внешний аккумулятор|портативная зарядка	8	HEAD
power_cable_type	PORTABLE_POWER_STATION	Портативная электростанция	power station|зарядная станция|портативная станция	9	HEAD
power_cable_type	UPS	ИБП	ups|ибп|бесперебойник	10	HEAD
power_cable_type	BATTERY	Батарейки/аккумуляторы	battery|аккумулятор|aa aaa 18650 cr2032	11	HEAD
power_cable_type	SURGE_PROTECTOR	Сетевой фильтр/защита	сетевой фильтр|удлинитель с защитой|surge protector	12	HEAD
power_cable_type	CABLE_MANAGEMENT	Организация кабелей	кабель органайзер|стяжки|держатель кабеля|cable management	13	HEAD
connector_type	USB_C	USB-C	type c|тайп си|usb type c	1	HEAD
connector_type	USB_A	USB-A	обычный usb|usb type a	2	HEAD
connector_type	LIGHTNING	Lightning	лайтнинг|iphone cable	3	HEAD
connector_type	MICRO_USB	Micro-USB	micro usb|микро юсб	4	HEAD
connector_type	HDMI	HDMI	эйчдими|ашдиэмай	5	HEAD
connector_type	DISPLAYPORT	DisplayPort	dp cable|дисплейпорт	6	HEAD
connector_type	MINI_DISPLAYPORT	Mini DisplayPort	mini dp	7	HEAD
connector_type	THUNDERBOLT	Thunderbolt	tb3|tb4	8	HEAD
connector_type	MAGSAFE_APPLE	Apple MagSafe	magsafe macbook	9	HEAD
connector_type	DC_BARREL	DC barrel	круглый штекер|barrel plug	10	HEAD
connector_type	IEC_C13	IEC C13	кабель питания ПК	11	HEAD
connector_type	IEC_C7	IEC C7	восьмёрка кабель	12	HEAD
connector_type	AUX_3_5	3.5 mm AUX	аукс|jack 3.5	13	HEAD
connector_type	RCA	RCA	тюльпан	14	HEAD
connector_type	OPTICAL_TOSLINK	Optical/Toslink	оптика|toslink	15	HEAD
connector_type	VGA	VGA	vga кабель	16	HEAD
connector_type	DVI	DVI	dvi cable	17	HEAD
fast_charge_protocol	USB_PD	USB Power Delivery	pd|power delivery	1	HEAD
fast_charge_protocol	QC_3_0	Quick Charge 3.0	qc3|quickcharge	2	HEAD
fast_charge_protocol	QC_4_PLUS	Quick Charge 4+	qc4	3	HEAD
fast_charge_protocol	PPS	Programmable Power Supply	pps	4	HEAD
fast_charge_protocol	SAMSUNG_SUPER_FAST	Samsung Super Fast Charging	sfc	5	HEAD
fast_charge_protocol	APPLE_FAST_CHARGE	Apple Fast Charge	быстрая зарядка iphone	6	HEAD
fast_charge_protocol	XIAOMI_HYPERCHARGE	Xiaomi HyperCharge	xiaomi turbo charge	7	HEAD
fast_charge_protocol	OPPO_VOOC	OPPO VOOC/SuperVOOC	vooc|supervooc	8	HEAD
fast_charge_protocol	HUAWEI_SUPERCHARGE	Huawei SuperCharge	supercharge	9	HEAD
qi_standard	QI	Qi	qi зарядка	1	HEAD
qi_standard	QI2	Qi2	qi 2	2	HEAD
qi_standard	MAGSAFE_COMPATIBLE	MagSafe compatible	магсейф совместимая	3	HEAD
qi_standard	MAGSAFE_CERTIFIED	MagSafe certified	официальный magsafe	4	HEAD
magsafe_support	NONE	Нет	без magsafe	1	HEAD
magsafe_support	MAGNETIC_COMPATIBLE	Магнитная совместимость	магнитная	2	HEAD
magsafe_support	MAGSAFE_COMPATIBLE	MagSafe compatible	magsafe compatible	3	HEAD
magsafe_support	MAGSAFE_CERTIFIED	MagSafe certified	certified magsafe	4	HEAD
cable_standard	USB_2_0	USB 2.0	480mbps	1	HEAD
cable_standard	USB_3_0	USB 3.0	5gbps	2	HEAD
cable_standard	USB_3_2_GEN2	USB 3.2 Gen2	10gbps	3	HEAD
cable_standard	USB_4	USB4	usb 4	4	HEAD
cable_standard	THUNDERBOLT_3	Thunderbolt 3	tb3	5	HEAD
cable_standard	THUNDERBOLT_4	Thunderbolt 4	tb4	6	HEAD
cable_standard	THUNDERBOLT_5	Thunderbolt 5	tb5	7	HEAD
cable_standard	HDMI_2_0	HDMI 2.0	4k 60	8	HEAD
cable_standard	HDMI_2_1	HDMI 2.1	4k 120|8k	9	HEAD
cable_standard	DISPLAYPORT_1_4	DisplayPort 1.4	dp 1.4	10	HEAD
cable_standard	DISPLAYPORT_2_1	DisplayPort 2.1	dp 2.1	11	HEAD
hdmi_version	HDMI_1_4	HDMI 1.4		1	HEAD
hdmi_version	HDMI_2_0	HDMI 2.0		2	HEAD
hdmi_version	HDMI_2_1	HDMI 2.1	8k|4k120	3	HEAD
video_standard	HDMI	HDMI		1	HEAD
video_standard	DISPLAYPORT	DisplayPort		2	HEAD
video_standard	USB_C_ALT_MODE	USB-C Alt Mode		3	HEAD
video_standard	VGA	VGA		4	HEAD
video_standard	DVI	DVI		5	HEAD
video_standard	RCA_COMPOSITE	RCA Composite		6	HEAD
video_standard	OPTICAL_AUDIO	Optical audio		7	HEAD
battery_size	AA	AA	пальчиковые	1	HEAD
battery_size	AAA	AAA	мизинчиковые	2	HEAD
battery_size	CR2032	CR2032	таблетка	3	HEAD
battery_size	CR2025	CR2025		4	HEAD
battery_size	18650	18650	li-ion 18650	5	HEAD
battery_size	21700	21700		6	HEAD
battery_size	9V	9V	крона	7	HEAD
battery_size	C	C		8	HEAD
battery_size	D	D		9	HEAD
battery_size	LAPTOP_BATTERY	Батарея ноутбука	аккумулятор ноутбука	10	HEAD
battery_size	CAMERA_BATTERY	Батарея камеры	аккумулятор камеры	11	HEAD
battery_chemistry	ALKALINE	Alkaline	щелочные	1	HEAD
battery_chemistry	LITHIUM	Lithium	литиевые	2	HEAD
battery_chemistry	LI_ION	Li-ion	литий ион	3	HEAD
battery_chemistry	LIFEPO4	LiFePO4	лифепо	4	HEAD
battery_chemistry	NIMH	NiMH	никель металлогидрид	5	HEAD
battery_chemistry	LEAD_ACID	Lead-acid	свинцово кислотный	6	HEAD
ups_topology	STANDBY	Standby/offline	offline ups	1	HEAD
ups_topology	LINE_INTERACTIVE	Line-interactive	line interactive	2	HEAD
ups_topology	ONLINE_DOUBLE_CONVERSION	Online double conversion	онлайн ибп	3	HEAD
plug_type	EU_TYPE_C	EU Type C	евровилка	1	HEAD
plug_type	EU_TYPE_F	Schuko Type F	schuko	2	HEAD
plug_type	UK_TYPE_G	UK Type G	британская	3	HEAD
plug_type	US_TYPE_A	US Type A	американская	4	HEAD
plug_type	US_TYPE_B	US Type B		5	HEAD
plug_type	AU_TYPE_I	AU Type I		6	HEAD
plug_type	CN_TYPE_I	CN Type I		7	HEAD
plug_type	UNIVERSAL	Universal	универсальный	8	HEAD
socket_type	EU_SCHUKO	Schuko	евророзетка	1	HEAD
socket_type	IEC_C13	IEC C13		2	HEAD
socket_type	UK_TYPE_G	UK Type G		3	HEAD
socket_type	US_NEMA	US NEMA		4	HEAD
socket_type	UNIVERSAL	Universal	универсальная	5	HEAD
socket_type	USB_A_PORT	USB-A port		6	HEAD
socket_type	USB_C_PORT	USB-C port		7	HEAD
car_voltage	12V	12V	легковой автомобиль	1	HEAD
car_voltage	24V	24V	грузовой автомобиль	2	HEAD
car_voltage	12_24V	12/24V	универсальная	3	HEAD
oem_original	ORIGINAL	Оригинал	original|oem	1	HEAD
oem_original	OEM	OEM		2	HEAD
oem_original	THIRD_PARTY	Сторонний	аналог|compatible	3	HEAD
oem_original	UNKNOWN	Не указано		4	HEAD
safety_certification	CE	CE		1	HEAD
safety_certification	FCC	FCC		2	HEAD
safety_certification	UL	UL		3	HEAD
safety_certification	ETL	ETL		4	HEAD
safety_certification	ROHS	RoHS		5	HEAD
safety_certification	EAC	EAC		6	HEAD
safety_certification	MFI	MFi		7	HEAD
safety_certification	UKCA	UKCA		8	HEAD
condition	NEW	Новый	новое|запечатанный	1	HEAD
condition	USED	Б/у	бу|б/у	2	HEAD
condition	REFURBISHED	Восстановленный	refurbished	3	HEAD
condition	OPEN_BOX	Открытая коробка	open box	4	HEAD
condition	FOR_PARTS	На запчасти	нерабочий	5	HEAD
color	BLACK	Чёрный	black	1	HEAD
color	WHITE	Белый	white	2	HEAD
color	GRAY	Серый	grey|серебристый	3	HEAD
color	BLUE	Синий	blue	4	HEAD
color	RED	Красный	red	5	HEAD
color	GREEN	Зелёный	green	6	HEAD
color	YELLOW	Жёлтый	yellow	7	HEAD
color	TRANSPARENT	Прозрачный	transparent	8	HEAD
region	GLOBAL	Global	международная	1	HEAD
region	EU	EU	европа	2	HEAD
region	US	US	сша	3	HEAD
region	CN	China	китай	4	HEAD
region	UK	UK	британия	5	HEAD
region	JP	Japan	япония	6	HEAD
warranty	NONE	Нет	без гарантии	1	HEAD
warranty	SELLER_14D	14 дней продавца		2	HEAD
warranty	SELLER_30D	30 дней продавца		3	HEAD
warranty	MANUFACTURER	Производитель	официальная	4	HEAD
warranty	UNKNOWN	Не указано		5	HEAD
included_accessories	CABLE_INCLUDED	Кабель в комплекте		1	HEAD
included_accessories	POWER_ADAPTER_INCLUDED	Адаптер в комплекте		2	HEAD
included_accessories	CASE_INCLUDED	Чехол в комплекте		3	HEAD
included_accessories	MANUAL_INCLUDED	Инструкция		4	HEAD
included_accessories	NO_ACCESSORIES	Без аксессуаров		5	HEAD
seller_bundle	SINGLE_ITEM	Один товар		1	HEAD
seller_bundle	BUNDLE	Набор	комплект	2	HEAD
seller_bundle	LOT	Лот	оптом	3	HEAD
original_box	YES	Есть	с коробкой	1	HEAD
original_box	NO	Нет	без коробки	2	HEAD
original_box	UNKNOWN	Не указано		3	HEAD
replacement_part_context	PHONE_PART	Запчасть телефона		1	HEAD
replacement_part_context	LAPTOP_PART	Запчасть ноутбука		2	HEAD
replacement_part_context	CAMERA_PART	Запчасть камеры		3	HEAD
replacement_part_context	GENERIC_BATTERY	Обычная батарея		4	HEAD
replacement_part_context	NOT_PART	Не запчасть		5	HEAD
