alias	lang	target_category	target_attribute	target_value	priority	note
hp 305	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_305	92	cartridge/consumable code head delta
hp305	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_305	92	cartridge/consumable code head delta
картридж hp 305	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_305	92	cartridge/consumable code head delta
тонер hp 305	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_305	92	cartridge/consumable code head delta
hp 305xl	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_305XL	92	cartridge/consumable code head delta
hp305xl	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_305XL	92	cartridge/consumable code head delta
картридж hp 305xl	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_305XL	92	cartridge/consumable code head delta
тонер hp 305xl	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_305XL	92	cartridge/consumable code head delta
hp 650	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_650	92	cartridge/consumable code head delta
hp650	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_650	92	cartridge/consumable code head delta
картридж hp 650	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_650	92	cartridge/consumable code head delta
тонер hp 650	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_650	92	cartridge/consumable code head delta
hp 652	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_652	92	cartridge/consumable code head delta
hp652	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_652	92	cartridge/consumable code head delta
картридж hp 652	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_652	92	cartridge/consumable code head delta
тонер hp 652	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_652	92	cartridge/consumable code head delta
hp 123	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_123	92	cartridge/consumable code head delta
hp123	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_123	92	cartridge/consumable code head delta
картридж hp 123	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_123	92	cartridge/consumable code head delta
тонер hp 123	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_123	92	cartridge/consumable code head delta
hp 953	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_953	92	cartridge/consumable code head delta
hp953	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_953	92	cartridge/consumable code head delta
картридж hp 953	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_953	92	cartridge/consumable code head delta
тонер hp 953	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_953	92	cartridge/consumable code head delta
hp 12a q2612a	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_12A	92	cartridge/consumable code head delta
hp12aq2612a	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_12A	92	cartridge/consumable code head delta
картридж hp 12a q2612a	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_12A	92	cartridge/consumable code head delta
тонер hp 12a q2612a	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_12A	92	cartridge/consumable code head delta
hp 106a w1106a	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_106A	92	cartridge/consumable code head delta
hp106aw1106a	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_106A	92	cartridge/consumable code head delta
картридж hp 106a w1106a	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_106A	92	cartridge/consumable code head delta
тонер hp 106a w1106a	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_106A	92	cartridge/consumable code head delta
hp 59a cf259a	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_59A	92	cartridge/consumable code head delta
hp59acf259a	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_59A	92	cartridge/consumable code head delta
картридж hp 59a cf259a	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_59A	92	cartridge/consumable code head delta
тонер hp 59a cf259a	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_59A	92	cartridge/consumable code head delta
hp 85a ce285a	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_85A	92	cartridge/consumable code head delta
hp85ace285a	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_85A	92	cartridge/consumable code head delta
картридж hp 85a ce285a	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_85A	92	cartridge/consumable code head delta
