query	expected_category	expected_type	expected_brand	note
картридж hp 305	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	HP	consumable compatibility delta
hp 305xl color	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	HP	consumable compatibility delta
картридж hp 650 черный	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	HP	consumable compatibility delta
тонер hp 106a	TECH.PRINTERS_SCANNERS	TONER_CARTRIDGE	HP	consumable compatibility delta
картридж hp 12a q2612a	TECH.PRINTERS_SCANNERS	TONER_CARTRIDGE	HP	consumable compatibility delta
hp cf259a 59a	TECH.PRINTERS_SCANNERS	TONER_CARTRIDGE	HP	consumable compatibility delta
canon pg 445 black	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	CANON	consumable compatibility delta
canon cl 446 color	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	CANON	consumable compatibility delta
canon pg545 cl546 комплект	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	CANON	consumable compatibility delta
тонер canon 725	TECH.PRINTERS_SCANNERS	TONER_CARTRIDGE	CANON	consumable compatibility delta
canon 737 cartridge	TECH.PRINTERS_SCANNERS	TONER_CARTRIDGE	CANON	consumable compatibility delta
epson 103 чернила	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	EPSON	consumable compatibility delta
epson 104 ink bottle	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	EPSON	consumable compatibility delta
epson 664 набор чернил	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	EPSON	consumable compatibility delta
maintenance box epson	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	EPSON	consumable compatibility delta
brother tn 1075 toner	TECH.PRINTERS_SCANNERS	TONER_CARTRIDGE	BROTHER	consumable compatibility delta
brother tn 2421	TECH.PRINTERS_SCANNERS	TONER_CARTRIDGE	BROTHER	consumable compatibility delta
brother lc3219 картридж	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	BROTHER	consumable compatibility delta
лента brother tze	TECH.PRINTERS_SCANNERS	PRINTER_ACCESSORY	BROTHER	consumable compatibility delta
samsung mlt d111s	TECH.PRINTERS_SCANNERS	TONER_CARTRIDGE	SAMSUNG	consumable compatibility delta
pantum pc 211	TECH.PRINTERS_SCANNERS	TONER_CARTRIDGE	PANTUM	consumable compatibility delta
dymo d1 tape	TECH.PRINTERS_SCANNERS	PRINTER_ACCESSORY	DYMO	consumable compatibility delta
zebra labels roll	TECH.PRINTERS_SCANNERS	PRINTER_ACCESSORY	ZEBRA	consumable compatibility delta
obd2 scanner	TECH.CAR_ELECTRONICS_GPS	OBD_SCANNER		consumable compatibility delta
3d printer	TECH.OTHER_ELECTRONICS	THREE_D_PRINTING_RESERVED_V1		consumable compatibility delta
