alias	lang	target_category	target_attribute	target_value	priority	note
принтер	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	PRINTER	80	
принтер а4	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	PRINTER	80	
лазерный принтер	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	PRINTER	80	
струйный принтер	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	PRINTER	80	
цветной принтер	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	PRINTER	80	
черно белый принтер	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	PRINTER	80	
принтер hp	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	PRINTER	80	
принтер canon	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	PRINTER	80	
printer	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	PRINTER	80	
мфу	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	MULTIFUNCTION_PRINTER	80	
мфу лазерное	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	MULTIFUNCTION_PRINTER	80	
мфу струйное	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	MULTIFUNCTION_PRINTER	80	
принтер сканер копир	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	MULTIFUNCTION_PRINTER	80	
многофункциональное устройство	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	MULTIFUNCTION_PRINTER	80	
all in one printer	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	MULTIFUNCTION_PRINTER	80	
multifunction printer	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	MULTIFUNCTION_PRINTER	80	
сканер	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	SCANNER	80	
планшетный сканер	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	SCANNER	80	
документ сканер	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	SCANNER	80	
сканер документов	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	SCANNER	80	
сканер фото	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	SCANNER	80	
портативный сканер	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	SCANNER	80	
scanner	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	SCANNER	80	
принтер этикеток	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	LABEL_PRINTER	80	
термопринтер этикеток	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	LABEL_PRINTER	80	
label printer	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	LABEL_PRINTER	80	
принтер наклеек	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	LABEL_PRINTER	80	
принтер штрихкодов	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	LABEL_PRINTER	80	
принтер для маркетплейса	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	LABEL_PRINTER	80	
термопринтер	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	LABEL_PRINTER	80	
картридж струйный	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	INK_CARTRIDGE	80	
чернила для принтера	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	INK_CARTRIDGE	80	
картридж hp	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	INK_CARTRIDGE	80	
картридж canon	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	INK_CARTRIDGE	80	
картриджи epson	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	INK_CARTRIDGE	80	
ink cartridge	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	INK_CARTRIDGE	80	
чернильный картридж	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	INK_CARTRIDGE	80	
тонер	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	TONER_CARTRIDGE	80	
тонер картридж	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	TONER_CARTRIDGE	80	
картридж лазерный	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	TONER_CARTRIDGE	80	
лазерный картридж	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	TONER_CARTRIDGE	80	
toner cartridge	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	TONER_CARTRIDGE	80	
картридж brother	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	TONER_CARTRIDGE	80	
картридж xerox	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	TONER_CARTRIDGE	80	
аксессуар для принтера	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	PRINTER_ACCESSORY	80	
лоток для бумаги	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	PRINTER_ACCESSORY	80	
печатающая головка	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	PRINTER_ACCESSORY	80	
ремкомплект принтера	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	PRINTER_ACCESSORY	80	
кабель принтера	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	PRINTER_ACCESSORY	80	
бумага для принтера	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	PRINTER_ACCESSORY	80	
printer accessory	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	PRINTER_ACCESSORY	80	
hp	ru	TECH.PRINTERS_SCANNERS	brand	HP	65	brand_alias
ашпи	ru	TECH.PRINTERS_SCANNERS	brand	HP	65	brand_alias
эйчпи	ru	TECH.PRINTERS_SCANNERS	brand	HP	65	brand_alias
hewlett packard	ru	TECH.PRINTERS_SCANNERS	brand	HP	65	brand_alias
хьюлет паккард	ru	TECH.PRINTERS_SCANNERS	brand	HP	65	brand_alias
canon	ru	TECH.PRINTERS_SCANNERS	brand	CANON	65	brand_alias
кэнон	ru	TECH.PRINTERS_SCANNERS	brand	CANON	65	brand_alias
кенон	ru	TECH.PRINTERS_SCANNERS	brand	CANON	65	brand_alias
epson	ru	TECH.PRINTERS_SCANNERS	brand	EPSON	65	brand_alias
эпсон	ru	TECH.PRINTERS_SCANNERS	brand	EPSON	65	brand_alias
brother	ru	TECH.PRINTERS_SCANNERS	brand	BROTHER	65	brand_alias
бразер	ru	TECH.PRINTERS_SCANNERS	brand	BROTHER	65	brand_alias
братер	ru	TECH.PRINTERS_SCANNERS	brand	BROTHER	65	brand_alias
xerox	ru	TECH.PRINTERS_SCANNERS	brand	XEROX	65	brand_alias
ксерокс	ru	TECH.PRINTERS_SCANNERS	brand	XEROX	65	brand_alias
зерокс	ru	TECH.PRINTERS_SCANNERS	brand	XEROX	65	brand_alias
kyocera	ru	TECH.PRINTERS_SCANNERS	brand	KYOCERA	65	brand_alias
киосера	ru	TECH.PRINTERS_SCANNERS	brand	KYOCERA	65	brand_alias
кёсера	ru	TECH.PRINTERS_SCANNERS	brand	KYOCERA	65	brand_alias
ricoh	ru	TECH.PRINTERS_SCANNERS	brand	RICOH	65	brand_alias
рико	ru	TECH.PRINTERS_SCANNERS	brand	RICOH	65	brand_alias
lexmark	ru	TECH.PRINTERS_SCANNERS	brand	LEXMARK	65	brand_alias
лексмарк	ru	TECH.PRINTERS_SCANNERS	brand	LEXMARK	65	brand_alias
pantum	ru	TECH.PRINTERS_SCANNERS	brand	PANTUM	65	brand_alias
пантум	ru	TECH.PRINTERS_SCANNERS	brand	PANTUM	65	brand_alias
konica minolta	ru	TECH.PRINTERS_SCANNERS	brand	KONICA_MINOLTA	65	brand_alias
коника минолта	ru	TECH.PRINTERS_SCANNERS	brand	KONICA_MINOLTA	65	brand_alias
zebra	ru	TECH.PRINTERS_SCANNERS	brand	ZEBRA	65	brand_alias
зебра	ru	TECH.PRINTERS_SCANNERS	brand	ZEBRA	65	brand_alias
dymo	ru	TECH.PRINTERS_SCANNERS	brand	DYMO	65	brand_alias
даймо	ru	TECH.PRINTERS_SCANNERS	brand	DYMO	65	brand_alias
bixolon	ru	TECH.PRINTERS_SCANNERS	brand	BIXOLON	65	brand_alias
биксолон	ru	TECH.PRINTERS_SCANNERS	brand	BIXOLON	65	brand_alias
fujitsu	ru	TECH.PRINTERS_SCANNERS	brand	FUJITSU	65	brand_alias
фуджитсу	ru	TECH.PRINTERS_SCANNERS	brand	FUJITSU	65	brand_alias
plustek	ru	TECH.PRINTERS_SCANNERS	brand	PLUSTEK	65	brand_alias
пластек	ru	TECH.PRINTERS_SCANNERS	brand	PLUSTEK	65	brand_alias
kodak alaris	ru	TECH.PRINTERS_SCANNERS	brand	KODAK_ALARIS	65	brand_alias
kodak scanner	ru	TECH.PRINTERS_SCANNERS	brand	KODAK_ALARIS	65	brand_alias
кодак сканер	ru	TECH.PRINTERS_SCANNERS	brand	KODAK_ALARIS	65	brand_alias
phomemo	ru	TECH.PRINTERS_SCANNERS	brand	PHOMEMO	65	brand_alias
фомемо	ru	TECH.PRINTERS_SCANNERS	brand	PHOMEMO	65	brand_alias
niimbot	ru	TECH.PRINTERS_SCANNERS	brand	NIIMBOT	65	brand_alias
нимбот	ru	TECH.PRINTERS_SCANNERS	brand	NIIMBOT	65	brand_alias
дуплекс	ru	TECH.PRINTERS_SCANNERS	generic_signal		45	
автодуплекс	ru	TECH.PRINTERS_SCANNERS	generic_signal		45	
wifi принтер	ru	TECH.PRINTERS_SCANNERS	generic_signal		45	
сетевой принтер	ru	TECH.PRINTERS_SCANNERS	generic_signal		45	
принтер с wifi	ru	TECH.PRINTERS_SCANNERS	generic_signal		45	
принтер airprint	ru	TECH.PRINTERS_SCANNERS	generic_signal		45	
мфу с автоподатчиком	ru	TECH.PRINTERS_SCANNERS	generic_signal		45	
адф	ru	TECH.PRINTERS_SCANNERS	generic_signal		45	
adf	ru	TECH.PRINTERS_SCANNERS	generic_signal		45	
печать без полей	ru	TECH.PRINTERS_SCANNERS	generic_signal		45	
фотопринтер	ru	TECH.PRINTERS_SCANNERS	generic_signal		45	
снпч	ru	TECH.PRINTERS_SCANNERS	generic_signal		45	
eco tank	ru	TECH.PRINTERS_SCANNERS	generic_signal		45	
laserjet	ru	TECH.PRINTERS_SCANNERS	generic_signal		45	
officejet	ru	TECH.PRINTERS_SCANNERS	generic_signal		45	
pixma	ru	TECH.PRINTERS_SCANNERS	generic_signal		45	
imageclass	ru	TECH.PRINTERS_SCANNERS	generic_signal		45	
ecotank	ru	TECH.PRINTERS_SCANNERS	generic_signal		45	
workforce	ru	TECH.PRINTERS_SCANNERS	generic_signal		45	
inkbenefit	ru	TECH.PRINTERS_SCANNERS	generic_signal		45	
smart tank	ru	TECH.PRINTERS_SCANNERS	generic_signal		45	
laser printer	ru	TECH.PRINTERS_SCANNERS	generic_signal		45	
inkjet printer	ru	TECH.PRINTERS_SCANNERS	generic_signal		45	
thermal label printer	ru	TECH.PRINTERS_SCANNERS	generic_signal		45	
pos printer	ru	TECH.PRINTERS_SCANNERS	generic_signal		45	
термотрансферный принтер	ru	TECH.PRINTERS_SCANNERS	generic_signal		45	
принтер чеков	ru	TECH.PRINTERS_SCANNERS	generic_signal		45	
