attribute_code	data_type	role	usage_scope	required_policy	description_ru	allowed_values_source
printer_scanner_type	enum	T0_CORE	all	required	main type: printer/scanner/consumable/accessory	values.tsv#printer_scanner_type
print_technology	enum	T1_TYPE_SPECIFIC	PRINTER|MULTIFUNCTION_PRINTER|LABEL_PRINTER	required_when_device	printing technology	values.tsv#print_technology
device_function	multi_enum	T1_TYPE_SPECIFIC	PRINTER|MULTIFUNCTION_PRINTER|SCANNER	optional	print/scan/copy/fax capability	values.tsv#device_function
color_printing	boolean	T1_TYPE_SPECIFIC	PRINTER|MULTIFUNCTION_PRINTER|LABEL_PRINTER	optional	supports color print	runtime_candidates
mono_color	enum	T1_TYPE_SPECIFIC	PRINTER|MULTIFUNCTION_PRINTER|LABEL_PRINTER	optional	black/white/monochrome/color class	values.tsv#mono_color
paper_format	multi_enum	T1_TYPE_SPECIFIC	PRINTER|MULTIFUNCTION_PRINTER|SCANNER	optional	supported paper/document formats	values.tsv#paper_format
duplex_printing	enum	T1_TYPE_SPECIFIC	PRINTER|MULTIFUNCTION_PRINTER	optional	none/manual/auto duplex	values.tsv#duplex_printing
auto_document_feeder	boolean	T2_OPTIONAL_ENRICHMENT	MULTIFUNCTION_PRINTER|SCANNER	optional	ADF presence	runtime_candidates
connectivity	multi_enum	T1_TYPE_SPECIFIC	device_types	optional	USB/Wi-Fi/Ethernet/Bluetooth/etc	values.tsv#connectivity
network_printing	boolean	T2_OPTIONAL_ENRICHMENT	PRINTER|MULTIFUNCTION_PRINTER|LABEL_PRINTER	optional	can be used over network	runtime_candidates
print_speed_ppm	number	T2_OPTIONAL_ENRICHMENT	PRINTER|MULTIFUNCTION_PRINTER	optional	pages per minute	runtime_candidates
print_resolution_dpi	number	T2_OPTIONAL_ENRICHMENT	PRINTER|MULTIFUNCTION_PRINTER|LABEL_PRINTER	optional	print resolution dpi	runtime_candidates
scan_resolution_dpi	number	T2_OPTIONAL_ENRICHMENT	MULTIFUNCTION_PRINTER|SCANNER	optional	scan resolution dpi	runtime_candidates
monthly_duty_cycle_pages	number	T2_OPTIONAL_ENRICHMENT	PRINTER|MULTIFUNCTION_PRINTER	optional	monthly duty cycle	runtime_candidates
tank_system	enum	T2_OPTIONAL_ENRICHMENT	PRINTER|MULTIFUNCTION_PRINTER	optional	ink tank / cartridge / toner system	values.tsv#tank_system
photo_printing	boolean	T2_OPTIONAL_ENRICHMENT	PRINTER|MULTIFUNCTION_PRINTER	optional	photo printing support	runtime_candidates
scanner_type	enum	T1_TYPE_SPECIFIC	SCANNER|MULTIFUNCTION_PRINTER	required_when_scanner	flatbed/sheetfed/film/portable	values.tsv#scanner_type
film_scanning	boolean	T2_OPTIONAL_ENRICHMENT	SCANNER	optional	film/slide scanning support	runtime_candidates
label_width_mm	number	T2_OPTIONAL_ENRICHMENT	LABEL_PRINTER	optional	max label width in mm	runtime_candidates
barcode_label_support	boolean	T2_OPTIONAL_ENRICHMENT	LABEL_PRINTER	optional	barcodes/QR labels support	runtime_candidates
cutter_type	enum	T2_OPTIONAL_ENRICHMENT	LABEL_PRINTER	optional	manual/auto/no cutter	values.tsv#cutter_type
cartridge_type	enum	T1_TYPE_SPECIFIC	INK_CARTRIDGE|TONER_CARTRIDGE	required_when_consumable	ink/toner/drum/waste/maintenance	values.tsv#cartridge_type
toner_color	enum	T1_TYPE_SPECIFIC	INK_CARTRIDGE|TONER_CARTRIDGE	optional	black/cyan/magenta/yellow/multipack	values.tsv#toner_color
yield_pages	number	T1_TYPE_SPECIFIC	INK_CARTRIDGE|TONER_CARTRIDGE	optional	declared page yield	runtime_candidates
page_yield_bucket	enum	T2_OPTIONAL_ENRICHMENT	INK_CARTRIDGE|TONER_CARTRIDGE	optional	standard/high/extra high yield	values.tsv#page_yield_bucket
original_compatible_status	enum	T2_OPTIONAL_ENRICHMENT	INK_CARTRIDGE|TONER_CARTRIDGE	optional	OEM/compatible/refill/remanufactured	values.tsv#original_compatible_status
compatible_printer_brand	enum	T1_TYPE_SPECIFIC	INK_CARTRIDGE|TONER_CARTRIDGE|PRINTER_ACCESSORY	required_when_compatibility_claim	compatible printer brand	values.tsv#brand
compatible_printer_model_text	text	T1_TYPE_SPECIFIC	INK_CARTRIDGE|TONER_CARTRIDGE|PRINTER_ACCESSORY	optional	raw compatible model text	runtime_candidates
compatible_cartridge_code	text	T1_TYPE_SPECIFIC	INK_CARTRIDGE|TONER_CARTRIDGE	optional	cartridge/toner family code	runtime_candidates
accessory_subtype	enum	T1_TYPE_SPECIFIC	PRINTER_ACCESSORY	required_when_accessory	printer cable/tray/printhead/maintenance kit/etc	values.tsv#accessory_subtype
portable	boolean	T2_OPTIONAL_ENRICHMENT	PRINTER|SCANNER|LABEL_PRINTER	optional	portable device	runtime_candidates
supported_os	multi_enum	T2_OPTIONAL_ENRICHMENT	device_types	optional	driver/app OS support	values.tsv#supported_os
mobile_printing	multi_enum	T2_OPTIONAL_ENRICHMENT	device_types	optional	AirPrint/Mopria/app/cloud print	values.tsv#mobile_printing
media_type_supported	multi_enum	T2_OPTIONAL_ENRICHMENT	device_types	optional	paper/photo/labels/cards/envelopes	values.tsv#media_type_supported
consumable_included	boolean	T2_OPTIONAL_ENRICHMENT	PRINTER|MULTIFUNCTION_PRINTER|LABEL_PRINTER	optional	ink/toner/label roll included	runtime_candidates
