query	expected_category	expected_type	expected_brand	note
лазерный принтер hp	TECH.PRINTERS_SCANNERS	PRINTER	HP	
струйный принтер canon	TECH.PRINTERS_SCANNERS	PRINTER	CANON	
принтер а4 wifi	TECH.PRINTERS_SCANNERS	PRINTER		
черно белый принтер	TECH.PRINTERS_SCANNERS	PRINTER		
цветной принтер для дома	TECH.PRINTERS_SCANNERS	PRINTER		
фотопринтер epson	TECH.PRINTERS_SCANNERS	PRINTER	EPSON	
принтер с снпч	TECH.PRINTERS_SCANNERS	PRINTER		
hp laserjet m404dn	TECH.PRINTERS_SCANNERS	PRINTER	HP	
canon i sensys lbp6030b	TECH.PRINTERS_SCANNERS	PRINTER	CANON	
printer wifi	TECH.PRINTERS_SCANNERS	PRINTER		
мфу лазерное brother	TECH.PRINTERS_SCANNERS	MULTIFUNCTION_PRINTER	BROTHER	
мфу canon pixma g3411	TECH.PRINTERS_SCANNERS	MULTIFUNCTION_PRINTER	CANON	
принтер сканер копир	TECH.PRINTERS_SCANNERS	MULTIFUNCTION_PRINTER		
мфу с автоподатчиком	TECH.PRINTERS_SCANNERS	MULTIFUNCTION_PRINTER		
мфу для офиса	TECH.PRINTERS_SCANNERS	MULTIFUNCTION_PRINTER		
epson l3250	TECH.PRINTERS_SCANNERS	MULTIFUNCTION_PRINTER	EPSON	
hp smart tank 515	TECH.PRINTERS_SCANNERS	MULTIFUNCTION_PRINTER	HP	
xerox workcentre 3025	TECH.PRINTERS_SCANNERS	MULTIFUNCTION_PRINTER	XEROX	
мфу с wifi	TECH.PRINTERS_SCANNERS	MULTIFUNCTION_PRINTER		
all in one printer	TECH.PRINTERS_SCANNERS	MULTIFUNCTION_PRINTER		
сканер документов	TECH.PRINTERS_SCANNERS	SCANNER		
планшетный сканер canon	TECH.PRINTERS_SCANNERS	SCANNER	CANON	
fujitsu scansnap ix1600	TECH.PRINTERS_SCANNERS	SCANNER	FUJITSU	
сканер фото epson	TECH.PRINTERS_SCANNERS	SCANNER	EPSON	
портативный сканер документов	TECH.PRINTERS_SCANNERS	SCANNER		
film scanner	TECH.PRINTERS_SCANNERS	SCANNER		
сканер с автоподатчиком	TECH.PRINTERS_SCANNERS	SCANNER		
kodak scanmate	TECH.PRINTERS_SCANNERS	SCANNER		
plustek opticbook	TECH.PRINTERS_SCANNERS	SCANNER		
сканер a4	TECH.PRINTERS_SCANNERS	SCANNER		
принтер этикеток	TECH.PRINTERS_SCANNERS	LABEL_PRINTER		
термопринтер этикеток	TECH.PRINTERS_SCANNERS	LABEL_PRINTER		
zebra zd421	TECH.PRINTERS_SCANNERS	LABEL_PRINTER	ZEBRA	
brother ql 800	TECH.PRINTERS_SCANNERS	LABEL_PRINTER	BROTHER	
dymo labelwriter 450	TECH.PRINTERS_SCANNERS	LABEL_PRINTER	DYMO	
