printer_scanner_type	attribute_code	usage	required_level	ui_surface
PRINTER	print_technology	facet_or_detail	T1	primary
PRINTER	color_printing	facet_or_detail	T2	expanded
PRINTER	paper_format	facet_or_detail	T2	expanded
PRINTER	duplex_printing	facet_or_detail	T2	expanded
PRINTER	connectivity	facet_or_detail	T2	primary
PRINTER	print_speed_ppm	facet_or_detail	T2	expanded
PRINTER	tank_system	facet_or_detail	T2	expanded
MULTIFUNCTION_PRINTER	print_technology	facet_or_detail	T1	primary
MULTIFUNCTION_PRINTER	color_printing	facet_or_detail	T2	expanded
MULTIFUNCTION_PRINTER	paper_format	facet_or_detail	T2	expanded
MULTIFUNCTION_PRINTER	duplex_printing	facet_or_detail	T2	expanded
MULTIFUNCTION_PRINTER	auto_document_feeder	facet_or_detail	T2	expanded
MULTIFUNCTION_PRINTER	scanner_type	facet_or_detail	T1	expanded
MULTIFUNCTION_PRINTER	connectivity	facet_or_detail	T2	primary
SCANNER	scanner_type	facet_or_detail	T1	expanded
SCANNER	paper_format	facet_or_detail	T2	expanded
SCANNER	scan_resolution_dpi	facet_or_detail	T2	expanded
SCANNER	auto_document_feeder	facet_or_detail	T2	expanded
SCANNER	connectivity	facet_or_detail	T2	primary
SCANNER	portable	facet_or_detail	T2	expanded
LABEL_PRINTER	print_technology	facet_or_detail	T1	primary
LABEL_PRINTER	label_width_mm	facet_or_detail	T2	expanded
LABEL_PRINTER	barcode_label_support	facet_or_detail	T2	expanded
LABEL_PRINTER	cutter_type	facet_or_detail	T2	expanded
LABEL_PRINTER	connectivity	facet_or_detail	T2	primary
LABEL_PRINTER	media_type_supported	facet_or_detail	T2	expanded
INK_CARTRIDGE	cartridge_type	facet_or_detail	T1	expanded
INK_CARTRIDGE	toner_color	facet_or_detail	T2	expanded
INK_CARTRIDGE	compatible_printer_brand	facet_or_detail	T2	primary
INK_CARTRIDGE	compatible_printer_model_text	facet_or_detail	T2	expanded
INK_CARTRIDGE	yield_pages	facet_or_detail	T2	expanded
INK_CARTRIDGE	original_compatible_status	facet_or_detail	T2	expanded
TONER_CARTRIDGE	cartridge_type	facet_or_detail	T1	expanded
TONER_CARTRIDGE	toner_color	facet_or_detail	T2	expanded
TONER_CARTRIDGE	compatible_printer_brand	facet_or_detail	T2	primary
TONER_CARTRIDGE	compatible_printer_model_text	facet_or_detail	T2	expanded
TONER_CARTRIDGE	yield_pages	facet_or_detail	T2	expanded
TONER_CARTRIDGE	original_compatible_status	facet_or_detail	T2	expanded
PRINTER_ACCESSORY	accessory_subtype	facet_or_detail	T1	expanded
PRINTER_ACCESSORY	compatible_printer_brand	facet_or_detail	T2	primary
PRINTER_ACCESSORY	compatible_printer_model_text	facet_or_detail	T2	expanded
PRINTER_ACCESSORY	condition	facet_or_detail	T2	expanded
PRINTER_ACCESSORY	brand	facet_or_detail	T2	expanded
