alias	brand	model_name_text	target_category	confidence	note
laserjetprom404dn	HP	LaserJet Pro M404dn	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
laser jet pro m404dn	HP	LaserJet Pro M404dn	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
hp laserjet pro m404dn	HP	LaserJet Pro M404dn	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
laserjet pro m404dn	HP	LaserJet Pro M404dn	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
laserjet pro mfp m428fdw	HP	LaserJet Pro MFP M428fdw	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
laser jet pro mfp m428fdw	HP	LaserJet Pro MFP M428fdw	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
laserjetpromfpm428fdw	HP	LaserJet Pro MFP M428fdw	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
hp laserjet pro mfp m428fdw	HP	LaserJet Pro MFP M428fdw	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
hp officejet pro 9010e	HP	OfficeJet Pro 9010e	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
officejet pro 9010e	HP	OfficeJet Pro 9010e	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
officejetpro9010e	HP	OfficeJet Pro 9010e	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
hp smart tank 515	HP	Smart Tank 515	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
smarttank515	HP	Smart Tank 515	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
smart tank 515	HP	Smart Tank 515	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
deskjet2720e	HP	DeskJet 2720e	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
deskjet 2720e	HP	DeskJet 2720e	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
hp deskjet 2720e	HP	DeskJet 2720e	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
pixmag3411	CANON	PIXMA G3411	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
pixma g3411	CANON	PIXMA G3411	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
canon pixma g3411	CANON	PIXMA G3411	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
pixma g640	CANON	PIXMA G640	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
canon pixma g640	CANON	PIXMA G640	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
pixmag640	CANON	PIXMA G640	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
i-sensys lbp6030b	CANON	i-SENSYS LBP6030B	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
canon i-sensys lbp6030b	CANON	i-SENSYS LBP6030B	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
i sensys lbp6030b	CANON	i-SENSYS LBP6030B	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
i-sensyslbp6030b	CANON	i-SENSYS LBP6030B	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
i-sensysmf3010	CANON	i-SENSYS MF3010	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
canon i-sensys mf3010	CANON	i-SENSYS MF3010	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
i-sensys mf3010	CANON	i-SENSYS MF3010	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
i sensys mf3010	CANON	i-SENSYS MF3010	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
canoscan lide 400	CANON	CanoScan LiDE 400	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
canoscanlide400	CANON	CanoScan LiDE 400	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
