seed_id	categoryCode	printer_scanner_type	brand	family	model_name_text	print_technology	mono_color	seed_scope	notes
PRS0001	TECH.PRINTERS_SCANNERS	PRINTER	HP	LASERJET	LaserJet Pro M404dn	LASER	MONOCHROME	head_representative	head value only; not full registry
PRS0002	TECH.PRINTERS_SCANNERS	MULTIFUNCTION_PRINTER	HP	LASERJET	LaserJet Pro MFP M428fdw	LASER	MONOCHROME	head_representative	head value only; not full registry
PRS0003	TECH.PRINTERS_SCANNERS	MULTIFUNCTION_PRINTER	HP	OFFICEJET	OfficeJet Pro 9010e	INKJET	COLOR	head_representative	head value only; not full registry
PRS0004	TECH.PRINTERS_SCANNERS	MULTIFUNCTION_PRINTER	HP	SMART_TANK	Smart Tank 515	INKJET	COLOR	head_representative	head value only; not full registry
PRS0005	TECH.PRINTERS_SCANNERS	MULTIFUNCTION_PRINTER	HP	DESKJET	DeskJet 2720e	INKJET	COLOR	head_representative	head value only; not full registry
PRS0006	TECH.PRINTERS_SCANNERS	MULTIFUNCTION_PRINTER	CANON	PIXMA	PIXMA G3411	INKJET	COLOR	head_representative	head value only; not full registry
PRS0007	TECH.PRINTERS_SCANNERS	PRINTER	CANON	PIXMA	PIXMA G640	PHOTO_INKJET	COLOR	head_representative	head value only; not full registry
PRS0008	TECH.PRINTERS_SCANNERS	PRINTER	CANON	I_SENSYS	i-SENSYS LBP6030B	LASER	MONOCHROME	head_representative	head value only; not full registry
PRS0009	TECH.PRINTERS_SCANNERS	MULTIFUNCTION_PRINTER	CANON	I_SENSYS	i-SENSYS MF3010	LASER	MONOCHROME	head_representative	head value only; not full registry
PRS0010	TECH.PRINTERS_SCANNERS	SCANNER	CANON	CANO_SCAN	CanoScan LiDE 400			head_representative	head value only; not full registry
PRS0011	TECH.PRINTERS_SCANNERS	MULTIFUNCTION_PRINTER	EPSON	ECOTANK	EcoTank L3250	INKJET	COLOR	head_representative	head value only; not full registry
PRS0012	TECH.PRINTERS_SCANNERS	PRINTER	EPSON	ECOTANK	EcoTank L8050	PHOTO_INKJET	COLOR	head_representative	head value only; not full registry
