attribute_code	value_code	label_ru	usage_scope	status
printer_scanner_type	PRINTER	Принтер	head	active
printer_scanner_type	MULTIFUNCTION_PRINTER	МФУ	head	active
printer_scanner_type	SCANNER	Сканер	head	active
printer_scanner_type	LABEL_PRINTER	Принтер этикеток	head	active
printer_scanner_type	INK_CARTRIDGE	Струйный картридж	head	active
printer_scanner_type	TONER_CARTRIDGE	Тонер / картридж для лазерного принтера	head	active
printer_scanner_type	PRINTER_ACCESSORY	Аксессуар для принтера/сканера	head	active
print_technology	INKJET	Струйная	head	active
print_technology	LASER	Лазерная	head	active
print_technology	LED	LED-печать	head	active
print_technology	THERMAL	Термопечать	head	active
print_technology	DYE_SUBLIMATION	Сублимационная	head	active
print_technology	DOT_MATRIX	Матричная	head	active
print_technology	SOLID_INK	Твердочернильная	head	active
print_technology	PHOTO_INKJET	Фотоструйная	head	active
device_function	PRINT	Print	head	active
device_function	SCAN	Scan	head	active
device_function	COPY	Copy	head	active
device_function	FAX	Fax	head	active
device_function	DUPLEX_SCAN	Duplex Scan	head	active
device_function	PHOTO_PRINT	Photo Print	head	active
device_function	LABEL_PRINT	Label Print	head	active
mono_color	MONOCHROME	Monochrome	head	active
mono_color	COLOR	Color	head	active
paper_format	A0	A0	head	active
paper_format	A1	A1	head	active
paper_format	A2	A2	head	active
paper_format	A3	A3	head	active
paper_format	A4	A4	head	active
paper_format	A5	A5	head	active
paper_format	A6	A6	head	active
paper_format	LETTER	Letter	head	active
paper_format	LEGAL	Legal	head	active
paper_format	PHOTO_10X15	Photo 10X15	head	active
paper_format	PHOTO_A4	Photo A4	head	active
paper_format	LABEL_ROLL	Label Roll	head	active
paper_format	ENVELOPE	Envelope	head	active
paper_format	RECEIPT_ROLL	Receipt Roll	head	active
paper_format	CARD	Card	head	active
paper_format	POSTCARD	Postcard	head	active
duplex_printing	NO_DUPLEX	No Duplex	head	active
duplex_printing	MANUAL_DUPLEX	Manual Duplex	head	active
duplex_printing	AUTO_DUPLEX	Auto Duplex	head	active
connectivity	USB	Usb	head	active
connectivity	USB_C	Usb C	head	active
connectivity	WIFI	Wifi	head	active
connectivity	WIFI_DIRECT	Wifi Direct	head	active
connectivity	ETHERNET	Ethernet	head	active
connectivity	BLUETOOTH	Bluetooth	head	active
connectivity	NFC	Nfc	head	active
connectivity	CLOUD_PRINT	Cloud Print	head	active
connectivity	AIRPRINT	Airprint	head	active
connectivity	MOPRIA	Mopria	head	active
connectivity	PARALLEL_PORT	Parallel Port	head	active
tank_system	CARTRIDGE	Cartridge	head	active
tank_system	INK_TANK	Ink Tank	head	active
tank_system	TONER	Toner	head	active
tank_system	REFILLABLE_TANK	Refillable Tank	head	active
tank_system	THERMAL_ROLL	Thermal Roll	head	active
tank_system	RIBBON	Ribbon	head	active
tank_system	UNKNOWN	Unknown	head	active
scanner_type	FLATBED	Flatbed	head	active
scanner_type	SHEETFED	Sheetfed	head	active
scanner_type	PORTABLE_SCANNER	Portable Scanner	head	active
scanner_type	FILM_SCANNER	Film Scanner	head	active
scanner_type	DOCUMENT_SCANNER	Document Scanner	head	active
scanner_type	BOOK_SCANNER	Book Scanner	head	active
scanner_type	PHOTO_SCANNER	Photo Scanner	head	active
scanner_type	BARCODE_SCANNER	Barcode Scanner	head	active
cutter_type	NO_CUTTER	No Cutter	head	active
cutter_type	MANUAL_CUTTER	Manual Cutter	head	active
cutter_type	AUTO_CUTTER	Auto Cutter	head	active
cartridge_type	INK_CARTRIDGE	Ink Cartridge	head	active
cartridge_type	TONER_CARTRIDGE	Toner Cartridge	head	active
cartridge_type	DRUM_UNIT	Drum Unit	head	active
cartridge_type	WASTE_TONER_BOX	Waste Toner Box	head	active
cartridge_type	MAINTENANCE_BOX	Maintenance Box	head	active
cartridge_type	PRINTHEAD	Printhead	head	active
cartridge_type	RIBBON	Ribbon	head	active
cartridge_type	LABEL_ROLL	Label Roll	head	active
