alias	normalized_to	target_type	locale	confidence	guard_notes
умная колонка	smart_home_type=SMART_SPEAKER	SMART_SPEAKER	ru	0.9	
яндекс станция	smart_home_type=SMART_SPEAKER	SMART_SPEAKER	ru	0.9	
echo dot	smart_home_type=SMART_SPEAKER	SMART_SPEAKER	ru	0.9	
homepod	smart_home_type=SMART_SPEAKER	SMART_SPEAKER	ru	0.9	
умный дисплей	smart_home_type=SMART_DISPLAY	SMART_DISPLAY	ru	0.9	
nest hub	smart_home_type=SMART_DISPLAY	SMART_DISPLAY	ru	0.9	
echo show	smart_home_type=SMART_DISPLAY	SMART_DISPLAY	ru	0.9	
умная лампа	smart_home_type=SMART_LIGHT	SMART_LIGHT	ru	0.9	
philips hue	smart_home_type=SMART_LIGHT	SMART_LIGHT	ru	0.9	
умная лента	smart_home_type=SMART_LIGHT	SMART_LIGHT	ru	0.9	
умная розетка	smart_home_type=SMART_PLUG	SMART_PLUG	ru	0.9	
wifi розетка	smart_home_type=SMART_PLUG	SMART_PLUG	ru	0.9	
умный выключатель	smart_home_type=SMART_SWITCH	SMART_SWITCH	ru	0.9	
реле sonoff	smart_home_type=SMART_SWITCH	SMART_SWITCH	ru	0.9	
датчик открытия	smart_home_type=SMART_SENSOR	SMART_SENSOR	ru	0.9	
датчик движения	smart_home_type=SMART_SENSOR	SMART_SENSOR	ru	0.9	
датчик протечки	smart_home_type=SMART_SENSOR	SMART_SENSOR	ru	0.9	
камера видеонаблюдения	smart_home_type=SECURITY_CAMERA	SECURITY_CAMERA	ru	0.9	
ip камера	smart_home_type=SECURITY_CAMERA	SECURITY_CAMERA	ru	0.9	
видеозвонок	smart_home_type=VIDEO_DOORBELL	VIDEO_DOORBELL	ru	0.9	
умный дверной звонок	smart_home_type=VIDEO_DOORBELL	VIDEO_DOORBELL	ru	0.9	
умный замок	smart_home_type=SMART_LOCK	SMART_LOCK	ru	0.9	
nuki lock	smart_home_type=SMART_LOCK	SMART_LOCK	ru	0.9	
умный термостат	smart_home_type=SMART_THERMOSTAT	SMART_THERMOSTAT	ru	0.9	
термоголовка	smart_home_type=SMART_THERMOSTAT	SMART_THERMOSTAT	ru	0.9	
zigbee хаб	smart_home_type=HOME_HUB	HOME_HUB	ru	0.9	
хаб умного дома	smart_home_type=HOME_HUB	HOME_HUB	ru	0.9	
умная сирена	smart_home_type=ALARM_SIREN	ALARM_SIREN	ru	0.9	
комплект умного дома	smart_home_type=AUTOMATION_KIT	AUTOMATION_KIT	ru	0.9	
google nest	brand=GOOGLE_NEST	BRAND	ru	0.86	brand alias
amazon echo ring	brand=AMAZON_ECHO_RING	BRAND	ru	0.86	brand alias
apple homepod	brand=APPLE_HOMEPOD	BRAND	ru	0.86	brand alias
xiaomi mi	brand=XIAOMI_MI	BRAND	ru	0.86	brand alias
aqara	brand=AQARA	BRAND	ru	0.86	brand alias
philips hue	brand=PHILIPS_HUE	BRAND	ru	0.86	brand alias
tp link tapo kasa	brand=TP_LINK_TAPO_KASA	BRAND	ru	0.86	brand alias
samsung smartthings	brand=SAMSUNG_SMARTTHINGS	BRAND	ru	0.86	brand alias
ikea dirigera	brand=IKEA_DIRIGERA	BRAND	ru	0.86	brand alias
tuya smart life	brand=TUYA_SMART_LIFE	BRAND	ru	0.86	brand alias
sonoff	brand=SONOFF	BRAND	ru	0.86	brand alias
shelly	brand=SHELLY	BRAND	ru	0.86	brand alias
meross	brand=MEROSS	BRAND	ru	0.86	brand alias
eufy	brand=EUFY	BRAND	ru	0.86	brand alias
arlo	brand=ARLO	BRAND	ru	0.86	brand alias
reolink	brand=REOLINK	BRAND	ru	0.86	brand alias
ezviz	brand=EZVIZ	BRAND	ru	0.86	brand alias
hikvision	brand=HIKVISION	BRAND	ru	0.86	brand alias
dahua	brand=DAHUA	BRAND	ru	0.86	brand alias
imou	brand=IMOU	BRAND	ru	0.86	brand alias
wyze	brand=WYZE	BRAND	ru	0.86	brand alias
blink	brand=BLINK	BRAND	ru	0.86	brand alias
netatmo	brand=NETATMO	BRAND	ru	0.86	brand alias
tado	brand=TADO	BRAND	ru	0.86	brand alias
honeywell home	brand=HONEYWELL_HOME	BRAND	ru	0.86	brand alias
ecobee	brand=ECOBEE	BRAND	ru	0.86	brand alias
yale	brand=YALE	BRAND	ru	0.86	brand alias
august	brand=AUGUST	BRAND	ru	0.86	brand alias
nuki	brand=NUKI	BRAND	ru	0.86	brand alias
switchbot	brand=SWITCHBOT	BRAND	ru	0.86	brand alias
bosch smart home	brand=BOSCH_SMART_HOME	BRAND	ru	0.86	brand alias
govee	brand=GOVEE	BRAND	ru	0.86	brand alias
yeelight	brand=YEELIGHT	BRAND	ru	0.86	brand alias
lifx	brand=LIFX	BRAND	ru	0.86	brand alias
yandex	brand=YANDEX	BRAND	ru	0.86	brand alias
sber	brand=SBER	BRAND	ru	0.86	brand alias
vk capsule	brand=VK_CAPSULE	BRAND	ru	0.86	brand alias
bluetooth колонка	TECH.AUDIO	NEGATIVE_ROUTE	ru	0.95	audio
web камера	TECH.COMPUTER_ACCESSORIES	NEGATIVE_ROUTE	ru	0.95	webcam
видеорегистратор	TECH.CAR_ELECTRONICS_GPS	NEGATIVE_ROUTE	ru	0.95	dashcam
роутер wifi	TECH.NETWORKING	NEGATIVE_ROUTE	ru	0.95	router
экшн камера	TECH.CAMERAS_DRONES	NEGATIVE_ROUTE	ru	0.95	action cam
