query	expected_categoryCode	expected_smart_home_type	expected_route	must_extract	negative_reason
умная колонка алиса	TECH.SMART_HOME_SECURITY	SMART_SPEAKER	TECH.SMART_HOME_SECURITY	SMART_SPEAKER	
яндекс станция мини	TECH.SMART_HOME_SECURITY	SMART_SPEAKER	TECH.SMART_HOME_SECURITY	SMART_SPEAKER	
amazon echo dot	TECH.SMART_HOME_SECURITY	SMART_SPEAKER	TECH.SMART_HOME_SECURITY	SMART_SPEAKER	
homepod mini	TECH.SMART_HOME_SECURITY	SMART_SPEAKER	TECH.SMART_HOME_SECURITY	SMART_SPEAKER	
колонка с голосовым помощником	TECH.SMART_HOME_SECURITY	SMART_SPEAKER	TECH.SMART_HOME_SECURITY	SMART_SPEAKER	
google nest hub	TECH.SMART_HOME_SECURITY	SMART_DISPLAY	TECH.SMART_HOME_SECURITY	SMART_DISPLAY	
умный дисплей echo show	TECH.SMART_HOME_SECURITY	SMART_DISPLAY	TECH.SMART_HOME_SECURITY	SMART_DISPLAY	
смарт дисплей для кухни	TECH.SMART_HOME_SECURITY	SMART_DISPLAY	TECH.SMART_HOME_SECURITY	SMART_DISPLAY	
echo show 8	TECH.SMART_HOME_SECURITY	SMART_DISPLAY	TECH.SMART_HOME_SECURITY	SMART_DISPLAY	
умная лампа e27	TECH.SMART_HOME_SECURITY	SMART_LIGHT	TECH.SMART_HOME_SECURITY	SMART_LIGHT	
philips hue gu10	TECH.SMART_HOME_SECURITY	SMART_LIGHT	TECH.SMART_HOME_SECURITY	SMART_LIGHT	
yeelight smart led bulb	TECH.SMART_HOME_SECURITY	SMART_LIGHT	TECH.SMART_HOME_SECURITY	SMART_LIGHT	
умная светодиодная лента	TECH.SMART_HOME_SECURITY	SMART_LIGHT	TECH.SMART_HOME_SECURITY	SMART_LIGHT	
rgb лампа zigbee	TECH.SMART_HOME_SECURITY	SMART_LIGHT	TECH.SMART_HOME_SECURITY	SMART_LIGHT	
умная розетка wifi	TECH.SMART_HOME_SECURITY	SMART_PLUG	TECH.SMART_HOME_SECURITY	SMART_PLUG	
