smart_home_type	attribute_code	coverage_role	requiredness	notes
SMART_SPEAKER	smart_home_type	core	T0	common
SMART_SPEAKER	brand	core	T0	common
SMART_SPEAKER	model_name_text	core	T0	common
SMART_SPEAKER	condition	core	T0	common
SMART_SPEAKER	protocol	core	T0	common
SMART_SPEAKER	ecosystem	core	T0	common
SMART_SPEAKER	power_source	core	T0	common
SMART_DISPLAY	smart_home_type	core	T0	common
SMART_DISPLAY	brand	core	T0	common
SMART_DISPLAY	model_name_text	core	T0	common
SMART_DISPLAY	condition	core	T0	common
SMART_DISPLAY	protocol	core	T0	common
SMART_DISPLAY	ecosystem	core	T0	common
SMART_DISPLAY	power_source	core	T0	common
SMART_LIGHT	smart_home_type	core	T0	common
SMART_LIGHT	brand	core	T0	common
SMART_LIGHT	model_name_text	core	T0	common
SMART_LIGHT	condition	core	T0	common
SMART_LIGHT	protocol	core	T0	common
SMART_LIGHT	ecosystem	core	T0	common
SMART_LIGHT	power_source	core	T0	common
SMART_PLUG	smart_home_type	core	T0	common
SMART_PLUG	brand	core	T0	common
SMART_PLUG	model_name_text	core	T0	common
SMART_PLUG	condition	core	T0	common
SMART_PLUG	protocol	core	T0	common
SMART_PLUG	ecosystem	core	T0	common
SMART_PLUG	power_source	core	T0	common
SMART_SWITCH	smart_home_type	core	T0	common
SMART_SWITCH	brand	core	T0	common
SMART_SWITCH	model_name_text	core	T0	common
SMART_SWITCH	condition	core	T0	common
SMART_SWITCH	protocol	core	T0	common
SMART_SWITCH	ecosystem	core	T0	common
SMART_SWITCH	power_source	core	T0	common
SMART_SENSOR	smart_home_type	core	T0	common
SMART_SENSOR	brand	core	T0	common
SMART_SENSOR	model_name_text	core	T0	common
SMART_SENSOR	condition	core	T0	common
SMART_SENSOR	protocol	core	T0	common
SMART_SENSOR	ecosystem	core	T0	common
SMART_SENSOR	power_source	core	T0	common
SECURITY_CAMERA	smart_home_type	core	T0	common
SECURITY_CAMERA	brand	core	T0	common
SECURITY_CAMERA	model_name_text	core	T0	common
SECURITY_CAMERA	condition	core	T0	common
SECURITY_CAMERA	protocol	core	T0	common
SECURITY_CAMERA	ecosystem	core	T0	common
SECURITY_CAMERA	power_source	core	T0	common
VIDEO_DOORBELL	smart_home_type	core	T0	common
VIDEO_DOORBELL	brand	core	T0	common
VIDEO_DOORBELL	model_name_text	core	T0	common
VIDEO_DOORBELL	condition	core	T0	common
VIDEO_DOORBELL	protocol	core	T0	common
VIDEO_DOORBELL	ecosystem	core	T0	common
VIDEO_DOORBELL	power_source	core	T0	common
SMART_LOCK	smart_home_type	core	T0	common
SMART_LOCK	brand	core	T0	common
SMART_LOCK	model_name_text	core	T0	common
SMART_LOCK	condition	core	T0	common
SMART_LOCK	protocol	core	T0	common
SMART_LOCK	ecosystem	core	T0	common
SMART_LOCK	power_source	core	T0	common
SMART_THERMOSTAT	smart_home_type	core	T0	common
SMART_THERMOSTAT	brand	core	T0	common
SMART_THERMOSTAT	model_name_text	core	T0	common
SMART_THERMOSTAT	condition	core	T0	common
SMART_THERMOSTAT	protocol	core	T0	common
SMART_THERMOSTAT	ecosystem	core	T0	common
SMART_THERMOSTAT	power_source	core	T0	common
HOME_HUB	smart_home_type	core	T0	common
HOME_HUB	brand	core	T0	common
HOME_HUB	model_name_text	core	T0	common
HOME_HUB	condition	core	T0	common
HOME_HUB	protocol	core	T0	common
HOME_HUB	ecosystem	core	T0	common
HOME_HUB	power_source	core	T0	common
ALARM_SIREN	smart_home_type	core	T0	common
ALARM_SIREN	brand	core	T0	common
ALARM_SIREN	model_name_text	core	T0	common
ALARM_SIREN	condition	core	T0	common
ALARM_SIREN	protocol	core	T0	common
ALARM_SIREN	ecosystem	core	T0	common
ALARM_SIREN	power_source	core	T0	common
AUTOMATION_KIT	smart_home_type	core	T0	common
AUTOMATION_KIT	brand	core	T0	common
AUTOMATION_KIT	model_name_text	core	T0	common
AUTOMATION_KIT	condition	core	T0	common
AUTOMATION_KIT	protocol	core	T0	common
AUTOMATION_KIT	ecosystem	core	T0	common
AUTOMATION_KIT	power_source	core	T0	common
SMART_SPEAKER	voice_assistant_support	type_specific	T1/T2	shown when relevant
SMART_DISPLAY	screen_size_in	type_specific	T1/T2	shown when relevant
SMART_DISPLAY	video_resolution	type_specific	T1/T2	shown when relevant
SMART_LIGHT	bulb_base	type_specific	T1/T2	shown when relevant
SMART_LIGHT	brightness_lumen	type_specific	T1/T2	shown when relevant
SMART_PLUG	max_load_watt	type_specific	T1/T2	shown when relevant
SMART_PLUG	energy_monitoring	type_specific	T1/T2	shown when relevant
SMART_SWITCH	switch_type	type_specific	T1/T2	shown when relevant
SMART_SWITCH	max_load_watt	type_specific	T1/T2	shown when relevant
SMART_SENSOR	sensor_kind	type_specific	T1/T2	shown when relevant
SECURITY_CAMERA	video_resolution	type_specific	T1/T2	shown when relevant
SECURITY_CAMERA	night_vision	type_specific	T1/T2	shown when relevant
SECURITY_CAMERA	storage_mode	type_specific	T1/T2	shown when relevant
VIDEO_DOORBELL	video_resolution	type_specific	T1/T2	shown when relevant
VIDEO_DOORBELL	two_way_audio	type_specific	T1/T2	shown when relevant
SMART_LOCK	lock_type	type_specific	T1/T2	shown when relevant
SMART_LOCK	keypad	type_specific	T1/T2	shown when relevant
SMART_THERMOSTAT	thermostat_type	type_specific	T1/T2	shown when relevant
SMART_THERMOSTAT	hvac_compatibility	type_specific	T1/T2	shown when relevant
HOME_HUB	hub_protocols	type_specific	T1/T2	shown when relevant
ALARM_SIREN	siren_type	type_specific	T1/T2	shown when relevant
ALARM_SIREN	alarm_volume_db	type_specific	T1/T2	shown when relevant
AUTOMATION_KIT	automation_use_case	type_specific	T1/T2	shown when relevant
AUTOMATION_KIT	device_count_in_kit	type_specific	T1/T2	shown when relevant
