brand	model_name	alias	locale	confidence	notes
GOOGLE_NEST	Nest Hub 2nd Gen	Nest Hub 2nd Gen	ru	0.86	SMART_DISPLAY
GOOGLE_NEST	Nest Hub 2nd Gen	nest hub 2nd gen	ru	0.86	SMART_DISPLAY
GOOGLE_NEST	Nest Audio	Nest Audio	ru	0.86	SMART_SPEAKER
GOOGLE_NEST	Nest Audio	nest audio	ru	0.86	SMART_SPEAKER
GOOGLE_NEST	Nest Cam Indoor	Nest Cam Indoor	ru	0.86	SECURITY_CAMERA
GOOGLE_NEST	Nest Cam Indoor	nest cam indoor	ru	0.86	SECURITY_CAMERA
GOOGLE_NEST	Nest Doorbell	Nest Doorbell	ru	0.86	VIDEO_DOORBELL
GOOGLE_NEST	Nest Doorbell	nest doorbell	ru	0.86	VIDEO_DOORBELL
AMAZON_ECHO_RING	Echo Dot	Echo Dot	ru	0.86	SMART_SPEAKER
AMAZON_ECHO_RING	Echo Dot	echo dot	ru	0.86	SMART_SPEAKER
AMAZON_ECHO_RING	Echo Show 8	Echo Show 8	ru	0.86	SMART_DISPLAY
AMAZON_ECHO_RING	Echo Show 8	echo show 8	ru	0.86	SMART_DISPLAY
AMAZON_ECHO_RING	Ring Video Doorbell	Ring Video Doorbell	ru	0.86	VIDEO_DOORBELL
AMAZON_ECHO_RING	Ring Video Doorbell	ring video doorbell	ru	0.86	VIDEO_DOORBELL
APPLE_HOMEPOD	HomePod mini	HomePod mini	ru	0.86	SMART_SPEAKER
APPLE_HOMEPOD	HomePod mini	homepod mini	ru	0.86	SMART_SPEAKER
XIAOMI_MI	Xiaomi Smart Camera C300	Xiaomi Smart Camera C300	ru	0.86	SECURITY_CAMERA
XIAOMI_MI	Xiaomi Smart Camera C300	xiaomi smart camera c300	ru	0.86	SECURITY_CAMERA
XIAOMI_MI	Xiaomi Smart Plug 2	Xiaomi Smart Plug 2	ru	0.86	SMART_PLUG
XIAOMI_MI	Xiaomi Smart Plug 2	xiaomi smart plug 2	ru	0.86	SMART_PLUG
AQARA	Aqara Hub M3	Aqara Hub M3	ru	0.86	HOME_HUB
AQARA	Aqara Hub M3	aqara hub m3	ru	0.86	HOME_HUB
AQARA	Aqara Door and Window Sensor P2	Aqara Door and Window Sensor P2	ru	0.86	SMART_SENSOR
AQARA	Aqara Door and Window Sensor P2	aqara door and window sensor p2	ru	0.86	SMART_SENSOR
AQARA	Aqara Presence Sensor FP2	Aqara Presence Sensor FP2	ru	0.86	SMART_SENSOR
AQARA	Aqara Presence Sensor FP2	aqara presence sensor fp2	ru	0.86	SMART_SENSOR
AQARA	Aqara Smart Lock U200	Aqara Smart Lock U200	ru	0.86	SMART_LOCK
AQARA	Aqara Smart Lock U200	aqara smart lock u200	ru	0.86	SMART_LOCK
PHILIPS_HUE	Hue Bridge	Hue Bridge	ru	0.86	HOME_HUB
PHILIPS_HUE	Hue Bridge	hue bridge	ru	0.86	HOME_HUB
PHILIPS_HUE	Hue White and Color Ambiance E27	Hue White and Color Ambiance E27	ru	0.86	SMART_LIGHT
PHILIPS_HUE	Hue White and Color Ambiance E27	hue white and color ambiance e27	ru	0.86	SMART_LIGHT
TP_LINK_TAPO_KASA	Tapo C200	Tapo C200	ru	0.86	SECURITY_CAMERA
TP_LINK_TAPO_KASA	Tapo C200	tapo c200	ru	0.86	SECURITY_CAMERA
TP_LINK_TAPO_KASA	Tapo C210	Tapo C210	ru	0.86	SECURITY_CAMERA
TP_LINK_TAPO_KASA	Tapo C210	tapo c210	ru	0.86	SECURITY_CAMERA
TP_LINK_TAPO_KASA	Tapo P110	Tapo P110	ru	0.86	SMART_PLUG
TP_LINK_TAPO_KASA	Tapo P110	tapo p110	ru	0.86	SMART_PLUG
SAMSUNG_SMARTTHINGS	SmartThings Station	SmartThings Station	ru	0.86	HOME_HUB
SAMSUNG_SMARTTHINGS	SmartThings Station	smartthings station	ru	0.86	HOME_HUB
IKEA_DIRIGERA	IKEA Dirigera Hub	IKEA Dirigera Hub	ru	0.86	HOME_HUB
IKEA_DIRIGERA	IKEA Dirigera Hub	ikea dirigera hub	ru	0.86	HOME_HUB
SONOFF	Sonoff Basic R2	Sonoff Basic R2	ru	0.86	SMART_SWITCH
SONOFF	Sonoff Basic R2	sonoff basic r2	ru	0.86	SMART_SWITCH
SONOFF	Sonoff ZBMINI	Sonoff ZBMINI	ru	0.86	SMART_SWITCH
SONOFF	Sonoff ZBMINI	sonoff zbmini	ru	0.86	SMART_SWITCH
SHELLY	Shelly Plus 1	Shelly Plus 1	ru	0.86	SMART_SWITCH
SHELLY	Shelly Plus 1	shelly plus 1	ru	0.86	SMART_SWITCH
MEROSS	Meross Smart Wi-Fi Plug	Meross Smart Wi Fi Plug	ru	0.86	SMART_PLUG
MEROSS	Meross Smart Wi-Fi Plug	Meross Smart Wi-Fi Plug	ru	0.86	SMART_PLUG
MEROSS	Meross Smart Wi-Fi Plug	meross smart wi-fi plug	ru	0.86	SMART_PLUG
EUFY	EufyCam 2C	EufyCam 2C	ru	0.86	SECURITY_CAMERA
EUFY	EufyCam 2C	eufycam 2c	ru	0.86	SECURITY_CAMERA
EUFY	Eufy Video Doorbell 2K	Eufy Video Doorbell 2K	ru	0.86	VIDEO_DOORBELL
EUFY	Eufy Video Doorbell 2K	eufy video doorbell 2k	ru	0.86	VIDEO_DOORBELL
ARLO	Arlo Pro 4	Arlo Pro 4	ru	0.86	SECURITY_CAMERA
ARLO	Arlo Pro 4	arlo pro 4	ru	0.86	SECURITY_CAMERA
REOLINK	Reolink Argus 3 Pro	Reolink Argus 3 Pro	ru	0.86	SECURITY_CAMERA
REOLINK	Reolink Argus 3 Pro	reolink argus 3 pro	ru	0.86	SECURITY_CAMERA
REOLINK	Reolink RLC-810A	Reolink RLC 810A	ru	0.86	SECURITY_CAMERA
REOLINK	Reolink RLC-810A	Reolink RLC-810A	ru	0.86	SECURITY_CAMERA
REOLINK	Reolink RLC-810A	reolink rlc-810a	ru	0.86	SECURITY_CAMERA
EZVIZ	EZVIZ C6N	EZVIZ C6N	ru	0.86	SECURITY_CAMERA
EZVIZ	EZVIZ C6N	ezviz c6n	ru	0.86	SECURITY_CAMERA
NETATMO	Netatmo Smart Thermostat	Netatmo Smart Thermostat	ru	0.86	SMART_THERMOSTAT
NETATMO	Netatmo Smart Thermostat	netatmo smart thermostat	ru	0.86	SMART_THERMOSTAT
TADO	Tado Smart Thermostat V3+	Tado Smart Thermostat V3	ru	0.86	SMART_THERMOSTAT
TADO	Tado Smart Thermostat V3+	Tado Smart Thermostat V3+	ru	0.86	SMART_THERMOSTAT
TADO	Tado Smart Thermostat V3+	tado smart thermostat v3+	ru	0.86	SMART_THERMOSTAT
TADO	Tado Smart Radiator Thermostat	Tado Smart Radiator Thermostat	ru	0.86	SMART_THERMOSTAT
TADO	Tado Smart Radiator Thermostat	tado smart radiator thermostat	ru	0.86	SMART_THERMOSTAT
YALE	Yale Linus Smart Lock	Yale Linus Smart Lock	ru	0.86	SMART_LOCK
