alias	locale	target_attribute	target_value	match_type	priority	notes
ssd внутренний	ru	storage_type	INTERNAL_SSD	phrase	100	
внутренний ссд	ru	storage_type	INTERNAL_SSD	phrase	100	
m2 ssd	ru	storage_type	INTERNAL_SSD	phrase	100	
m.2 ssd	ru	storage_type	INTERNAL_SSD	phrase	100	
nvme ssd	ru	storage_type	INTERNAL_SSD	phrase	100	
sata ssd	ru	storage_type	INTERNAL_SSD	phrase	100	
твердотельный накопитель	ru	storage_type	INTERNAL_SSD	phrase	100	
hdd внутренний	ru	storage_type	INTERNAL_HDD	phrase	100	
жесткий диск внутренний	ru	storage_type	INTERNAL_HDD	phrase	100	
жёсткий диск 3.5	ru	storage_type	INTERNAL_HDD	phrase	100	
винчестер	ru	storage_type	INTERNAL_HDD	phrase	100	
жд для пк	ru	storage_type	INTERNAL_HDD	phrase	100	
внешний ssd	ru	storage_type	EXTERNAL_SSD	phrase	100	
портативный ssd	ru	storage_type	EXTERNAL_SSD	phrase	100	
external ssd	ru	storage_type	EXTERNAL_SSD	phrase	100	
ssd usb c	ru	storage_type	EXTERNAL_SSD	phrase	100	
ssd внешний	ru	storage_type	EXTERNAL_SSD	phrase	100	
внешний hdd	ru	storage_type	EXTERNAL_HDD	phrase	100	
external hdd	ru	storage_type	EXTERNAL_HDD	phrase	100	
портативный жесткий диск	ru	storage_type	EXTERNAL_HDD	phrase	100	
жесткий диск внешний	ru	storage_type	EXTERNAL_HDD	phrase	100	
флешка	ru	storage_type	USB_FLASH_DRIVE	phrase	100	
usb флешка	ru	storage_type	USB_FLASH_DRIVE	phrase	100	
флеш накопитель	ru	storage_type	USB_FLASH_DRIVE	phrase	100	
flash drive	ru	storage_type	USB_FLASH_DRIVE	phrase	100	
thumb drive	ru	storage_type	USB_FLASH_DRIVE	phrase	100	
карта памяти	ru	storage_type	MEMORY_CARD	phrase	100	
microsd	ru	storage_type	MEMORY_CARD	phrase	100	
micro sd	ru	storage_type	MEMORY_CARD	phrase	100	
sd карта	ru	storage_type	MEMORY_CARD	phrase	100	
cfexpress	ru	storage_type	MEMORY_CARD	phrase	100	
карта sd	ru	storage_type	MEMORY_CARD	phrase	100	
кардридер	ru	storage_type	CARD_READER	phrase	100	
card reader	ru	storage_type	CARD_READER	phrase	100	
ридер карт памяти	ru	storage_type	CARD_READER	phrase	100	
считыватель карт	ru	storage_type	CARD_READER	phrase	100	
nas	ru	storage_type	NAS	phrase	100	
сетевое хранилище	ru	storage_type	NAS	phrase	100	
сетевой накопитель	ru	storage_type	NAS	phrase	100	
nas сервер	ru	storage_type	NAS	phrase	100	
synology nas	ru	storage_type	NAS	phrase	100	
qnap nas	ru	storage_type	NAS	phrase	100	
корпус для ssd	ru	storage_type	STORAGE_ACCESSORY	phrase	100	
корпус для hdd	ru	storage_type	STORAGE_ACCESSORY	phrase	100	
hdd dock	ru	storage_type	STORAGE_ACCESSORY	phrase	100	
док для дисков	ru	storage_type	STORAGE_ACCESSORY	phrase	100	
салазки для ssd	ru	storage_type	STORAGE_ACCESSORY	phrase	100	
адаптер sata usb	ru	storage_type	STORAGE_ACCESSORY	phrase	100	
радиатор m2	ru	storage_type	STORAGE_ACCESSORY	phrase	100	
самсунг ssd	ru	brand	SAMSUNG	phrase	120	
samsung ssd	ru	brand	SAMSUNG	phrase	120	
samsung evo	ru	brand	SAMSUNG	phrase	120	
samsung pro	ru	brand	SAMSUNG	phrase	120	
wd	ru	brand	WESTERN_DIGITAL	phrase	120	
western digital	ru	brand	WESTERN_DIGITAL	phrase	120	
wd black	ru	brand	WESTERN_DIGITAL	phrase	120	
wd blue	ru	brand	WESTERN_DIGITAL	phrase	120	
wd red	ru	brand	WESTERN_DIGITAL	phrase	120	
seagate	ru	brand	SEAGATE	phrase	120	
сигейт	ru	brand	SEAGATE	phrase	120	
barracuda	ru	brand	SEAGATE	phrase	120	
ironwolf	ru	brand	SEAGATE	phrase	120	
exos	ru	brand	SEAGATE	phrase	120	
crucial	ru	brand	CRUCIAL	phrase	120	
крушал	ru	brand	CRUCIAL	phrase	120	
crucial mx500	ru	brand	CRUCIAL	phrase	120	
crucial p3	ru	brand	CRUCIAL	phrase	120	
kingston	ru	brand	KINGSTON	phrase	120	
кингстон	ru	brand	KINGSTON	phrase	120	
datatraveler	ru	brand	KINGSTON	phrase	120	
kc3000	ru	brand	KINGSTON	phrase	120	
nv2	ru	brand	KINGSTON	phrase	120	
sandisk	ru	brand	SANDISK	phrase	120	
сан диск	ru	brand	SANDISK	phrase	120	
sandisk extreme	ru	brand	SANDISK	phrase	120	
lexar	ru	brand	LEXAR	phrase	120	
лексар	ru	brand	LEXAR	phrase	120	
transcend	ru	brand	TRANSCEND	phrase	120	
трансенд	ru	brand	TRANSCEND	phrase	120	
adata	ru	brand	ADATA	phrase	120	
xpg	ru	brand	ADATA	phrase	120	
synology	ru	brand	SYNOLOGY	phrase	120	
синолоджи	ru	brand	SYNOLOGY	phrase	120	
qnap	ru	brand	QNAP	phrase	120	
кнап	ru	brand	QNAP	phrase	120	
toshiba	ru	brand	TOSHIBA	phrase	120	
тошиба	ru	brand	TOSHIBA	phrase	120	
nvme	ru	interface_type	NVME	phrase	90	
нвме	ru	interface_type	NVME	phrase	90	
nvm express	ru	interface_type	NVME	phrase	90	
gen4	ru	bus_protocol	PCIE_4_0	phrase	90	
pcie 4.0	ru	bus_protocol	PCIE_4_0	phrase	90	
pci-e 4	ru	bus_protocol	PCIE_4_0	phrase	90	
псиай 4	ru	bus_protocol	PCIE_4_0	phrase	90	
gen5	ru	bus_protocol	PCIE_5_0	phrase	90	
pcie 5.0	ru	bus_protocol	PCIE_5_0	phrase	90	
pci-e 5	ru	bus_protocol	PCIE_5_0	phrase	90	
псиай 5	ru	bus_protocol	PCIE_5_0	phrase	90	
2280	ru	form_factor	M2_2280	phrase	90	
m.2 2280	ru	form_factor	M2_2280	phrase	90	
м2 2280	ru	form_factor	M2_2280	phrase	90	
микросд	ru	memory_card_format	MICROSD	phrase	90	
micro sd	ru	memory_card_format	MICROSD	phrase	90	
microsd	ru	memory_card_format	MICROSD	phrase	90	
tf card	ru	memory_card_format	MICROSD	phrase	90	
u3	ru	speed_class	U3	phrase	85	
uhs u3	ru	speed_class	U3	phrase	85	
v30	ru	video_speed_class	V30	phrase	85	
video 30	ru	video_speed_class	V30	phrase	85	
128gb	ru	storage_capacity_gb	PARSE_CAPACITY	regex_or_normalizer	80	Handled by capacity parser.
256gb	ru	storage_capacity_gb	PARSE_CAPACITY	regex_or_normalizer	80	Handled by capacity parser.
512gb	ru	storage_capacity_gb	PARSE_CAPACITY	regex_or_normalizer	80	Handled by capacity parser.
1tb	ru	storage_capacity_gb	PARSE_CAPACITY	regex_or_normalizer	80	Handled by capacity parser.
2tb	ru	storage_capacity_gb	PARSE_CAPACITY	regex_or_normalizer	80	Handled by capacity parser.
4tb	ru	storage_capacity_gb	PARSE_CAPACITY	regex_or_normalizer	80	Handled by capacity parser.
8tb	ru	storage_capacity_gb	PARSE_CAPACITY	regex_or_normalizer	80	Handled by capacity parser.
128 гб	ru	storage_capacity_gb	PARSE_CAPACITY	regex_or_normalizer	80	Handled by capacity parser.
256 гб	ru	storage_capacity_gb	PARSE_CAPACITY	regex_or_normalizer	80	Handled by capacity parser.
512 гб	ru	storage_capacity_gb	PARSE_CAPACITY	regex_or_normalizer	80	Handled by capacity parser.
1 тб	ru	storage_capacity_gb	PARSE_CAPACITY	regex_or_normalizer	80	Handled by capacity parser.
2 тб	ru	storage_capacity_gb	PARSE_CAPACITY	regex_or_normalizer	80	Handled by capacity parser.
4 тб	ru	storage_capacity_gb	PARSE_CAPACITY	regex_or_normalizer	80	Handled by capacity parser.
