query	expected_categoryCode	expected_storage_type	expected_attrs	locale	priority	notes
ssd nvme 1tb	TECH.STORAGE_MEMORY	INTERNAL_SSD	storage_capacity_gb=1024	ru	100	
samsung 990 pro 2tb	TECH.STORAGE_MEMORY	INTERNAL_SSD	storage_capacity_gb=2048	ru	100	
m2 ssd 2280 512gb	TECH.STORAGE_MEMORY	INTERNAL_SSD	storage_capacity_gb=512	ru	100	
wd black sn850x 1tb	TECH.STORAGE_MEMORY	INTERNAL_SSD	storage_capacity_gb=1024	ru	100	
ssd sata 2.5 1tb	TECH.STORAGE_MEMORY	INTERNAL_SSD	storage_capacity_gb=1024	ru	100	
crucial mx500 500gb	TECH.STORAGE_MEMORY	INTERNAL_SSD		ru	100	
накопитель nvme gen4	TECH.STORAGE_MEMORY	INTERNAL_SSD		ru	100	
жесткий диск 4tb	TECH.STORAGE_MEMORY	INTERNAL_HDD		ru	100	
hdd 3.5 2tb	TECH.STORAGE_MEMORY	INTERNAL_HDD	storage_capacity_gb=2048	ru	100	
wd red plus 8tb	TECH.STORAGE_MEMORY	INTERNAL_HDD		ru	100	
seagate ironwolf 4tb	TECH.STORAGE_MEMORY	INTERNAL_HDD		ru	100	
hdd для nas 6tb	TECH.STORAGE_MEMORY	INTERNAL_HDD		ru	100	
жесткий диск для видеонаблюдения	TECH.STORAGE_MEMORY	INTERNAL_HDD		ru	100	
внешний ssd 1tb usb c	TECH.STORAGE_MEMORY	EXTERNAL_SSD	storage_capacity_gb=1024	ru	100	
samsung t7 1tb	TECH.STORAGE_MEMORY	EXTERNAL_SSD	storage_capacity_gb=1024	ru	100	
sandisk extreme portable ssd	TECH.STORAGE_MEMORY	EXTERNAL_SSD		ru	100	
portable ssd 2tb	TECH.STORAGE_MEMORY	EXTERNAL_SSD	storage_capacity_gb=2048	ru	100	
внешний ссд для macbook	TECH.STORAGE_MEMORY	EXTERNAL_SSD		ru	100	
внешний жесткий диск 2tb	TECH.STORAGE_MEMORY	EXTERNAL_HDD	storage_capacity_gb=2048	ru	100	
wd my passport 4tb	TECH.STORAGE_MEMORY	EXTERNAL_HDD		ru	100	
seagate expansion 5tb	TECH.STORAGE_MEMORY	EXTERNAL_HDD		ru	100	
toshiba canvio 2tb	TECH.STORAGE_MEMORY	EXTERNAL_HDD	storage_capacity_gb=2048	ru	100	
флешка 128гб	TECH.STORAGE_MEMORY	USB_FLASH_DRIVE		ru	100	
usb флешка type c	TECH.STORAGE_MEMORY	USB_FLASH_DRIVE		ru	100	
kingston datatraveler 64gb	TECH.STORAGE_MEMORY	USB_FLASH_DRIVE		ru	100	
