storage_type	attribute_code	role	facet_priority	required_for_publish	notes
INTERNAL_SSD	storage_type	T0	10	true	common facet
INTERNAL_SSD	brand	T0	20	true	common facet
INTERNAL_SSD	storage_capacity_gb	T0	30	true	common facet
INTERNAL_SSD	condition	T0	40	true	common facet
INTERNAL_SSD	interface_type	T0	50	false	common facet
INTERNAL_SSD	form_factor	T0	60	false	common facet
INTERNAL_SSD	price	T0	70	true	common facet
INTERNAL_SSD	bus_protocol	T1/T2	100	false	type-specific facet
INTERNAL_SSD	read_speed_mb_s	T1/T2	110	false	type-specific facet
INTERNAL_SSD	write_speed_mb_s	T1/T2	120	false	type-specific facet
INTERNAL_SSD	nand_type	T1/T2	130	false	type-specific facet
INTERNAL_SSD	dram_cache	T1/T2	140	false	type-specific facet
INTERNAL_SSD	endurance_tbw	T1/T2	150	false	type-specific facet
INTERNAL_SSD	health_status	T1/T2	160	false	type-specific facet
INTERNAL_HDD	storage_type	T0	10	true	common facet
INTERNAL_HDD	brand	T0	20	true	common facet
INTERNAL_HDD	storage_capacity_gb	T0	30	true	common facet
INTERNAL_HDD	condition	T0	40	true	common facet
INTERNAL_HDD	interface_type	T0	50	false	common facet
INTERNAL_HDD	form_factor	T0	60	false	common facet
INTERNAL_HDD	price	T0	70	true	common facet
INTERNAL_HDD	rpm	T1/T2	100	false	type-specific facet
INTERNAL_HDD	cache_mb	T1/T2	110	false	type-specific facet
INTERNAL_HDD	nas_grade	T1/T2	120	false	type-specific facet
INTERNAL_HDD	surveillance_grade	T1/T2	130	false	type-specific facet
INTERNAL_HDD	health_status	T1/T2	140	false	type-specific facet
INTERNAL_HDD	usage_hours	T1/T2	150	false	type-specific facet
EXTERNAL_SSD	storage_type	T0	10	true	common facet
EXTERNAL_SSD	brand	T0	20	true	common facet
EXTERNAL_SSD	storage_capacity_gb	T0	30	true	common facet
EXTERNAL_SSD	condition	T0	40	true	common facet
EXTERNAL_SSD	interface_type	T0	50	false	common facet
EXTERNAL_SSD	form_factor	T0	60	false	common facet
EXTERNAL_SSD	price	T0	70	true	common facet
EXTERNAL_SSD	connector_type	T1/T2	100	false	type-specific facet
EXTERNAL_SSD	read_speed_mb_s	T1/T2	110	false	type-specific facet
EXTERNAL_SSD	write_speed_mb_s	T1/T2	120	false	type-specific facet
EXTERNAL_SSD	rugged_protection	T1/T2	130	false	type-specific facet
EXTERNAL_SSD	encryption_support	T1/T2	140	false	type-specific facet
EXTERNAL_HDD	storage_type	T0	10	true	common facet
EXTERNAL_HDD	brand	T0	20	true	common facet
EXTERNAL_HDD	storage_capacity_gb	T0	30	true	common facet
EXTERNAL_HDD	condition	T0	40	true	common facet
EXTERNAL_HDD	interface_type	T0	50	false	common facet
EXTERNAL_HDD	form_factor	T0	60	false	common facet
EXTERNAL_HDD	price	T0	70	true	common facet
EXTERNAL_HDD	connector_type	T1/T2	100	false	type-specific facet
EXTERNAL_HDD	rugged_protection	T1/T2	110	false	type-specific facet
EXTERNAL_HDD	encryption_support	T1/T2	120	false	type-specific facet
EXTERNAL_HDD	health_status	T1/T2	130	false	type-specific facet
USB_FLASH_DRIVE	storage_type	T0	10	true	common facet
USB_FLASH_DRIVE	brand	T0	20	true	common facet
USB_FLASH_DRIVE	storage_capacity_gb	T0	30	true	common facet
USB_FLASH_DRIVE	condition	T0	40	true	common facet
USB_FLASH_DRIVE	interface_type	T0	50	false	common facet
USB_FLASH_DRIVE	form_factor	T0	60	false	common facet
USB_FLASH_DRIVE	price	T0	70	true	common facet
USB_FLASH_DRIVE	connector_type	T1/T2	100	false	type-specific facet
USB_FLASH_DRIVE	read_speed_mb_s	T1/T2	110	false	type-specific facet
USB_FLASH_DRIVE	write_speed_mb_s	T1/T2	120	false	type-specific facet
