alias	brand	model	storage_type	match_type	priority	notes
990 pro	SAMSUNG	990_PRO	INTERNAL_SSD	model_alias	100	head model alias
990-pro	SAMSUNG	990_PRO	INTERNAL_SSD	model_alias	100	head model alias
990pro	SAMSUNG	990_PRO	INTERNAL_SSD	model_alias	100	head model alias
самсунг 990 pro	SAMSUNG	990_PRO	INTERNAL_SSD	model_alias	100	head model alias
980 pro	SAMSUNG	980_PRO	INTERNAL_SSD	model_alias	100	head model alias
980-pro	SAMSUNG	980_PRO	INTERNAL_SSD	model_alias	100	head model alias
980pro	SAMSUNG	980_PRO	INTERNAL_SSD	model_alias	100	head model alias
самсунг 980 pro	SAMSUNG	980_PRO	INTERNAL_SSD	model_alias	100	head model alias
970 evo plus	SAMSUNG	970_EVO_PLUS	INTERNAL_SSD	model_alias	100	head model alias
970-evo-plus	SAMSUNG	970_EVO_PLUS	INTERNAL_SSD	model_alias	100	head model alias
970evoplus	SAMSUNG	970_EVO_PLUS	INTERNAL_SSD	model_alias	100	head model alias
самсунг 970 evo plus	SAMSUNG	970_EVO_PLUS	INTERNAL_SSD	model_alias	100	head model alias
870 evo	SAMSUNG	870_EVO	INTERNAL_SSD	model_alias	100	head model alias
870-evo	SAMSUNG	870_EVO	INTERNAL_SSD	model_alias	100	head model alias
870evo	SAMSUNG	870_EVO	INTERNAL_SSD	model_alias	100	head model alias
самсунг 870 evo	SAMSUNG	870_EVO	INTERNAL_SSD	model_alias	100	head model alias
870 qvo	SAMSUNG	870_QVO	INTERNAL_SSD	model_alias	100	head model alias
870-qvo	SAMSUNG	870_QVO	INTERNAL_SSD	model_alias	100	head model alias
870qvo	SAMSUNG	870_QVO	INTERNAL_SSD	model_alias	100	head model alias
самсунг 870 qvo	SAMSUNG	870_QVO	INTERNAL_SSD	model_alias	100	head model alias
wd black sn850x	WESTERN_DIGITAL	WD_BLACK_SN850X	INTERNAL_SSD	model_alias	100	head model alias
wd_black sn850x	WESTERN_DIGITAL	WD_BLACK_SN850X	INTERNAL_SSD	model_alias	100	head model alias
wd_black-sn850x	WESTERN_DIGITAL	WD_BLACK_SN850X	INTERNAL_SSD	model_alias	100	head model alias
wd_blacksn850x	WESTERN_DIGITAL	WD_BLACK_SN850X	INTERNAL_SSD	model_alias	100	head model alias
вд black sn850x	WESTERN_DIGITAL	WD_BLACK_SN850X	INTERNAL_SSD	model_alias	100	head model alias
wd black sn770	WESTERN_DIGITAL	WD_BLACK_SN770	INTERNAL_SSD	model_alias	100	head model alias
wd_black sn770	WESTERN_DIGITAL	WD_BLACK_SN770	INTERNAL_SSD	model_alias	100	head model alias
wd_black-sn770	WESTERN_DIGITAL	WD_BLACK_SN770	INTERNAL_SSD	model_alias	100	head model alias
wd_blacksn770	WESTERN_DIGITAL	WD_BLACK_SN770	INTERNAL_SSD	model_alias	100	head model alias
вд black sn770	WESTERN_DIGITAL	WD_BLACK_SN770	INTERNAL_SSD	model_alias	100	head model alias
wd blue sn580	WESTERN_DIGITAL	WD_BLUE_SN580	INTERNAL_SSD	model_alias	100	head model alias
wd-blue-sn580	WESTERN_DIGITAL	WD_BLUE_SN580	INTERNAL_SSD	model_alias	100	head model alias
wdbluesn580	WESTERN_DIGITAL	WD_BLUE_SN580	INTERNAL_SSD	model_alias	100	head model alias
вд blue sn580	WESTERN_DIGITAL	WD_BLUE_SN580	INTERNAL_SSD	model_alias	100	head model alias
wd blue sa510	WESTERN_DIGITAL	WD_BLUE_SA510	INTERNAL_SSD	model_alias	100	head model alias
wd-blue-sa510	WESTERN_DIGITAL	WD_BLUE_SA510	INTERNAL_SSD	model_alias	100	head model alias
wdbluesa510	WESTERN_DIGITAL	WD_BLUE_SA510	INTERNAL_SSD	model_alias	100	head model alias
вд blue sa510	WESTERN_DIGITAL	WD_BLUE_SA510	INTERNAL_SSD	model_alias	100	head model alias
crucial t500	CRUCIAL	CRUCIAL_T500	INTERNAL_SSD	model_alias	100	head model alias
crucial-t500	CRUCIAL	CRUCIAL_T500	INTERNAL_SSD	model_alias	100	head model alias
crucialt500	CRUCIAL	CRUCIAL_T500	INTERNAL_SSD	model_alias	100	head model alias
crucial p3 plus	CRUCIAL	CRUCIAL_P3_PLUS	INTERNAL_SSD	model_alias	100	head model alias
crucial-p3-plus	CRUCIAL	CRUCIAL_P3_PLUS	INTERNAL_SSD	model_alias	100	head model alias
crucialp3plus	CRUCIAL	CRUCIAL_P3_PLUS	INTERNAL_SSD	model_alias	100	head model alias
crucial mx500	CRUCIAL	CRUCIAL_MX500	INTERNAL_SSD	model_alias	100	head model alias
crucial-mx500	CRUCIAL	CRUCIAL_MX500	INTERNAL_SSD	model_alias	100	head model alias
