seed_id	storage_type	brand	family	model	model_name_text	capacity_hint_gb	interface_type	form_factor	priority	seed_policy	notes
INTERNAL_SSD.SAMSUNG.990_PRO	INTERNAL_SSD	SAMSUNG	PRO	990_PRO	990 PRO	500;1000;2000	NVME	M2_2280	100	head_representative_not_full_registry	representative head seed
INTERNAL_SSD.SAMSUNG.980_PRO	INTERNAL_SSD	SAMSUNG	PRO	980_PRO	980 PRO	500;1000;2000	NVME	M2_2280	100	head_representative_not_full_registry	representative head seed
INTERNAL_SSD.SAMSUNG.970_EVO_PLUS	INTERNAL_SSD	SAMSUNG	EVO	970_EVO_PLUS	970 EVO Plus	500;1000;2000	NVME	M2_2280	100	head_representative_not_full_registry	representative head seed
INTERNAL_SSD.SAMSUNG.870_EVO	INTERNAL_SSD	SAMSUNG	EVO	870_EVO	870 EVO	500;1000;2000	SATA	SATA_2_5	100	head_representative_not_full_registry	representative head seed
INTERNAL_SSD.SAMSUNG.870_QVO	INTERNAL_SSD	SAMSUNG	QVO	870_QVO	870 QVO	500;1000;2000	SATA	SATA_2_5	100	head_representative_not_full_registry	representative head seed
INTERNAL_SSD.WESTERN_DIGITAL.WD_BLACK_SN850X	INTERNAL_SSD	WESTERN_DIGITAL	WD_BLACK	WD_BLACK_SN850X	WD_BLACK SN850X	500;1000;2000	NVME	M2_2280	100	head_representative_not_full_registry	representative head seed
INTERNAL_SSD.WESTERN_DIGITAL.WD_BLACK_SN770	INTERNAL_SSD	WESTERN_DIGITAL	WD_BLACK	WD_BLACK_SN770	WD_BLACK SN770	500;1000;2000	NVME	M2_2280	100	head_representative_not_full_registry	representative head seed
INTERNAL_SSD.WESTERN_DIGITAL.WD_BLUE_SN580	INTERNAL_SSD	WESTERN_DIGITAL	WD_BLUE	WD_BLUE_SN580	WD Blue SN580	500;1000;2000	NVME	M2_2280	100	head_representative_not_full_registry	representative head seed
INTERNAL_SSD.WESTERN_DIGITAL.WD_BLUE_SA510	INTERNAL_SSD	WESTERN_DIGITAL	WD_BLUE	WD_BLUE_SA510	WD Blue SA510	500;1000;2000	SATA	SATA_2_5	100	head_representative_not_full_registry	representative head seed
INTERNAL_SSD.CRUCIAL.CRUCIAL_T500	INTERNAL_SSD	CRUCIAL	T_SERIES	CRUCIAL_T500	Crucial T500	500;1000;2000	NVME	M2_2280	100	head_representative_not_full_registry	representative head seed
INTERNAL_SSD.CRUCIAL.CRUCIAL_P3_PLUS	INTERNAL_SSD	CRUCIAL	P_SERIES	CRUCIAL_P3_PLUS	Crucial P3 Plus	500;1000;2000	NVME	M2_2280	100	head_representative_not_full_registry	representative head seed
INTERNAL_SSD.CRUCIAL.CRUCIAL_MX500	INTERNAL_SSD	CRUCIAL	MX_SERIES	CRUCIAL_MX500	Crucial MX500	500;1000;2000	SATA	SATA_2_5	100	head_representative_not_full_registry	representative head seed
INTERNAL_SSD.KINGSTON.KINGSTON_KC3000	INTERNAL_SSD	KINGSTON	KC_SERIES	KINGSTON_KC3000	Kingston KC3000	500;1000;2000	NVME	M2_2280	100	head_representative_not_full_registry	representative head seed
INTERNAL_SSD.KINGSTON.KINGSTON_NV2	INTERNAL_SSD	KINGSTON	NV_SERIES	KINGSTON_NV2	Kingston NV2	500;1000;2000	NVME	M2_2280	100	head_representative_not_full_registry	representative head seed
INTERNAL_SSD.KINGSTON.KINGSTON_FURY_RENEGADE_SSD	INTERNAL_SSD	KINGSTON	FURY	KINGSTON_FURY_RENEGADE_SSD	Kingston Fury Renegade SSD	500;1000;2000	NVME	M2_2280	100	head_representative_not_full_registry	representative head seed
INTERNAL_SSD.ADATA.ADATA_XPG_GAMMIX_S70	INTERNAL_SSD	ADATA	XPG	ADATA_XPG_GAMMIX_S70	ADATA XPG GAMMIX S70	500;1000;2000	NVME	M2_2280	100	head_representative_not_full_registry	representative head seed
INTERNAL_SSD.LEXAR.LEXAR_NM790	INTERNAL_SSD	LEXAR	NM_SERIES	LEXAR_NM790	Lexar NM790	500;1000;2000	NVME	M2_2280	100	head_representative_not_full_registry	representative head seed
INTERNAL_SSD.SEAGATE.SEAGATE_FIRECUDA_530	INTERNAL_SSD	SEAGATE	FIRECUDA	SEAGATE_FIRECUDA_530	Seagate FireCuda 530	500;1000;2000	NVME	M2_2280	100	head_representative_not_full_registry	representative head seed
INTERNAL_HDD.SEAGATE.BARRACUDA	INTERNAL_HDD	SEAGATE	BARRACUDA	BARRACUDA	BarraCuda	1000;2000;4000;8000;12000;16000;20000	SATA	HDD_3_5	95	head_representative_not_full_registry	representative head seed
INTERNAL_HDD.SEAGATE.IRONWOLF	INTERNAL_HDD	SEAGATE	IRONWOLF	IRONWOLF	IronWolf	1000;2000;4000;8000;12000;16000;20000	SATA	HDD_3_5	95	head_representative_not_full_registry	representative head seed
INTERNAL_HDD.SEAGATE.IRONWOLF_PRO	INTERNAL_HDD	SEAGATE	IRONWOLF	IRONWOLF_PRO	IronWolf Pro	1000;2000;4000;8000;12000;16000;20000	SATA	HDD_3_5	95	head_representative_not_full_registry	representative head seed
INTERNAL_HDD.SEAGATE.EXOS	INTERNAL_HDD	SEAGATE	EXOS	EXOS	Exos	1000;2000;4000;8000;12000;16000;20000	SATA	HDD_3_5	95	head_representative_not_full_registry	representative head seed
INTERNAL_HDD.WESTERN_DIGITAL.WD_BLUE_HDD	INTERNAL_HDD	WESTERN_DIGITAL	WD_BLUE	WD_BLUE_HDD	WD Blue HDD	1000;2000;4000;8000;12000;16000;20000	SATA	HDD_3_5	95	head_representative_not_full_registry	representative head seed
INTERNAL_HDD.WESTERN_DIGITAL.WD_BLACK_HDD	INTERNAL_HDD	WESTERN_DIGITAL	WD_BLACK	WD_BLACK_HDD	WD Black HDD	1000;2000;4000;8000;12000;16000;20000	SATA	HDD_3_5	95	head_representative_not_full_registry	representative head seed
INTERNAL_HDD.WESTERN_DIGITAL.WD_RED_PLUS	INTERNAL_HDD	WESTERN_DIGITAL	WD_RED	WD_RED_PLUS	WD Red Plus	1000;2000;4000;8000;12000;16000;20000	SATA	HDD_3_5	95	head_representative_not_full_registry	representative head seed
INTERNAL_HDD.WESTERN_DIGITAL.WD_PURPLE	INTERNAL_HDD	WESTERN_DIGITAL	WD_PURPLE	WD_PURPLE	WD Purple	1000;2000;4000;8000;12000;16000;20000	SATA	HDD_3_5	95	head_representative_not_full_registry	representative head seed
INTERNAL_HDD.TOSHIBA.TOSHIBA_P300	INTERNAL_HDD	TOSHIBA	P_SERIES	TOSHIBA_P300	Toshiba P300	1000;2000;4000;8000;12000;16000;20000	SATA	HDD_3_5	95	head_representative_not_full_registry	representative head seed
INTERNAL_HDD.TOSHIBA.TOSHIBA_N300	INTERNAL_HDD	TOSHIBA	N_SERIES	TOSHIBA_N300	Toshiba N300	1000;2000;4000;8000;12000;16000;20000	SATA	HDD_3_5	95	head_representative_not_full_registry	representative head seed
INTERNAL_HDD.TOSHIBA.TOSHIBA_X300	INTERNAL_HDD	TOSHIBA	X_SERIES	TOSHIBA_X300	Toshiba X300	1000;2000;4000;8000;12000;16000;20000	SATA	HDD_3_5	95	head_representative_not_full_registry	representative head seed
EXTERNAL_SSD.SAMSUNG.SAMSUNG_T7	EXTERNAL_SSD	SAMSUNG	PORTABLE	SAMSUNG_T7	Samsung T7	1000;2000;4000	USB	PORTABLE_EXTERNAL	90	head_representative_not_full_registry	representative head seed
EXTERNAL_SSD.SAMSUNG.SAMSUNG_T9	EXTERNAL_SSD	SAMSUNG	PORTABLE	SAMSUNG_T9	Samsung T9	1000;2000;4000	USB	PORTABLE_EXTERNAL	90	head_representative_not_full_registry	representative head seed
EXTERNAL_SSD.SANDISK.SANDISK_EXTREME_PORTABLE_SSD	EXTERNAL_SSD	SANDISK	PORTABLE	SANDISK_EXTREME_PORTABLE_SSD	SanDisk Extreme Portable SSD	1000;2000;4000	USB	PORTABLE_EXTERNAL	90	head_representative_not_full_registry	representative head seed
EXTERNAL_SSD.WESTERN_DIGITAL.WD_MY_PASSPORT_SSD	EXTERNAL_SSD	WESTERN_DIGITAL	PORTABLE	WD_MY_PASSPORT_SSD	WD My Passport SSD	1000;2000;4000	USB	PORTABLE_EXTERNAL	90	head_representative_not_full_registry	representative head seed
EXTERNAL_SSD.CRUCIAL.CRUCIAL_X9_PRO	EXTERNAL_SSD	CRUCIAL	PORTABLE	CRUCIAL_X9_PRO	Crucial X9 Pro	1000;2000;4000	USB	PORTABLE_EXTERNAL	90	head_representative_not_full_registry	representative head seed
EXTERNAL_SSD.KINGSTON.KINGSTON_XS2000	EXTERNAL_SSD	KINGSTON	PORTABLE	KINGSTON_XS2000	Kingston XS2000	1000;2000;4000	USB	PORTABLE_EXTERNAL	90	head_representative_not_full_registry	representative head seed
EXTERNAL_HDD.SEAGATE.SEAGATE_EXPANSION_PORTABLE	EXTERNAL_HDD	SEAGATE	PORTABLE	SEAGATE_EXPANSION_PORTABLE	Seagate Expansion Portable	1000;2000;4000	USB	PORTABLE_EXTERNAL	90	head_representative_not_full_registry	representative head seed
EXTERNAL_HDD.WESTERN_DIGITAL.WD_MY_PASSPORT_HDD	EXTERNAL_HDD	WESTERN_DIGITAL	PORTABLE	WD_MY_PASSPORT_HDD	WD My Passport HDD	1000;2000;4000	USB	PORTABLE_EXTERNAL	90	head_representative_not_full_registry	representative head seed
EXTERNAL_HDD.TOSHIBA.TOSHIBA_CANVIO_BASICS	EXTERNAL_HDD	TOSHIBA	PORTABLE	TOSHIBA_CANVIO_BASICS	Toshiba Canvio Basics	1000;2000;4000	USB	PORTABLE_EXTERNAL	90	head_representative_not_full_registry	representative head seed
USB_FLASH_DRIVE.KINGSTON.KINGSTON_DATATRAVELER_EXODIA	USB_FLASH_DRIVE	KINGSTON	DATATRAVELER	KINGSTON_DATATRAVELER_EXODIA	Kingston DataTraveler Exodia	64;128;256	USB	PORTABLE_EXTERNAL	88	head_representative_not_full_registry	representative head seed
USB_FLASH_DRIVE.SANDISK.SANDISK_ULTRA_FLAIR	USB_FLASH_DRIVE	SANDISK	ULTRA	SANDISK_ULTRA_FLAIR	SanDisk Ultra Flair	64;128;256	USB	PORTABLE_EXTERNAL	88	head_representative_not_full_registry	representative head seed
USB_FLASH_DRIVE.SAMSUNG.SAMSUNG_BAR_PLUS	USB_FLASH_DRIVE	SAMSUNG	BAR	SAMSUNG_BAR_PLUS	Samsung BAR Plus	64;128;256	USB	PORTABLE_EXTERNAL	88	head_representative_not_full_registry	representative head seed
MEMORY_CARD.SANDISK.SANDISK_EXTREME_MICROSDXC	MEMORY_CARD	SANDISK	EXTREME	SANDISK_EXTREME_MICROSDXC	SanDisk Extreme microSDXC	64;128;256;512;1024	MICROSD	MICROSD_CARD	88	head_representative_not_full_registry	representative head seed
MEMORY_CARD.SAMSUNG.SAMSUNG_PRO_PLUS_MICROSD	MEMORY_CARD	SAMSUNG	PRO_PLUS	SAMSUNG_PRO_PLUS_MICROSD	Samsung PRO Plus microSD	128;256;512	MICROSD	MICROSD_CARD	88	head_representative_not_full_registry	representative head seed
MEMORY_CARD.KINGSTON.KINGSTON_CANVAS_GO_PLUS_MICROSD	MEMORY_CARD	KINGSTON	CANVAS	KINGSTON_CANVAS_GO_PLUS_MICROSD	Kingston Canvas Go Plus microSD	128;256;512	MICROSD	MICROSD_CARD	88	head_representative_not_full_registry	representative head seed
MEMORY_CARD.LEXAR.LEXAR_PROFESSIONAL_2000X_SDXC	MEMORY_CARD	LEXAR	PROFESSIONAL	LEXAR_PROFESSIONAL_2000X_SDXC	Lexar Professional 2000x SDXC	64;128;256	SD	SD_FULL_SIZE	88	head_representative_not_full_registry	representative head seed
MEMORY_CARD.SANDISK.SANDISK_EXTREME_PRO_SDXC	MEMORY_CARD	SANDISK	EXTREME_PRO	SANDISK_EXTREME_PRO_SDXC	SanDisk Extreme PRO SDXC	64;128;256	SD	SD_FULL_SIZE	88	head_representative_not_full_registry	representative head seed
NAS.SYNOLOGY.SYNOLOGY_DS224	NAS	SYNOLOGY	DISKSTATION	SYNOLOGY_DS224+	Synology DS224+	0	ETHERNET_RJ45	DESKTOP_EXTERNAL	88	head_representative_not_full_registry	representative head seed
NAS.SYNOLOGY.SYNOLOGY_DS923	NAS	SYNOLOGY	DISKSTATION	SYNOLOGY_DS923+	Synology DS923+	0	ETHERNET_RJ45	DESKTOP_EXTERNAL	88	head_representative_not_full_registry	representative head seed
NAS.QNAP.QNAP_TS_464	NAS	QNAP	TURBO_NAS	QNAP_TS_464	QNAP TS-464	0	ETHERNET_RJ45	DESKTOP_EXTERNAL	88	head_representative_not_full_registry	representative head seed
NAS.QNAP.QNAP_TS_233	NAS	QNAP	TURBO_NAS	QNAP_TS_233	QNAP TS-233	0	ETHERNET_RJ45	DESKTOP_EXTERNAL	88	head_representative_not_full_registry	representative head seed
