attribute_code	value_code	label_ru	aliases_ru	priority	status	notes
storage_type	INTERNAL_SSD	Внутренний SSD	Твердотельный накопитель для установки внутрь ПК/ноутбука/NAS/сервера	100	head	
storage_type	INTERNAL_HDD	Внутренний HDD	Жёсткий диск для установки внутрь ПК/NAS/сервера	101	head	
storage_type	EXTERNAL_SSD	Внешний SSD	Портативный/настольный внешний SSD	102	head	
storage_type	EXTERNAL_HDD	Внешний HDD	Портативный/настольный внешний жёсткий диск	103	head	
storage_type	USB_FLASH_DRIVE	USB-флешка	USB flash drive / thumb drive	104	head	
storage_type	MEMORY_CARD	Карта памяти	SD/microSD/CFexpress и другие карты памяти	105	head	
storage_type	CARD_READER	Кардридер	Устройство чтения карт памяти	106	head	
storage_type	NAS	NAS	Сетевое хранилище / NAS enclosure	107	head	
storage_type	STORAGE_ACCESSORY	Аксессуар для накопителей	Корпус, док, салазки, адаптер, кабель/аксессуар для накопителя	108	head	
storage_media_type	FLASH_NAND	Flash NAND	флеш память; nand flash	100	head	
storage_media_type	MAGNETIC_DISK	Магнитный диск	жесткий диск; hdd	101	head	
storage_media_type	NAS_ENCLOSURE	NAS enclosure	сетевое хранилище; nas корпус	102	head	
storage_media_type	READER_ACCESSORY	Кардридер/аксессуар	reader; adapter	103	head	
storage_media_type	STORAGE_ACCESSORY_MEDIALESS	Аксессуар без носителя	корпус для диска; док станция	104	head	
interface_type	SATA	SATA	sata; sata iii	100	head	
interface_type	NVME	NVMe	nvme; nvm express	101	head	
interface_type	PCIE	PCIe	pci express; pcie	102	head	
interface_type	USB	USB	юсб	103	head	
interface_type	USB_3_2	USB 3.2	usb 3.2 gen2	104	head	
interface_type	THUNDERBOLT	Thunderbolt	tb3; tb4	105	head	
interface_type	SAS	SAS	serial attached scsi	106	head	
interface_type	SD	SD	secure digital	107	head	
interface_type	MICROSD	microSD	micro sd; microsd	108	head	
interface_type	CFEXPRESS	CFexpress	cf express	109	head	
interface_type	XQD	XQD	xqd card	110	head	
interface_type	CFAST	CFast	cfast card	111	head	
bus_protocol	SATA_III	SATA III	sata 3; 6gb/s	100	head	
bus_protocol	PCIE_3_0	PCIe 3.0	gen3	101	head	
bus_protocol	PCIE_4_0	PCIe 4.0	gen4	102	head	
bus_protocol	PCIE_5_0	PCIe 5.0	gen5	103	head	
bus_protocol	USB_3_0	USB 3.0	usb 3.1 gen1	104	head	
bus_protocol	USB_3_2_GEN2	USB 3.2 Gen 2	10gbps	105	head	
bus_protocol	USB_3_2_GEN2X2	USB 3.2 Gen 2x2	20gbps	106	head	
bus_protocol	THUNDERBOLT_3	Thunderbolt 3	tb3	107	head	
bus_protocol	THUNDERBOLT_4	Thunderbolt 4	tb4	108	head	
bus_protocol	UHS_I	UHS-I	uhs 1	109	head	
bus_protocol	UHS_II	UHS-II	uhs 2	110	head	
bus_protocol	UHS_III	UHS-III	uhs 3	111	head	
form_factor	M2_2230	M.2 2230	m2 2230	100	head	
form_factor	M2_2242	M.2 2242	m2 2242	101	head	
form_factor	M2_2260	M.2 2260	m2 2260	102	head	
form_factor	M2_2280	M.2 2280	m2 2280	103	head	
form_factor	M2_22110	M.2 22110	m2 22110	104	head	
form_factor	U2	U.2	u2	105	head	
form_factor	U3	U.3	u3	106	head	
form_factor	MSATA	mSATA	mini sata	107	head	
form_factor	SATA_2_5	2.5 inch SATA	2.5; 2,5	108	head	
form_factor	HDD_3_5	3.5 inch HDD	3.5; 3,5	109	head	
form_factor	PCIE_ADD_IN_CARD	PCIe add-in card	aic	110	head	
