alias	locale	target	alias_type	confidence	notes_ru
планшет	ru	tablet_type=TABLET	type_alias	HIGH	
планшеты	ru	tablet_type=TABLET	type_alias	HIGH	
tablet	ru	tablet_type=TABLET	type_alias	HIGH	
tab	ru	tablet_type=TABLET	type_alias	HIGH	
андроид планшет	ru	tablet_type=TABLET	type_alias	HIGH	
android tablet	ru	tablet_type=TABLET	type_alias	HIGH	
айпад	ru	tablet_type=TABLET	type_alias	HIGH	
ipad	ru	tablet_type=TABLET	type_alias	HIGH	
ipad pro	ru	tablet_type=TABLET	type_alias	HIGH	
ipad air	ru	tablet_type=TABLET	type_alias	HIGH	
ipad mini	ru	tablet_type=TABLET	type_alias	HIGH	
galaxy tab	ru	tablet_type=TABLET	type_alias	HIGH	
xiaomi pad	ru	tablet_type=TABLET	type_alias	HIGH	
huawei matepad	ru	tablet_type=TABLET	type_alias	HIGH	
lenovo tab	ru	tablet_type=TABLET	type_alias	HIGH	
планшет самсунг	ru	tablet_type=TABLET	type_alias	HIGH	
планшет lenovo	ru	tablet_type=TABLET	type_alias	HIGH	
планшет xiaomi	ru	tablet_type=TABLET	type_alias	HIGH	
детский планшет	ru	tablet_type=KIDS_TABLET	type_alias	HIGH	
планшет для ребенка	ru	tablet_type=KIDS_TABLET	type_alias	HIGH	
kids tablet	ru	tablet_type=KIDS_TABLET	type_alias	HIGH	
amazon fire kids	ru	tablet_type=KIDS_TABLET	type_alias	HIGH	
планшет детский с чехлом	ru	tablet_type=KIDS_TABLET	type_alias	HIGH	
обучающий планшет android	ru	tablet_type=KIDS_TABLET	type_alias	HIGH	
электронная книга	ru	tablet_type=E_READER	type_alias	HIGH	
электронные книги	ru	tablet_type=E_READER	type_alias	HIGH	
читалка	ru	tablet_type=E_READER	type_alias	HIGH	
ридер	ru	tablet_type=E_READER	type_alias	HIGH	
e reader	ru	tablet_type=E_READER	type_alias	HIGH	
e-reader	ru	tablet_type=E_READER	type_alias	HIGH	
kindle	ru	tablet_type=E_READER	type_alias	HIGH	
киндл	ru	tablet_type=E_READER	type_alias	HIGH	
pocketbook	ru	tablet_type=E_READER	type_alias	HIGH	
покетбук	ru	tablet_type=E_READER	type_alias	HIGH	
kobo	ru	tablet_type=E_READER	type_alias	HIGH	
onyx boox	ru	tablet_type=E_READER	type_alias	HIGH	
букс	ru	tablet_type=E_READER	type_alias	HIGH	
remarkable	ru	tablet_type=E_READER	type_alias	HIGH	
reMarkable	ru	tablet_type=E_READER	type_alias	HIGH	
графический планшет	ru	tablet_type=GRAPHICS_TABLET	type_alias	HIGH	
планшет для рисования	ru	tablet_type=GRAPHICS_TABLET	type_alias	HIGH	
drawing tablet	ru	tablet_type=GRAPHICS_TABLET	type_alias	HIGH	
pen tablet	ru	tablet_type=GRAPHICS_TABLET	type_alias	HIGH	
перьевой планшет	ru	tablet_type=GRAPHICS_TABLET	type_alias	HIGH	
wacom	ru	tablet_type=GRAPHICS_TABLET	type_alias	HIGH	
ваком	ru	tablet_type=GRAPHICS_TABLET	type_alias	HIGH	
huion	ru	tablet_type=GRAPHICS_TABLET	type_alias	HIGH	
xp pen	ru	tablet_type=GRAPHICS_TABLET	type_alias	HIGH	
xp-pen	ru	tablet_type=GRAPHICS_TABLET	type_alias	HIGH	
камвас	ru	tablet_type=GRAPHICS_TABLET	type_alias	HIGH	
kamvas	ru	tablet_type=GRAPHICS_TABLET	type_alias	HIGH	
cintiq	ru	tablet_type=GRAPHICS_TABLET	type_alias	HIGH	
intuos	ru	tablet_type=GRAPHICS_TABLET	type_alias	HIGH	
док станция для планшета	ru	tablet_type=TABLET_DOCK	type_alias	HIGH	
док-станция для планшета	ru	tablet_type=TABLET_DOCK	type_alias	HIGH	
tablet dock	ru	tablet_type=TABLET_DOCK	type_alias	HIGH	
док для ipad	ru	tablet_type=TABLET_DOCK	type_alias	HIGH	
док для айпада	ru	tablet_type=TABLET_DOCK	type_alias	HIGH	
usb c hub ipad	ru	tablet_type=TABLET_DOCK	type_alias	HIGH	
хаб для ipad	ru	tablet_type=TABLET_DOCK	type_alias	HIGH	
keyboard dock ipad	ru	tablet_type=TABLET_DOCK	type_alias	HIGH	
подставка для планшета	ru	tablet_type=TABLET_STAND	type_alias	HIGH	
держатель для планшета	ru	tablet_type=TABLET_STAND	type_alias	HIGH	
tablet stand	ru	tablet_type=TABLET_STAND	type_alias	HIGH	
ipad stand	ru	tablet_type=TABLET_STAND	type_alias	HIGH	
подставка ipad	ru	tablet_type=TABLET_STAND	type_alias	HIGH	
держатель ipad	ru	tablet_type=TABLET_STAND	type_alias	HIGH	
крепление планшета	ru	tablet_type=TABLET_STAND	type_alias	HIGH	
кронштейн планшет	ru	tablet_type=TABLET_STAND	type_alias	HIGH	
эпл	ru	brand=APPLE	brand_alias	HIGH	
apple	ru	brand=APPLE	brand_alias	HIGH	
самсунг	ru	brand=SAMSUNG	brand_alias	HIGH	
samsung	ru	brand=SAMSUNG	brand_alias	HIGH	
леново	ru	brand=LENOVO	brand_alias	HIGH	
xiaomi	ru	brand=XIAOMI	brand_alias	HIGH	
сяоми	ru	brand=XIAOMI	brand_alias	HIGH	
хуавей	ru	brand=HUAWEI	brand_alias	HIGH	
хонор	ru	brand=HONOR	brand_alias	HIGH	
амазон	ru	brand=AMAZON	brand_alias	HIGH	
kindle	ru	brand=AMAZON|family=KINDLE	brand_alias	HIGH	
кобо	ru	brand=KOBO	brand_alias	HIGH	
оникс	ru	brand=ONYX_BOOX	brand_alias	HIGH	
onyx	ru	brand=ONYX_BOOX	brand_alias	HIGH	
pocket book	ru	brand=POCKETBOOK	brand_alias	HIGH	
покетбук	ru	brand=POCKETBOOK	brand_alias	HIGH	
wacom	ru	brand=WACOM	brand_alias	HIGH	
huion	ru	brand=HUION	brand_alias	HIGH	
xp pen	ru	brand=XP_PEN	brand_alias	HIGH	
remarkable	ru	brand=REMARKABLE	brand_alias	HIGH	
ноутбук	ru	TECH.COMPUTERS	negative_route_guard	MEDIUM	
макбук	ru	TECH.COMPUTERS	negative_route_guard	MEDIUM	
iphone	ru	TECH.PHONES	negative_route_guard	MEDIUM	
айфон	ru	TECH.PHONES	negative_route_guard	MEDIUM	
смартфон	ru	TECH.PHONES	negative_route_guard	MEDIUM	
монитор	ru	TECH.MONITORS_DISPLAYS	negative_route_guard	MEDIUM	
клавиатура	ru	TECH.COMPUTER_ACCESSORIES	negative_route_guard	MEDIUM	
мышь	ru	TECH.COMPUTER_ACCESSORIES	negative_route_guard	MEDIUM	
игрушечный планшет	ru	KIDS.TOYS	negative_route_guard	MEDIUM	
книга бумажная	ru	BOOKS_OR_MEDIA	negative_route_guard	MEDIUM	
чехол iphone	ru	TECH.PHONE_ACCESSORIES	negative_route_guard	MEDIUM	
