attribute_code	label_ru	data_type	role	required_policy	value_source	usage_scope	inherited_from	notes_ru
categoryCode	Код категории	enum	T0_CORE	required	TECH.TABLETS_E_READERS	all		Стабильный public categoryCode.
tablet_type	Тип планшета/ридера	enum	T0_CORE	required	values#tablet_type	all		Главный type-переключатель ветки.
brand	Бренд	string|enum	T0_CORE	required	TECH.ELECTRONICS_COMMON#brand	all	TECH.ELECTRONICS_COMMON	Бренд устройства или аксессуара.
condition	Состояние	enum	T0_CORE	required	TECH.ELECTRONICS_COMMON#condition	all	TECH.ELECTRONICS_COMMON	Новое/б.у./восстановленное/на запчасти.
model_name_text	Модель текстом	string	T0_CORE	strongly_recommended	TECH.DEVICE_IDENTITY_COMMON#model_name_text	all	TECH.DEVICE_IDENTITY_COMMON	Свободный текст модели до resolution.
screen_size_in	Диагональ экрана, дюймы	number	T0_CORE	conditional_required_for_screen_devices	TECH.SPECS_COMMON#screen_size	all	TECH.SPECS_COMMON	Для планшетов, ридеров и графических дисплеев.
storage_capacity_gb	Объём памяти, ГБ	number	T0_CORE	strongly_recommended_for_tablets_and_e_readers	TECH.SPECS_COMMON#storage	all	TECH.SPECS_COMMON	Для обычных планшетов/ридеров; может быть N/A для stands/docks.
connectivity	Связь / подключение	enum	T0_CORE	strongly_recommended	values#connectivity	all		Wi-Fi, Wi-Fi+Cellular, USB tethered и т.д.
manufacturer	Производитель	string|enum	T2_OPTIONAL_ENRICHMENT	optional	TECH.DEVICE_IDENTITY_COMMON#manufacturer	all	TECH.DEVICE_IDENTITY_COMMON	Если отличается от commercial brand.
family	Семейство	string|enum	T2_OPTIONAL_ENRICHMENT	optional	TECH.DEVICE_IDENTITY_COMMON#family	all	TECH.DEVICE_IDENTITY_COMMON	iPad, Galaxy Tab, Kindle, Kobo, Wacom Intuos и т.д.
line	Линейка	string|enum	T2_OPTIONAL_ENRICHMENT	optional	TECH.DEVICE_IDENTITY_COMMON#line	all	TECH.DEVICE_IDENTITY_COMMON	Air/Pro/Tab S/Paperwhite/Cintiq/Kamvas и т.д.
model	Нормализованная модель	string|enum	T2_OPTIONAL_ENRICHMENT	optional	TECH.DEVICE_IDENTITY_COMMON#model	all	TECH.DEVICE_IDENTITY_COMMON	Runtime candidate/head seed, не полный registry.
model_aliases	Алиасы модели	string|enum	T2_OPTIONAL_ENRICHMENT	optional	TECH.DEVICE_IDENTITY_COMMON#model_aliases	all	TECH.DEVICE_IDENTITY_COMMON	Основной массив в model alias file.
mpn	MPN / номер модели	string|enum	T2_OPTIONAL_ENRICHMENT	optional	TECH.DEVICE_IDENTITY_COMMON#mpn	all	TECH.DEVICE_IDENTITY_COMMON	Если указан производителем/продавцом.
gtin	GTIN/EAN/UPC	string|enum	T2_OPTIONAL_ENRICHMENT	optional	TECH.DEVICE_IDENTITY_COMMON#gtin	all	TECH.DEVICE_IDENTITY_COMMON	Если есть.
release_year	Год выпуска	integer	T2_OPTIONAL_ENRICHMENT	optional	TECH.ELECTRONICS_COMMON#release_year	all	TECH.ELECTRONICS_COMMON	Для моделей/поколений.
region_variant	Региональная версия	enum|string	T2_OPTIONAL_ENRICHMENT	optional	TECH.DEVICE_IDENTITY_COMMON#region_variant	all	TECH.DEVICE_IDENTITY_COMMON	EU/US/JP/CN/Global и т.д.
color_family	Цвет	enum	T2_OPTIONAL_ENRICHMENT	optional	TECH.ELECTRONICS_COMMON#color_family	all	TECH.ELECTRONICS_COMMON	Нормализованный цвет.
warranty	Гарантия	enum|string	T2_OPTIONAL_ENRICHMENT	optional	TECH.ELECTRONICS_COMMON#warranty	all	TECH.ELECTRONICS_COMMON	Гарантия продавца/производителя.
original_box	Оригинальная коробка	boolean	T2_OPTIONAL_ENRICHMENT	optional	TECH.ELECTRONICS_COMMON#original_box	all	TECH.ELECTRONICS_COMMON	Для resale качества.
included_accessories	Комплект	list|string	T2_OPTIONAL_ENRICHMENT	optional	TECH.ELECTRONICS_COMMON#included_accessories	all	TECH.ELECTRONICS_COMMON	Кабель, зарядка, стилус, чехол и т.д.
