query	expected_categoryCode	expected_tablet_type	locale	notes_ru
ipad pro 11 256 wifi	TECH.TABLETS_E_READERS	TABLET	ru	
айпад air 13 cellular	TECH.TABLETS_E_READERS	TABLET	ru	
samsung galaxy tab s9 fe	TECH.TABLETS_E_READERS	TABLET	ru	
xiaomi pad 6 128	TECH.TABLETS_E_READERS	TABLET	ru	
lenovo tab m11	TECH.TABLETS_E_READERS	TABLET	ru	
huawei matepad 11.5	TECH.TABLETS_E_READERS	TABLET	ru	
планшет android 10 дюймов	TECH.TABLETS_E_READERS	TABLET	ru	
планшет с сим картой	TECH.TABLETS_E_READERS	TABLET	ru	
планшет 128 гб wifi	TECH.TABLETS_E_READERS	TABLET	ru	
планшет для учебы	TECH.TABLETS_E_READERS	TABLET	ru	
детский планшет amazon fire kids	TECH.TABLETS_E_READERS	KIDS_TABLET	ru	
детский планшет с чехлом android	TECH.TABLETS_E_READERS	KIDS_TABLET	ru	
планшет для ребенка 7 лет	TECH.TABLETS_E_READERS	KIDS_TABLET	ru	
lenovo tab kids	TECH.TABLETS_E_READERS	KIDS_TABLET	ru	
детский планшет с родительским контролем	TECH.TABLETS_E_READERS	KIDS_TABLET	ru	
kindle paperwhite	TECH.TABLETS_E_READERS	E_READER	ru	
киндл paperwhite	TECH.TABLETS_E_READERS	E_READER	ru	
электронная книга pocketbook	TECH.TABLETS_E_READERS	E_READER	ru	
читалка kobo libra	TECH.TABLETS_E_READERS	E_READER	ru	
onyx boox note air	TECH.TABLETS_E_READERS	E_READER	ru	
remarkable 2	TECH.TABLETS_E_READERS	E_READER	ru	
электронная книга с подсветкой	TECH.TABLETS_E_READERS	E_READER	ru	
ридер e ink 300 ppi	TECH.TABLETS_E_READERS	E_READER	ru	
kindle scribe	TECH.TABLETS_E_READERS	E_READER	ru	
графический планшет wacom intuos	TECH.TABLETS_E_READERS	GRAPHICS_TABLET	ru	
wacom cintiq 16	TECH.TABLETS_E_READERS	GRAPHICS_TABLET	ru	
huion kamvas 13	TECH.TABLETS_E_READERS	GRAPHICS_TABLET	ru	
xp pen artist 12	TECH.TABLETS_E_READERS	GRAPHICS_TABLET	ru	
планшет для рисования с экраном	TECH.TABLETS_E_READERS	GRAPHICS_TABLET	ru	
перьевой планшет 8192 уровней	TECH.TABLETS_E_READERS	GRAPHICS_TABLET	ru	
графический планшет без экрана	TECH.TABLETS_E_READERS	GRAPHICS_TABLET	ru	
док станция для ipad usb c	TECH.TABLETS_E_READERS	TABLET_DOCK	ru	
док для планшета samsung tab	TECH.TABLETS_E_READERS	TABLET_DOCK	ru	
usb c hub ipad pro	TECH.TABLETS_E_READERS	TABLET_DOCK	ru	
keyboard dock для планшета	TECH.TABLETS_E_READERS	TABLET_DOCK	ru	
зарядный док для планшета	TECH.TABLETS_E_READERS	TABLET_DOCK	ru	
подставка для планшета	TECH.TABLETS_E_READERS	TABLET_STAND	ru	
держатель ipad настольный	TECH.TABLETS_E_READERS	TABLET_STAND	ru	
складная подставка для планшета	TECH.TABLETS_E_READERS	TABLET_STAND	ru	
магнитная подставка ipad	TECH.TABLETS_E_READERS	TABLET_STAND	ru	
кронштейн для планшета	TECH.TABLETS_E_READERS	TABLET_STAND	ru	
ipad mini бу	TECH.TABLETS_E_READERS	TABLET	ru	
ipad mini новый	TECH.TABLETS_E_READERS	TABLET	ru	
ipad mini 128gb	TECH.TABLETS_E_READERS	TABLET	ru	
ipad mini с коробкой	TECH.TABLETS_E_READERS	TABLET	ru	
ipad mini недорого	TECH.TABLETS_E_READERS	TABLET	ru	
ipad mini рядом	TECH.TABLETS_E_READERS	TABLET	ru	
galaxy tab a9 бу	TECH.TABLETS_E_READERS	TABLET	ru	
galaxy tab a9 новый	TECH.TABLETS_E_READERS	TABLET	ru	
galaxy tab a9 128gb	TECH.TABLETS_E_READERS	TABLET	ru	
galaxy tab a9 с коробкой	TECH.TABLETS_E_READERS	TABLET	ru	
galaxy tab a9 недорого	TECH.TABLETS_E_READERS	TABLET	ru	
galaxy tab a9 рядом	TECH.TABLETS_E_READERS	TABLET	ru	
fire hd 10 бу	TECH.TABLETS_E_READERS	KIDS_TABLET	ru	
fire hd 10 новый	TECH.TABLETS_E_READERS	KIDS_TABLET	ru	
fire hd 10 128gb	TECH.TABLETS_E_READERS	KIDS_TABLET	ru	
fire hd 10 с коробкой	TECH.TABLETS_E_READERS	KIDS_TABLET	ru	
fire hd 10 недорого	TECH.TABLETS_E_READERS	KIDS_TABLET	ru	
fire hd 10 рядом	TECH.TABLETS_E_READERS	KIDS_TABLET	ru	
kobo clara бу	TECH.TABLETS_E_READERS	E_READER	ru	
kobo clara новый	TECH.TABLETS_E_READERS	E_READER	ru	
kobo clara 128gb	TECH.TABLETS_E_READERS	E_READER	ru	
kobo clara с коробкой	TECH.TABLETS_E_READERS	E_READER	ru	
kobo clara недорого	TECH.TABLETS_E_READERS	E_READER	ru	
kobo clara рядом	TECH.TABLETS_E_READERS	E_READER	ru	
wacom one бу	TECH.TABLETS_E_READERS	GRAPHICS_TABLET	ru	
wacom one новый	TECH.TABLETS_E_READERS	GRAPHICS_TABLET	ru	
wacom one 128gb	TECH.TABLETS_E_READERS	GRAPHICS_TABLET	ru	
wacom one с коробкой	TECH.TABLETS_E_READERS	GRAPHICS_TABLET	ru	
wacom one недорого	TECH.TABLETS_E_READERS	GRAPHICS_TABLET	ru	
wacom one рядом	TECH.TABLETS_E_READERS	GRAPHICS_TABLET	ru	
huion inspiroy бу	TECH.TABLETS_E_READERS	GRAPHICS_TABLET	ru	
huion inspiroy новый	TECH.TABLETS_E_READERS	GRAPHICS_TABLET	ru	
huion inspiroy 128gb	TECH.TABLETS_E_READERS	GRAPHICS_TABLET	ru	
huion inspiroy с коробкой	TECH.TABLETS_E_READERS	GRAPHICS_TABLET	ru	
huion inspiroy недорого	TECH.TABLETS_E_READERS	GRAPHICS_TABLET	ru	
